cluster_uid,target,sources,n_sources,method
b81f9809e4f4,ACTB,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;LMO2;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,65,exp03-coregnet
e336f867484c,APOE,CEBPD;CUX2;EGR3;EMX2;FOS;HES1;ID4;JUNB;KLF15;MEF2C;MYRF;NKX6-2;PEG3;RBFOX2;SATB1;SOX2;SOX9;SREBF1;THRB,19,exp03-coregnet
d4b20dd3e527,APP,ATF2;BCLAF1;BHLHE40;CUX2;EGR1;EGR3;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NFE2L1;NFIL3;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;TBPL1;THRB;UBP1;XBP1;ZBTB16;ZBTB18,42,exp03-coregnet
70f2a900d860,BMI1,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZEB2;ZNF189;ZNF692,59,exp03-coregnet
9bb47add52c1,CARM1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,58,exp03-coregnet
7b7347030c84,CDKN1A,CEBPD;FOS;JUN;JUNB,4,exp03-coregnet
df3b4940abfd,CRYAB,CEBPD;CUX2;FOS;JUN;MYRF;NFIL3;NKX6-2;SOX10,8,exp03-coregnet
7cb3a4324c9f,DUSP1,EGR1;FOS;FOSL2;HES1;JUN;JUNB;NR4A1;PEG3,8,exp03-coregnet
8c8c5967e11b,FASN,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DBP;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;ETV5;FEZF2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HSF4;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MEIS3;MESP1;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189;ZNF692,61,exp03-coregnet
12086dbfa00e,GADD45B,CEBPD;FOS;FOSL2;JUN;JUNB;NFIL3,6,exp03-coregnet
dbed9a6a4598,HBA2,CUX2;EGR1;NR4A1;PEG3,4,exp03-coregnet
a7fcbff7290c,HBB,EGR1;NR4A1;PEG3,3,exp03-coregnet
3d95dd315490,HLA-DRB1,CEBPD;FOS;JUN;MYRF;NFIL3,5,exp03-coregnet
f45c82712942,HLA-E,ARID5A;BCL6;CEBPD;CUX2;DDIT3;FOS;FOSL2;HMGB2;ID1;JUN;JUNB;LMO2;MYRF;NFIL3;NKX6-2;SCRT1;SOX9;STAT3,18,exp03-coregnet
8ba482b63455,HSP90AA1,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MESP1;MTA3;MYRF;NFE2L1;NFIL3;NKX6-2;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,53,exp03-coregnet
4c3c02bedb43,HSPA1A,CEBPD;EGR1;FOS;JUN;JUNB;NR4A1,6,exp03-coregnet
68dc836efc21,HSPA4,ARID5A;ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;DDIT3;EGR1;EGR3;ELK1;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,52,exp03-coregnet
10b31d8e930a,ID3,CEBPD;EGR1;FOS;ID1;JUNB;LMO2;MEF2C;MYRF;NKX6-2;NR4A1,10,exp03-coregnet
383b0c243b79,MAT2A,ARID5A;ATF2;BCL6;BCLAF1;BHLHE40;CEBPD;CEBPG;CUX2;DDIT3;EGR1;EGR3;ERF;ETS2;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;MAFK;MEF2A;MEF2C;MEF2D;MLXIPL;MTA3;MYRF;NFE2L1;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;STAT2;STAT3;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZEB2;ZNF189;ZNF692,59,exp03-coregnet
365180a21371,MCL1,ARID5A;BCL6;CEBPB;CEBPD;DDIT3;EGR1;ERF;FOS;FOSL2;HMGB2;JUN;JUNB;KLF15;LMO2;MYRF;NFIL3;NKX6-2;NR4A1;PEG3;SOX9;STAT3;XBP1,22,exp03-coregnet
41a18f699859,NDRG1,CEBPD;CUX2;FOXO4;MYRF;NKX6-2;OLIG1;SOX10;ZEB2,8,exp03-coregnet
096c98e8140d,NFKBIA,ARID5A;BCL6;CEBPB;CEBPD;CEBPG;CUX2;DDIT3;EGR1;ERF;FOS;FOSL2;HMGB2;HSF4;ID1;JUN;JUNB;KLF15;LMO2;MYRF;NFIL3;NKX6-2;NR4A1;SCRT1;SOX2;SOX9;STAT1;STAT2;STAT3;XBP1;ZNF189,30,exp03-coregnet
5c08c90e14da,PDK4,CEBPD;EGR1;FOS;PEG3;SOX9,5,exp03-coregnet
7fbbed061b2f,PER1,ARID5A;BCL6;BCLAF1;BHLHE40;CEBPB;CEBPD;CEBPG;DDIT3;EGR1;EGR3;ERF;ETS2;FOS;FOSL2;FOXJ3;HMGB2;HSF4;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MYRF;NFIL3;NKX6-2;NR1D1;NR1D2;NR4A1;PEG3;RBFOX2;SATB2;SND1;XBP1;ZBTB16,35,exp03-coregnet
98d2349d77f4,PIK3R1,ATF2;BCLAF1;BHLHE40;CEBPG;CUX2;EGR1;EGR3;ELK1;ETS2;ETV5;FOS;FOSL2;FOXJ3;GTF2F1;HIVEP2;HLF;HMGA1;JAZF1;JUN;JUNB;KLF9;MEF2A;MEF2C;MEF2D;MEIS3;MLXIPL;MTA3;MYRF;NEUROD2;NFE2L1;NFIL3;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;SCRT1;SND1;STAT1;TBPL1;TEF;THRB;UBP1;XBP1;ZBTB16;ZBTB18;ZNF189,49,exp03-coregnet
fc05de5aa777,PKD1,ATF2;BHLHE40;CUX2;EGR1;EGR3;ETS2;FOS;FOSL2;HIVEP2;HLF;JAZF1;MEF2A;MEF2C;MEF2D;MTA3;MYRF;NFE2L1;NFIL3;NR1D2;NR4A1;PEG3;RBFOX2;RORB;SATB1;SATB2;THRB;UBP1;ZBTB16;ZBTB18,29,exp03-coregnet
