"Regulator","Target"
"KLF15","PDK4"
"KLF15","PER1"
"KLF15","SPARC"
"KLF9","PDK4"
"KLF9","NDRG1"
"KLF9","GADD45B"
"KLF9","PER1"
"ZBTB16","PDK4"
"ZBTB16","PER1"
"ZBTB16","SPARC"
"KDM5D","PDK4"
"KDM5D","HBB"
"KDM5D","MT1A"
"KDM5D","TIMP3"
"KDM5D","CRYAB"
"KDM5D","NDRG1"
"KDM5D","HLA-DRB1"
"KDM5D","ID3"
"KDM5D","TAGLN"
"KDM5D","SOCS3"
"KDM5D","ACTA2"
"KDM5D","CDKN1C"
"KDM5D","CDKN1A"
"KDM5D","DUSP1"
"KDM5D","HSPA1A"
"KDM5D","VEGFA"
"KDM5D","TNFSF10"
"KDM5D","APOE"
"KDM5D","ACTB"
"KDM5D","PDLIM7"
"KLF5","PDK4"
"KLF5","NDRG1"
"KLF5","HLA-DRB1"
"KLF5","ID3"
"KLF5","SOCS3"
"KLF5","CDKN1C"
"KLF5","CDKN1A"
"KLF5","HLA-E"
"KLF5","DUSP1"
"KLF5","VEGFA"
"KLF5","TNFSF10"
"KLF5","APOE"
"KLF5","TIMP3"
"KLF5","CRYAB"
"KLF5","SPARC"
"KLF5","TAGLN"
"KLF5","ACTA2"
"KLF5","GADD45B"
"KLF5","FN1"
"KLF5","HBB"
"KLF5","TIMP1"
"KLF5","TKT"
"KLF5","VIM"
"KLF5","MT1A"
"KLF5","PER1"
"KLF5","HSPA1A"
"KLF5","CSF1"
"KLF5","SOD2"
"KLF5","ACTB"
"KLF5","PDLIM7"
"KLF5","CLU"
"IRF6","PDK4"
"IRF6","NDRG1"
"IRF6","HLA-DRB1"
"IRF6","ID3"
"IRF6","SOCS3"
"IRF6","CDKN1C"
"IRF6","CDKN1A"
"IRF6","MT1A"
"IRF6","HLA-E"
"IRF6","DUSP1"
"IRF6","VEGFA"
"IRF6","TNFSF10"
"IRF6","APOE"
"IRF6","TIMP3"
"IRF6","CRYAB"
"IRF6","SPARC"
"IRF6","TAGLN"
"IRF6","ACTA2"
"IRF6","GADD45B"
"IRF6","FN1"
"IRF6","HBB"
"IRF6","TIMP1"
"IRF6","TKT"
"IRF6","VIM"
"IRF6","PER1"
"IRF6","HSPA1A"
"IRF6","CSF1"
"IRF6","SOD2"
"IRF6","ACTB"
"IRF6","PDLIM7"
"IRF6","CLU"
"EHF","PDK4"
"EHF","NDRG1"
"EHF","HLA-DRB1"
"EHF","ID3"
"EHF","SOCS3"
