"Regulator","Target"
"SNRNP70","ACTB"
"SNRNP70","MAT2A"
"SNRNP70","STMN1"
"SNRNP70","HSP90AA1"
"SNRNP70","FASN"
"BHLHE40","ACTB"
"BHLHE40","MAT2A"
"BHLHE40","STMN1"
"BHLHE40","APP"
"BHLHE40","HSP90AA1"
"BHLHE40","FASN"
"ZBTB18","ACTB"
"ZBTB18","MAT2A"
"ZBTB18","STMN1"
"ZBTB18","APP"
"ZBTB18","HSP90AA1"
"ZBTB18","FASN"
"HSPA5","ACTB"
"HSPA5","MAT2A"
"HSPA5","STMN1"
"HSPA5","APP"
"HSPA5","HSP90AA1"
"HSPA5","FASN"
"NFE2L1","ACTB"
"NFE2L1","MAT2A"
"NFE2L1","STMN1"
"NFE2L1","APP"
"NFE2L1","HSP90AA1"
"NFE2L1","FASN"
"TCEAL2","ACTB"
"TCEAL2","MAT2A"
"TCEAL2","STMN1"
"TCEAL2","APP"
"TCEAL2","HSP90AA1"
"TCEAL2","FASN"
"AGAP2","ACTB"
"AGAP2","STMN1"
"AGAP2","APP"
"AGAP2","HSP90AA1"
"AGAP2","FASN"
"MAPK1","ACTB"
"MAPK1","MAT2A"
"MAPK1","STMN1"
"MAPK1","APP"
"MAPK1","HSP90AA1"
"MAPK1","FASN"
"UGP2","ACTB"
"UGP2","MAT2A"
"UGP2","STMN1"
"UGP2","APP"
"UGP2","HSP90AA1"
"UGP2","FASN"
"PKM","ACTB"
"PKM","MAT2A"
"PKM","STMN1"
"PKM","APP"
"PKM","HSP90AA1"
"PKM","FASN"
"RAN","ACTB"
"RAN","MAT2A"
"RAN","STMN1"
"RAN","APP"
"RAN","HSP90AA1"
"RAN","FASN"
"ZMAT2","ACTB"
"ZMAT2","MAT2A"
"ZMAT2","STMN1"
"ZMAT2","APP"
"ZMAT2","HSP90AA1"
"ZMAT2","FASN"
"SSBP3","ACTB"
"SSBP3","MAT2A"
"SSBP3","STMN1"
"SSBP3","APP"
"SSBP3","HSP90AA1"
"SSBP3","FASN"
"TPPP","ACTB"
"TPPP","MAT2A"
"TPPP","STMN1"
"TPPP","APP"
"TPPP","HSP90AA1"
"TPPP","FASN"
"PRNP","ACTB"
"PRNP","MAT2A"
"PRNP","STMN1"
"PRNP","APP"
"PRNP","HSP90AA1"
"PRNP","FASN"
"CBX7","ACTB"
"CBX7","MAT2A"
"CBX7","STMN1"
"CBX7","APP"
"CBX7","HSP90AA1"
"CBX7","FASN"
"TPI1","ACTB"
"TPI1","MAT2A"
"TPI1","STMN1"
"TPI1","APP"
"TPI1","HSP90AA1"
"TPI1","FASN"
"YWHAZ","ACTB"
"YWHAZ","MAT2A"
"YWHAZ","STMN1"
"YWHAZ","APP"
"YWHAZ","HSP90AA1"
"YWHAZ","FASN"
"TCEAL6","ACTB"
"TCEAL6","MAT2A"
"TCEAL6","STMN1"
"TCEAL6","APP"
"TCEAL6","HSP90AA1"
"TCEAL6","FASN"
"GOT1","ACTB"
"GOT1","MAT2A"
"GOT1","STMN1"
"GOT1","APP"
"GOT1","HSP90AA1"
"GOT1","FASN"
"GOT1","DUSP1"
"GOT1","VIM"
"GOT1","APOE"
"GOT1","SPARC"
"NCALD","ACTB"
"NCALD","MAT2A"
"NCALD","STMN1"
"NCALD","APP"
"NCALD","HSP90AA1"
"NCALD","FASN"
"NCALD","DUSP1"
"NCALD","CRYAB"
"NCALD","HLA-E"
"NCALD","VIM"
"NCALD","NDRG1"
"NCALD","APOE"
"NCALD","HBA2"
"NCALD","SPARC"
"TSC22D4","VIM"
"TSC22D4","NDRG1"
"TSC22D4","APOE"
"TSC22D4","SPARC"
"OLIG1","NDRG1"
"OLIG1","SPARC"
