cluster_uid,target,sources,n_sources,silhouette_score,note
bb7972863f05,ABCF3,CSTF2;IRF3,2,0.1603,exp04_brca-coregtor-r1
a346e80a9431,ABCG1,HOXC5;CEBPB,2,0.2989,exp04_brca-coregtor-r1
a207fd6dae48,ABCG2,ZNF662;MIXL1,2,0.5919,exp04_brca-coregtor-r1
bec553c559a8,ABHD10,PHTF1;NFYC,2,0.1408,exp04_brca-coregtor-r1
81b7410481a1,ABHD11,SOX12;ILF2,2,0.1931,exp04_brca-coregtor-r1
b8c0e08db74b,ABHD12,AGMAT;ZNF688,2,0.3439,exp04_brca-coregtor-r1
4030a20188de,ABHD13,MAPK1;ZNF791,2,0.2531,exp04_brca-coregtor-r1
4e3f3b6137ef,ABHD14B,BCL6;RXRA,2,0.1106,exp04_brca-coregtor-r1
2fa45592dcc2,ABHD15,MTHFD1;PPARG;MLXIPL;ACO1;CAT;STAT5A;EBF1;GPD1;EBF3;SMAD6;CEBPA;HOXA10;KLF14;FOXP2;SUCLG1,15,0.3553,exp04_brca-coregtor-r1
778742e6732e,ABHD17A,RFXANK;CPSF4,2,0.2242,exp04_brca-coregtor-r1
864deaf5efdf,ABHD17B,ZNF207;ZNF121,2,0.1866,exp04_brca-coregtor-r1
e41a0f42c88d,ABHD17C,MIOS;SEMA4A,2,0.5325,exp04_brca-coregtor-r1
f65d2ec5e5f7,ABHD18,TIA1;ZFX,2,0.1131,exp04_brca-coregtor-r1
c47ea85fd58d,ABHD2,ZNF525;ASCC1,2,0.358,exp04_brca-coregtor-r1
4a637c42c260,ABHD3,GMEB2;ZNF630,2,0.3571,exp04_brca-coregtor-r1
354b839fdfeb,ABHD4,ASCC1;NR3C1,2,0.125,exp04_brca-coregtor-r1
1c1d30f1a919,ABHD5,FBXL19;EBF3,2,0.2195,exp04_brca-coregtor-r1
39e405409ae0,ABHD6,ZEB2;BNC2;EPAS1;TFE3;FOXN3;ACO1;EBF2;CAT;SMAD6;ZFP92;MEOX2;SATB2;ZEB1;EBF1;MEOX1;DAB2;ERG;EBF3,18,0.192,exp04_brca-coregtor-r1
03ecec8cde01,ABHD8,ZFPM1;RBM42;NR2F6;ZNF408;SIRT6;SCAND1;ARFGAP1;HSF1;ASPSCR1;XRCC1;TIGD5;NELFB;ZNF513;SOX12;FBXL19,15,0.0915,exp04_brca-coregtor-r1
7497fdf3bb41,ABI1,PIK3C3;ZNF567,2,0.2222,exp04_brca-coregtor-r1
de787a44bc89,ABI2,ZFP2;ZBTB44,2,0.1883,exp04_brca-coregtor-r1
cf8a1ab01867,ABI3,THAP11;ZNF878,2,0.4621,exp04_brca-coregtor-r1
74883aee8d97,ABI3BP,PRRX1;XG;BNC2;EBF2;TCF4;LMX1A;DUSP22;FEZ1;ETS1;ZEB1;DAB2;CREB5;FLI1;MSX1;EBF3;RBPJ;ZEB2;JAZF1;ZNF423,19,0.2436,exp04_brca-coregtor-r1
b2b08b785da6,ABITRAM,PRDM4;RBBP9,2,0.1255,exp04_brca-coregtor-r1
702dae118eb2,ABL2,GTF2H3;ATF1,2,0.2113,exp04_brca-coregtor-r1
5b61fd79306b,ABLIM1,MEF2C;RBMS1;ZHX3;MITF;FLI1;RBPJ;EIF5A2;BNC2;KLF3;TCF4;KLF11;ETS1;PRDM5;KLF7;ZFHX3;DUSP22;DAB2;SMAD3;KLF8,19,0.2181,exp04_brca-coregtor-r1
738fa155ef15,ABLIM3,CAT;EPAS1;PPARG;EBF1;ZFP92;ZNF366;RXRG,7,0.2505,exp04_brca-coregtor-r1
3b0101276a86,ABO,ZNF334;ZNF284,2,0.2595,exp04_brca-coregtor-r1
74b65b0c1bd3,ABR,E2F4;ZKSCAN5,2,0.1949,exp04_brca-coregtor-r1
979d34526399,ABRACL,ILF2;SFT2D1;RAN;AKR1A1;USP39;SRP9;UTP18;RFC2;NME1;GOT1;YWHAE,11,0.1269,exp04_brca-coregtor-r1
bd5ec261da2b,ABRAXAS1,ZNF624;GABPA;FOXJ2;ZNF354C;ATF2;ZNF383;ZNF441;ELF2;NR2C1;TFDP2,10,0.0318,exp04_brca-coregtor-r1
48a7c98244d7,ABRAXAS2,SFT2D1;PSMD12,2,0.1922,exp04_brca-coregtor-r1
df3e48769ae5,ABT1,GAR1;WRNIP1;ZSCAN16;NFYC;MAGEF1;HNRNPC;POLE3;NONO;ILF2;HDAC3,10,0.1332,exp04_brca-coregtor-r1
c882db043b0e,ABTB1,SPR;PCK2,2,0.2941,exp04_brca-coregtor-r1
2e6cebffc3b2,AC005261.1,ZNF600;CERS5;TSNAX;CSNK2B;ZNF22;ZNF284;TMEM33;TAF9;ZNF672;RAN;MAX;TBPL1;ABCF2;SNRPB2;PKNOX1;THAP11,16,0.0746,exp04_brca-coregtor-r1
8f79aa314b17,AC005332.6,CCDC25;MDM2,2,0.203,exp04_brca-coregtor-r1
f00dc24cfb8e,AC005670.3,ZBED6;ZNF160,2,0.191,exp04_brca-coregtor-r1
d128b51903c1,AC006001.3,SKI;MECOM,2,0.1843,exp04_brca-coregtor-r1
8f31a4030f53,AC006978.1,NFYC;POLE3,2,0.2078,exp04_brca-coregtor-r1
8c3126316e37,AC007406.4,ZNF254;TFAM,2,0.2246,exp04_brca-coregtor-r1
c6d5e1fe9d1d,AC007906.2,ZNF611;ODC1,2,0.2405,exp04_brca-coregtor-r1
47495d5d8f5b,AC008038.1,ZNF263;BARX1,2,0.1638,exp04_brca-coregtor-r1
bc3821ff9b48,AC008124.1,IKZF5;ZIK1,2,0.1518,exp04_brca-coregtor-r1
3d1e432574fc,AC015813.6,ZNF148;ZNF35,2,0.1984,exp04_brca-coregtor-r1
41a0e36ba12b,AC015922.3,CBFB;SFT2D1,2,0.1981,exp04_brca-coregtor-r1
395a3d67716a,AC016747.1,ZBTB1;RAB18,2,0.2643,exp04_brca-coregtor-r1
87b09533959c,AC018638.4,CARF;ZNF891;UBE2V1;ZNF573;ZNF655;NFAT5;ZNF471;EP300;ZNF789;PROX2;ZNF518A,11,0.2343,exp04_brca-coregtor-r1
2a500f797c0f,AC018647.2,SCMH1;ZFP2,2,0.1874,exp04_brca-coregtor-r1
676ebc655add,AC020916.1,HES7;SOX18;ZNF420,3,0.5127,exp04_brca-coregtor-r1
a879c0098810,AC021078.1,ZNF654;SFPQ,2,0.0837,exp04_brca-coregtor-r1
8b8ab36c7375,AC022007.1,MTHFD1;GPD1;PPARG;CAT;ACO1;MLXIPL;HOXA10;STAT5A;EBF1,9,0.2559,exp04_brca-coregtor-r1
e67ebc32cd7b,AC022034.1,IRF6;SOX9,2,0.1696,exp04_brca-coregtor-r1
dbcb000a8fe1,AC024075.2,ZNF502;SP100,2,0.1231,exp04_brca-coregtor-r1
fcdae531d23c,AC024293.1,RPL6;ZNF830;PQBP1;ECSIT;RPS4X;SSRP1;EEF1D,7,0.2076,exp04_brca-coregtor-r1
8343c8680b57,AC060780.1,NFAT5;PHF12,2,0.2535,exp04_brca-coregtor-r1
25c67785daba,AC068888.1,HOXC8;MTHFD1;NNT;RXRA;SOX6;EBF1;SOX5;SMAD6;HOXD3;FOXP2,10,0.1294,exp04_brca-coregtor-r1
5ba73a49c6de,AC069544.2,ZNF155;ZBTB43,2,0.208,exp04_brca-coregtor-r1
14f92f78b8fd,AC083843.2,IRF8;ZNF714,2,0.3185,exp04_brca-coregtor-r1
2e471f5ef001,AC090114.2,ODC1;PHF21A,2,0.2452,exp04_brca-coregtor-r1
