Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard,exp_name,dataset,tool,result_name,Unnamed: 0.2,Unnamed: 0.1,grn_collectri_f1,method
11,0c6844b39253,CSF1R,NONO;ZEB1;NCOR1;NFE2L1;ATF5;ATF6B;CTNNB1;ATF4;IRF9;YBX1;MLXIPL;RFX5;ZBTB17;MYRF;STAT1;STAT2;VEZF1;KLF13;PPARD;MAFK;POU6F1;MAX;LMO2;BHLHE41;ING4;CEBPB;DDIT3;USF2;RBPJ;ID2;SSRP1;ZGPAT;CEBPG;E2F4;STAT3;EWSR1;IRF3;SMARCA1;TFE3,39,0.3843,exp03_amygdala-coregtor-r1,0.50675,0.53464,0.52002,9.74226,14.15502,8.39807,0.52123,1.67506,0.45141,0.07692,0.13043,0.05085,exp03,amygdala,coregtor,r1,,,,
12,3a0c6f712b10,DUSP1,JUN;FOS;ID1;HES1;JUNB;NR4A1;IRF9;ATF3;ZEB1;STAT1;ATF6B;ID2;TCF12;TFDP1;ATF4;CEBPB;CEBPG;EGR1;DDIT3;ID4;NFIX,21,0.0,exp03_amygdala-coregtor-r1,0.59048,0.67619,0.58254,11.01219,39.44192,9.18098,0.57372,2.00364,0.47851,0.14286,0.10345,0.06383,exp03,amygdala,coregtor,r1,,,,
13,95e82e7c6a34,FASN,SREBF2;TFE3;CIC;CTBP1;EPAS1;HMGA1;SREBF1;ARNT2;MEF2D;POU6F1;NCOR2;BCL6;DBP;NR1H2;NFIC;MTA3;PPARD;KLF9;SKI;ZNF219;HES4;NPAS2;E4F1;SRF;HSF1;E2F4;ID1;MBD1;KLF13;SND1;ZBTB17;BHLHE41,32,0.0,exp03_amygdala-coregtor-r1,0.51394,0.50672,0.51697,8.39335,7.56692,7.03722,0.54,1.69219,0.46968,0.125,0.11429,0.06349,exp03,amygdala,coregtor,r1,,,,
14,f4fc3eb21821,FN1,LMO2;NFIC;RELA;STAT3;NFE2L2;TFE3;IRF3;BCL6;HDAC1;ETS2;EPAS1;HIF1A;HES5;RXRA;KLF13;STAT5B;HSF1;NONO,18,0.2683,exp03_amygdala-coregtor-r1,0.56645,0.63943,0.5817,13.51387,36.65288,12.79563,0.54346,1.94999,0.43756,0.16667,0.04615,0.0375,exp03,amygdala,coregtor,r1,,,,
15,174a74938d37,GADD45B,ARID5A;NFIL3;CEBPD;BHLHE40;JUN;DDIT3;ATF3;CEBPB;CEBPG;ERF;JUNB;XBP1;STAT3,13,0.0,exp03_amygdala-coregtor-r1,0.65171,0.76709,0.63248,19.97013,45.515,10.81461,0.61721,2.18142,0.50928,0.30769,0.17391,0.125,exp03,amygdala,coregtor,r1,,,,
16,2906e1478660,GSTP1,USF2;DRAP1;ATF4;NR1H2;IRF3;ESRRA;ENO1;DDIT3;RFXANK;NFE2L2;TRIM28;YBX1;HSF1;CREB3;THAP11;PIR;SND1,17,0.508,exp03_amygdala-coregtor-r1,0.51961,0.52819,0.53554,8.49569,11.98297,9.48667,0.48976,1.642,0.40581,0.05882,0.02564,0.01818,exp03,amygdala,coregtor,r1,,,,
17,6102d226999b,HBA2,USF2;HLF;SOX10,3,0.4161,exp03_amygdala-coregtor-r1,0.44444,0.5,0.38889,1.22133,2.79568,3.22237,0.65835,1.87623,0.63394,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
18,d3659b339bb1,HBB,EGR3;NCOR2,2,0.2517,exp03_amygdala-coregtor-r1,0.5,0.5,0.33333,1.58501,8.17325,0.0,0.4505,1.55644,0.34343,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
19,8fea564a156c,HLA-DRB1,STAT2;RFX5;NFE2L1;NONO;MLXIPL;STAT1;ATF6B;CEBPB;DDIT3;IRF9;ATF4;ID1;MAX;USF1;PIR;OLIG1;CREBZF;ZNF362;ZBTB17;BHLHE41;RFXANK;ASCL1;CEBPG;CEBPD;ZNF316;RELA;NFIC;YBX1;KLF13;NR1D2;PPARD;ING4;LMO2;ABL1;EWSR1;ZNF692;SF1;E2F4;STAT3;TFE3;ZEB1;CBFB;HDAC3;FOS;USF2;ID2;PBX2;SFPQ;ATF5;ERF;SOX8;SSRP1;MBD1;SMARCA1,54,0.2276,exp03_amygdala-coregtor-r1,0.50943,0.52225,0.52073,8.49317,12.15915,6.91718,0.51302,1.61123,0.44651,0.09259,0.16667,0.06329,exp03,amygdala,coregtor,r1,,,,
20,2cf2f5090664,HLA-E,ATF4;HSF1,2,0.3016,exp03_amygdala-coregtor-r1,0.5,0.5,0.5,5.37826,10.83705,4.97653,0.63219,2.49871,0.47903,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
