"Regulator","Target"
"GTF3A","SUMO1"
"SIRT6","SUMO1"
"SIRT6","VIM"
"SIRT6","RHOA"
"SIRT6","TGFB1"
"SIRT6","TKT"
"SIRT6","PDLIM7"
"SIRT6","PRKACA"
"CREB3","SUMO1"
"CREB3","GSTP1"
"CREB3","AKT1"
"CREB3","RHOA"
"CREB3","TGFB1"
"CREB3","SQSTM1"
"ARNT","SUMO1"
"ARNT","VIM"
"ARNT","AKT1"
"ARNT","RHOA"
"ARNT","TGFB1"
"ARNT","SQSTM1"
"ARNT","TKT"
"USF1","SUMO1"
"USF1","VIM"
"USF1","RHOA"
"USF1","TGFB1"
"USF1","SQSTM1"
"USF1","TKT"
"USF1","PDLIM7"
"USF1","PRKACA"
"EWSR1","SUMO1"
"EWSR1","VIM"
"EWSR1","GSTP1"
"EWSR1","AKT1"
"EWSR1","RHOA"
"EWSR1","TGFB1"
"EWSR1","SQSTM1"
"ZBTB7A","SUMO1"
"ZBTB7A","VIM"
"ZBTB7A","AKT1"
"ZBTB7A","RHOA"
"ZBTB7A","TGFB1"
"ZBTB7A","SQSTM1"
"ZGPAT","SUMO1"
"ZGPAT","VIM"
"ZGPAT","AKT1"
"ZGPAT","RHOA"
"ZGPAT","TGFB1"
"ZGPAT","SQSTM1"
"ZGPAT","TKT"
"ZGPAT","PDLIM7"
"ZGPAT","PRKACA"
"RXRB","SUMO1"
"RXRB","VIM"
"RXRB","AKT1"
"RXRB","HLA-E"
"RXRB","RHOA"
"RXRB","TGFB1"
"RXRB","SQSTM1"
"RXRB","TKT"
"RXRB","PDLIM7"
"RXRB","PRKACA"
"GTF2F1","SUMO1"
"GTF2F1","GSTP1"
"GTF2F1","AKT1"
"GTF2F1","RHOA"
"GTF2F1","RASSF1"
"GTF2F1","TGFB1"
"GTF2F1","SQSTM1"
"MLX","SUMO1"
"MLX","VIM"
"MLX","RHOA"
"MLX","TKT"
"MLX","CCND3"
"MLX","NOTCH1"
"MLX","PDLIM7"
"ZBTB17","SUMO1"
"ZBTB17","GSTP1"
"ZBTB17","AKT1"
"ZBTB17","RHOA"
"ZBTB17","RASSF1"
"ZBTB17","TGFB1"
"ZBTB17","SQSTM1"
"MBD2","SUMO1"
"MBD2","VIM"
"MBD2","RHOA"
"MBD2","CD44"
"MBD2","TGFB1"
"MBD2","TKT"
"CTBP1","SUMO1"
"CTBP1","VIM"
"CTBP1","AKT1"
"CTBP1","RHOA"
"CTBP1","RASSF1"
"CTBP1","TGFB1"
"CTBP1","SQSTM1"
"PBX2","SUMO1"
"PBX2","VIM"
"PBX2","AKT1"
"PBX2","HLA-E"
"PBX2","RHOA"
"PBX2","TGFB1"
"PBX2","SQSTM1"
"PBX2","TKT"
"PBX2","CCND3"
"PBX2","NOTCH1"
"PBX2","PDLIM7"
"PBX2","PRKACA"
"YY1","SUMO1"
"YY1","AKT1"
"YY1","TGFB1"
"ETV6","SUMO1"
"ETV6","RHOA"
"ETV6","CD44"
"ETV6","TGFB1"
"ETV6","SQSTM1"
"ETV6","PDLIM7"
"MBD1","SUMO1"
"MBD1","CDKN1B"
"MBD1","AKT1"
"MBD1","RHOA"
"MBD1","RASSF1"
"MBD1","TGFB1"
"MBD1","SQSTM1"
"MBD1","OGA"
"DMAP1","SUMO1"
"DMAP1","GSTP1"
"DMAP1","AKT1"
"DMAP1","RHOA"
"DMAP1","RASSF1"
"DMAP1","TGFB1"
"DMAP1","SQSTM1"
"LDB1","SUMO1"
"LDB1","VIM"
"LDB1","AKT1"
"LDB1","RHOA"
"LDB1","RASSF1"
"LDB1","TGFB1"
"LDB1","SQSTM1"
"NFYC","SUMO1"
"NFYC","VIM"
"NFYC","HLA-E"
"NFYC","TGFB1"
"NFYC","TKT"
"NFYC","NOTCH1"
"NFYC","PDLIM7"
"NFYC","PRKACA"
"UBTF","SUMO1"
"UBTF","GSTP1"
"UBTF","AKT1"
"UBTF","PCNA"
"UBTF","RASSF1"
"UBTF","TGFB1"
"UBTF","SQSTM1"
"HDAC1","SUMO1"
"HDAC1","GSTP1"
"HDAC1","AKT1"
"HDAC1","PCNA"
"HDAC1","RASSF1"
"HDAC1","TGFB1"
"HDAC1","SQSTM1"
"ATF6B","SUMO1"
"ATF6B","VIM"
"ATF6B","GSTP1"
"ATF6B","AKT1"
"ATF6B","RHOA"
"ATF6B","TGFB1"
"ATF6B","SQSTM1"
"ATF6B","PDLIM7"
"NFE2L1","SUMO1"
"NFE2L1","AKT1"
"NFE2L1","RHOA"
"NFE2L1","TGFB1"
"NFE2L1","SQSTM1"
"KDM5A","SUMO1"
"KDM5A","CDKN1B"
"KDM5A","AKT1"
"KDM5A","RHOA"
"KDM5A","TGFB1"
"KDM5A","SQSTM1"
"KDM5A","OGA"
"SFPQ","SUMO1"
"SFPQ","AKT1"
"SFPQ","PCNA"
"SFPQ","RHOA"
"SFPQ","RASSF1"
"SFPQ","TGFB1"
"SFPQ","SQSTM1"
"ELF4","SUMO1"
"ELF4","VIM"
"ELF4","AKT1"
"ELF4","HLA-E"
"ELF4","RHOA"
"ELF4","CD44"
"ELF4","TGFB1"
"ELF4","SQSTM1"
"ELF4","TKT"
"ELF4","NOTCH1"
"HMGB1","SUMO1"
"HMGB1","CDKN1B"
"HMGB1","PCNA"
"HMGB1","OGA"
"STAT5A","SUMO1"
"STAT5A","AKT1"
"STAT5A","HLA-E"
"STAT5A","RHOA"
"STAT5A","TGFB1"
"STAT5A","TKT"
"STAT5A","PRKACA"
"CTCF","SUMO1"
"CTCF","CDKN1B"
"CTCF","AKT1"
"CTCF","PCNA"
"CTCF","TGFB1"
"CTCF","SQSTM1"
"CTCF","OGA"
"BACH1","SUMO1"
"BACH1","CDKN1B"
"BACH1","VIM"
"BACH1","MCL1"
"BACH1","RBL2"
"BACH1","AKT1"
"BACH1","MAT2A"
"BACH1","SOCS3"
"BACH1","CD44"
"BACH1","NFKBIA"
"BACH1","SPARC"
