cluster_uid,target,sources,n_sources,silhouette_score,note
ba640ca9d2b8,MCL1,HIF1A;SOX9;STAT3;JUNB;NFE2L2;NR4A1;HES4;RELA;KLF16;EGR1;ENO1;XBP1;ATF3;RFX4;RXRA;JUN;SF1;HIF3A;NFIL3;FOS;BHLHE40;NFIA;HMGB2;ETS2;LHX2;ERF;HDAC1;BCL6;NR1D1;CEBPD;EPAS1;ARID5A;EGR3;ATF5;PBX2;CEBPB;CBFB;YBX1;PIR;KLF9;SRF;KLF15;TFE3;PPARD,44,0.3198,exp03_amygdala-coregtor-r1
fe3437e01497,NDRG1,SOX10;SMARCC1;VEZF1;MYRF;NKX6-2;RBPJ;CBFB;FOXO4;MAFK;ZEB2;MXI1;ZNF24;SOX8;SMARCA5;ABL1;RELA;TCF12,17,0.5428,exp03_amygdala-coregtor-r1
93594709d3f8,NFKBIA,IRF3;XBP1;HMGB2;DDIT3;SF1;CBFB;ATF3;RELA;NFIL3;ERF;ARID5A;LMO2;EWSR1;ENO1;STAT3;BCL6;ZHX2;CEBPD;CEBPB;ZSCAN18;ETS2;BCLAF1;CEBPG;HIF3A;KLF15;HIF1A;NFE2L2;MXI1,28,0.4091,exp03_amygdala-coregtor-r1
0d04bc1ee60f,OGA,FOXJ3;ZSCAN18;HDAC3;MBD1;NFE2L1;BCLAF1;LDB1;TFCP2;FOXO3;TERF2;SND1;HSF4;SFPQ;NONO;SSRP1;E4F1;RXRB;ATF6B;ZBTB4;SF1;YY1;NFYC;THAP12;STAT5B;DMAP1,25,0.2836,exp03_amygdala-coregtor-r1
4f67f643995a,PCNA,MAX;SMARCA5;SND1;CTCF;HMGB1;SSRP1;TFCP2;THAP11;NFE2L2;UBTF;APEX1;SMARCA1;DMAP1;STAT5B;ING4;NFE2L1;TRIM28;TERF2;BCLAF1;CXXC1;YY1;ZNF189;RXRB;NONO,24,0.2071,exp03_amygdala-coregtor-r1
68bb33d4ed94,PDK4,HES4;ATF3;NFE2L2;HIF1A;EGR1;ERF;NFIA;JUNB;NR4A1;HIF3A;XBP1;EMX2;RXRA;ETV5;KLF15;NPAS2;MXD4;JUN;THRA;SREBF1;FEZF2;NFIL3;FOS;LHX2;PIR;NR2E1;ZBTB4;BCL6;NR1D1;CBFB;SMARCA5;MXI1;SFPQ;CEBPD;LDB1;HMGB2;KLF16;EGR3;CEBPB;SOX2;DDIT3;ENO1;SOX9;MEF2D;SKI;TRIM28;TERF2;MTA3;NCOR1;E4F1;NFIC;FOXO3;FOXG1;ATF5;SMARCA1;NFYC;HSF1;NR2F2,58,0.3435,exp03_amygdala-coregtor-r1
3a47d22f4329,PER1,MXI1;EMX2;HEY1;NR2E1;SMARCA1;NR2F2;KLF9;LHX2;SKI;CBFB;FOXO3;NFE2L2;ENO1;RXRA;THRA;CEBPD;HSF1;SOX2;CREBZF;KLF15;ID4;ETS2;DDIT3;EGR3;PIR;EGR1;ZBTB4;HMGB2;BHLHE40;SND1;JUNB;STAT5B;ATF2;HDAC1;APEX1;ZBTB18;JUND;NR4A1;ESRRA;HDAC3;HIF3A;MTA3;NR1D1;MBD1;ABL1;NONO;NPAS2;HES4;ATF5;FOS;RELA;ETV5;ZSCAN18;PPARD;SMARCA5;FEZF2;BCL6;SRF;CREB3;LDB1;NFIA;BHLHE22;CEBPB;ATF6B;TERF2;ERF;RFX4;HIF1A;TFDP1;ZHX2;JUN;DEAF1;CEBPG;NFIL3,74,0.3541,exp03_amygdala-coregtor-r1
e81be863a149,PIK3R1,BCLAF1;TBL1XR1;TFCP2;CTCF;ATF2;NR1D2;NFE2L1;SMARCA5;YY1;NCOR1;CREBZF;ZNF362;FOXO3;PBX1;THAP12;PBX2;ZBTB4;NONO;STAT5B,19,0.3774,exp03_amygdala-coregtor-r1
414875c315c1,PRKACA,NFYC;CTBP1;FOXJ3;HDAC3;ZSCAN18;LDB1;TERF2;SRF;MEF2D;SSRP1;TBPL1;DMAP1;E2F4;HLF;GTF2F1;YY1;NONO;RXRB;TBL1XR1;PBX2,20,0.3967,exp03_amygdala-coregtor-r1
b8914d74677e,RHOA,NFE2L2;SMARCA5;BHLHE41;YBX1;MXI1;HMGB1;CTCF;USF2;SMARCA1;BCLAF1;MBD1;TFCP2;SND1;ZHX2;ATF2;NONO;STAT2;MAX;RFXANK;ENO1;APEX1,21,0.2689,exp03_amygdala-coregtor-r1
