cluster_uid,target,sources,n_sources,method
2f457f516b3d,ACTA2,ARID5A;ATF3;ELF3;FOSB;KDM5D;KLF15;NKX2-1,7,exp03-coregnet
8befa04972c8,APOE,ATF3;FOSB;KDM5D;SOX7,4,exp03-coregnet
99c101d685f2,CD14,EGR1;FOS;FOSB;HIF3A;KDM5D;KLF15;ZBTB16,7,exp03-coregnet
d05266a9ebb4,CDKN1A,ARID5A;ARID5B;ATF3;BCL3;ETS2;FOSL2;HES1;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NR1D1;NR4A1;RELB;SMAD6;SOX7,20,exp03-coregnet
00a174858af5,CLU,ARID5A;ATF3;FOSB;KDM5D;MXD1;NKX2-1;NR4A2;OSR1;SOX7,9,exp03-coregnet
dde149e92437,CRYAB,ARID5A;ATF3;ELF3;FOSB;HES1;JUN;KDM5D;MAFF;MXD1;NKX2-1;NR1D1;NR4A1;SMAD6;SOX7;ZBTB16,15,exp03-coregnet
259c10bb75e7,CXCR4,ATF3;ELF3;FOS;FOSB;HES1;KDM5D;MXD1;SOX7;ZBTB16,9,exp03-coregnet
2b0360eda1f9,DUSP1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HES1;JUN;JUNB;KDM5D;KLF2;KLF4;MAFF;MXD1;NR4A1;NR4A2;SNAI1;SOX7;ZBTB16,19,exp03-coregnet
4cd8825fabbf,FASN,ARID5A;ATF3;BCL3;ELF3;FOSB;HES1;ID1;IRF1;KDM5D;KLF15;MXD1;NKX2-1;SMAD6;SOX7,14,exp03-coregnet
320eda5555cd,FN1,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;FOS;FOSB;HES1;IRF1;KDM5D;KLF15;MXD1;NFIL3;NKX2-1;NR4A1;NR4A2;RELB;SMAD6;SOX7,19,exp03-coregnet
ab12b376c394,GADD45B,ARID5A;ATF3;BCL3;BHLHE40;IRF1;JUNB;KDM5D;KLF15;MAFF;MXD1;NFIL3;NFKB2;NKX2-1;NR4A1;RELB;SOX7,16,exp03-coregnet
