cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
02a7c9b97329,ACTB,HNRNPA1;RPL35;ENO1;CSNK2B;SNRNP70,5,38.4615,0.243,exp02_muscle_skeletal-coregtor-n_five,0.40158,1.26528,0.34109,0.7,0.65,0.7,92.17166,45.42062,100.79577,0.0,0.0,0.0,0.0
f8f7023987ff,CARM1,SF1;TAF7;YBX1;KLF10;MEF2D,5,50.0,0.3908,exp02_muscle_skeletal-coregtor-n_five,0.47748,1.4522,0.40085,0.5,0.5,0.5,10.30121,10.74009,12.20589,0.0,0.0,0.0,0.0
320f45d9936b,CDKN1A,HNRNPA1;ENO1;GADD45A;SF1;CSNK2B,5,62.5,0.3643,exp02_muscle_skeletal-coregtor-n_five,0.43262,1.39026,0.35733,0.65,0.6,0.65,37.02731,24.26932,36.48075,0.0,0.0,0.0,0.0
cf3d70029473,CRYAB,NR4A1;CYB5R1;BHLHE40;PDLIM5;CFL2,5,38.4615,0.4498,exp02_muscle_skeletal-coregtor-n_five,0.23148,0.76996,0.23797,0.48333,0.48333,0.48333,3.86574,5.30469,3.69721,0.0,0.0,0.0,0.0
bb4189a5ad27,DUSP1,NR4A1;JUNB;CEBPB;HNRNPA1;CEBPD,5,35.7143,0.3694,exp02_muscle_skeletal-coregtor-n_five,0.57319,1.95391,0.47913,0.55,0.75,0.65,31.25127,61.07979,30.07859,0.2,0.034482758620689655,0.0588235294117647,0.030303030303030304
8281ae713b55,DUSP1,CSNK2B;RPS4X,2,14.2857,0.3183,exp02_muscle_skeletal-coregtor-n_five,0.37494,1.09288,0.33589,0.5,0.5,0.5,42.71022,11.50966,56.82104,0.0,0.0,0.0,0.0
839015921096,GSTP1,DRAP1;CSNK2B;UBXN1;PSMA6;RPS10,5,83.3333,0.7856,exp02_muscle_skeletal-coregtor-n_five,0.31245,0.9587,0.28518,0.5,0.5,0.5,11.73689,10.8915,17.70525,0.0,0.0,0.0,0.0
d1b40d83698b,HBB,UGP2;ESRRA;RPL35,3,12.5,0.2161,exp02_muscle_skeletal-coregtor-n_five,0.27855,0.61296,0.31128,0.5,0.5,0.5,1.16553,1.16474,4.35392,0.0,0.0,0.0,0.0
76845f45761c,HBB,GPD1;CEBPD;ENO1;HNRNPA1;SNRNP70;CFL2,6,25.0,0.0604,exp02_muscle_skeletal-coregtor-n_five,0.31202,1.0045,0.28033,0.54444,0.56667,0.58889,32.60612,24.19848,33.88799,0.16666666666666666,0.01694915254237288,0.030769230769230767,0.015625
aa76e1697b97,HLA-E,RPL35;HNRNPA1;SNRNP70;CEBPD;RPS4X,5,71.4286,0.5343,exp02_muscle_skeletal-coregtor-n_five,0.47243,1.43007,0.38659,0.7,0.65,0.7,124.13199,46.02094,129.22498,0.0,0.0,0.0,0.0
