cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
5e6e50664741,TAX1BP3,ZBTB45;CPTP;ZNF768;ZNF622;FBXL19;ZNF174;ZNF408;NFYC;TFEB;FIZ1;FAAP24;C19orf25;ZBTB47;GPANK1;ZNF574;ZNF213;VPS72;BRF2;ZNF576;ZSWIM1,20,0.4075,exp01_blood-coregtor-r1,0.42412,0.36754,0.43684,2.82562,0.41194,1.86871,0.49534,1.0817,0.48926,,,,
e9c3c353b958,TBC1D1,STAT6;NFYC;ZNF652;ZNF592;PBX2;DPF2;STK40;ZNF18;TFE3,9,0.0,exp01_blood-coregtor-r1,0.44444,0.37963,0.43981,1.9999,0.82672,1.93585,0.54359,1.34214,0.53053,,,,
e268237ffa9a,TBC1D10A,HMGXB3;ZNF598;BRF1;ZNF76;NFATC1;SF1;ZBTB4;NELFA;ZNF394;HNRNPA0;MAP4K2;ZNF34;ZHX2;RELA;PHF1;LAS1L;PPARD;SMAD3;ZNF496,19,0.3357,exp01_blood-coregtor-r1,0.47758,0.44201,0.47758,4.57139,4.54657,4.82255,0.41219,1.14529,0.38876,,,,
f0e19c4d65ec,TBC1D10B,TSC22D4;NR1H2;ZNF672;CIC,4,0.0,exp01_blood-coregtor-r1,0.41667,0.33333,0.44444,0.87022,0.14066,1.51685,0.45648,1.13998,0.44979,,,,
6b90b2674f9b,TBC1D10C,GLI4;ZGPAT;STUB1;SNRNP70;DMAP1;MZF1;ASPSCR1;ZNF688;GTF3C5,9,0.0,exp01_blood-coregtor-r1,0.51389,0.41204,0.51852,6.46137,1.22396,6.81003,0.42657,1.08066,0.4135,,,,
ac0f9272cb8f,TBC1D12,ZNF621;UBP1;ZBTB41;ZNF131;ELK3;ZNF121;RUFY3;MBTPS2;LARP4;RBAK;ZBTB11;ZHX1;DNAJC21;THAP12;ZNF736;ZBTB33;ZNF280D;PRNP;GTF2H3;SMAD5;LCORL;MIOS;IRF8;ZNF805;SOCS4;MEF2C;CLOCK;ZNF532;MITF;CCNT2;ZNF761;ZNF449;ZNF644;ZNF627;CARF;ZNF562;BCLAF1;ZNF430;SMARCA5;ZNF706;ZZZ3;MLLT10,42,0.3668,exp01_blood-coregtor-r1,0.42238,0.38511,0.45064,2.08138,0.94854,2.6156,0.51379,1.30294,0.49244,,,,
664c2e184751,TBC1D13,GTF3C2;ZNF324;MIEF1;NELFB;CTBP1;HDAC1;E2F4;ZNF707;ZDHHC5;TBP;KDM4A;ZNF512;ZNF317;SETDB1,14,0.2417,exp01_blood-coregtor-r1,0.54396,0.52564,0.54212,9.71972,13.19703,7.02793,0.38775,1.1134,0.36086,,,,
9fdce39fe383,TBC1D14,E2F3;MEF2A;KLF7;KLF13,4,0.0,exp01_blood-coregtor-r1,0.5,0.44444,0.5,1.9211,3.22023,2.50838,0.64346,2.04805,0.61323,,,,
7e0fb7fea759,TBC1D15,GTF2A1;SF3B1;ZFX;RBM7;TSNAX;SP3;ING3;BCLAF1;CCNT2;ZNF654;ZNF267;HMGB1;HBP1;NCOA2;ZNF143;TBL1XR1;ELF2,17,0.518,exp01_blood-coregtor-r1,0.48652,0.47181,0.49755,9.41462,6.61261,7.18096,0.47428,1.36337,0.41807,,,,
ea31f5fb546c,TBC1D16,HCLS1;JDP2;PICK1;MLXIP;LHX4;RAB7A;AHR,7,0.2287,exp01_blood-coregtor-r1,0.45238,0.39683,0.47619,2.70935,2.42405,1.56776,0.39547,1.28182,0.34741,,,,
e91085cee07f,TBC1D17,MZF1;E4F1;IRF3;TRIM28;SNRNP70;BRF1,6,0.0,exp01_blood-coregtor-r1,0.5,0.52222,0.5,16.68831,4.47686,17.48358,0.43424,1.33591,0.39301,,,,
a8437368d13c,TBC1D19,HNRNPA1;NFATC2;ZNF639;SCMH1;ZNF251;ILF3;TERF1;ZNF131;TIGD1;ZNF76;PLAG1;MYBL1;IKZF2;KLF12;ZBTB25;PPP2R3B;NCALD;TCF12;KDM4C;EOMES;NNT;AEBP2;ZNF714;CARF;ZIK1;MTF2;HP1BP3;ZFP1;TET1;DAZAP1;RORA;CREB3L4;DNMT1;PRRX1;BAD;KLRG1;ZNF775;RFX7;CREBZF;ZNF367;ZNF827;RPS4X;HOXA9;SSBP3;LCORL;ZNF146;GTF3C5;ZNF491;ZBTB8A;RORC;ZNF704;STAT4;ZBTB5;GFI1;AVEN;LAS1L;ZNF280D;HMG20B;HMGB2;ZNF227;MSI2;SP140;SOX4;ZNF711;SETBP1;ZNF286A;ZNF695;LEF1;ZNF16;ZSCAN21;BACH2;RFC3;CSNK2B;HDAC2;ZNF519;ZNF48;RUFY3;HNRNPA0;PSMA6;ILF2;TFDP2;ZNF286B;ZNF726;IRF6;HSF2;HMGXB3;TCF7;FHL2;ZNF256;AHDC1;HHAT;DRAP1;SMARCA1;HMGB3,94,0.2339,exp01_blood-coregtor-r1,0.40655,0.40052,0.42601,3.54383,3.38061,3.75435,0.48112,1.23207,0.45903,,,,
ead2faa12971,TBC1D2,DDIT3;BHLHE40;MXD1;CNOT3;TGIF1;ARID3B;ERF;ZNF878;KDM7A;PRDM10,10,0.2973,exp01_blood-coregtor-r1,0.43519,0.40556,0.43704,1.63171,1.73874,1.73858,0.52,1.34059,0.49576,,,,
