cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
d74671bdb6d2,WBP11,ZKSCAN8;AFF4;DHX36;ZNF275;HNRNPA0;METTL14,6,0.1397,exp01_bladder-coregtor-r1,0.5,0.43889,0.53333,17.14992,7.61764,15.80598,0.42415,1.17292,0.37896,,,,
a016844dfb03,WBP1L,HOXA4;ZNF239,2,0.3792,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.71865,1.91835,0.67068,,,,
976306eba9e0,WBP1LP2,ZNF772;HIVEP1,2,0.2708,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.19776,0.0,1.10876,0.80696,1.92638,0.75754,,,,
edfeb40cabfb,WBP2,NR1H2;ZNF777;HSF1;RBM42;RELA,5,0.2128,exp01_bladder-coregtor-r1,0.5,0.43333,0.5,5.68871,5.05654,11.74449,0.42304,1.37322,0.36141,,,,
7f1ef0c8ea79,WBP2NL,ZNF286B;ZNF493,2,0.3238,exp01_bladder-coregtor-r1,0.0,0.0,0.0,0.0,0.0,0.0,0.90767,2.24629,0.81516,,,,
5af7135ac864,WBP4,ZNF445;GTF2A1L,2,0.3924,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.46158,0.99646,0.44434,,,,
55bce788a112,WDCP,TIGD7;FOXD4;ZNF830;TAF7,4,0.305,exp01_bladder-coregtor-r1,0.38889,0.36111,0.38889,0.38492,0.14885,0.43398,0.4238,0.91757,0.40705,,,,
95bec1bdb49e,WDFY1,HSF1;GTF2H3,2,0.3418,exp01_bladder-coregtor-r1,0.33333,0.5,0.5,0.0,6.53478,0.60755,0.37686,1.25843,0.32307,,,,
ac513f57efbe,WDFY2,NONO;SF3B1;POU2F1;ZNF345;CREBZF;GTF3C2,6,0.2148,exp01_bladder-coregtor-r1,0.48889,0.44444,0.48889,17.17758,11.94844,18.59099,0.48954,1.45426,0.43564,,,,
2a7be1d8c27f,WDFY3,NF1;DIS3;VPS4B;ELF1;NCOA2;ZHX1,6,0.1776,exp01_bladder-coregtor-r1,0.48889,0.46667,0.5,3.05316,2.45127,4.35259,0.3402,1.01658,0.3104,,,,
b88ae7a62c63,WDFY3-AS2,SCMH1;PRDM5;ZNF717,3,0.2414,exp01_bladder-coregtor-r1,0.44444,0.38889,0.44444,0.96389,0.25497,1.04655,0.52994,1.30228,0.54057,,,,
57902166fa43,WDFY4,BATF;ZNF813,2,0.3603,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.49415,1.29385,0.50102,,,,
11166b7b8ab5,WDHD1,MTERF1;CNOT6,2,0.3307,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.26912,0.71438,0.27859,,,,
c261d1fca548,WDPCP,HOXC10;EZR,2,0.2827,exp01_bladder-coregtor-r1,0.5,0.5,0.5,4.73817,0.80628,1.91521,0.20986,0.64495,0.19392,,,,
dc9a53b81a4f,WDR1,YBX1;SP100,2,0.2495,exp01_bladder-coregtor-r1,0.5,0.5,0.5,8.91195,2.09868,6.90133,0.42068,1.42335,0.32489,,,,
497d4480ce55,WDR11,IRF4;ZNF12;VDR;KDM2A;GMEB1;ZNF223;DR1;ZNF417,8,0.2118,exp01_bladder-coregtor-r1,0.45238,0.29762,0.45238,2.63769,0.98506,2.30193,0.57649,1.5619,0.53405,,,,
6e48e0045454,WDR11-AS1,ZNF556;NR1D1,2,0.2291,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.45052,1.3029,0.41228,,,,
c88cdf19ae91,WDR12,PDCD11;PUM3;RAN;TIMM8A;ILF2;CEBPZ,6,0.1862,exp01_bladder-coregtor-r1,0.65556,0.61111,0.66667,58.89277,47.38045,66.14457,0.39022,0.86345,0.38725,,,,
f6f7769702ba,WDR13,ZNF35;PHF21A,2,0.3445,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.71756,0.0,0.74146,0.56619,1.19694,0.56233,,,,
54fe44e7eb23,WDR17,MAFF;ZNF564,2,0.1655,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.98014,0.77228,1.86336,0.73244,,,,
6e1ce7c222fa,WDR18,HTATIP2;ZBTB26,2,0.2885,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.17001,0.0,0.9605,0.3102,0.65029,0.31141,,,,
f6ae53358622,WDR19,ZNF367;MLLT10,2,0.1774,exp01_bladder-coregtor-r1,0.0,0.33333,0.33333,0.0,0.0,0.0,0.63213,1.43685,0.65039,,,,
48cb22f61ca2,WDR20,ZNF131;ZNF396,2,0.2213,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.7528,1.89245,0.68031,,,,
dd06e8f53e13,WDR24,ZNF444;REL,2,0.233,exp01_bladder-coregtor-r1,0.5,0.5,0.5,0.85988,0.41009,1.16502,0.6204,1.51773,0.59851,,,,
0c0b385e96f6,WDR25,ZBTB44;LUZP2,2,0.3935,exp01_bladder-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.07624,0.16218,0.20284,,,,
5e75ced4a5d0,WDR26,EP300;PLAGL2,2,0.3105,exp01_bladder-coregtor-r1,0.5,0.5,0.5,2.55782,0.40649,4.41404,0.25801,0.8045,0.24525,,,,
ee19f0085973,WDR27,PROX1;PBX2,2,0.2818,exp01_bladder-coregtor-r1,0.33333,0.5,0.5,0.0,1.31843,0.84643,0.57729,2.3708,0.409,,,,
95effb655d10,WDR3,MAGOH;ZNF778,2,0.1809,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.39588,0.97681,0.36357,,,,
c6b3de09a720,WDR31,ZNF689;ZNF2,2,0.1245,exp01_bladder-coregtor-r1,0.5,0.5,0.5,10.40746,2.40395,10.60884,0.83014,1.6352,0.82228,,,,
e50c7459324d,WDR33,ZNF226;ZNF773,2,0.2482,exp01_bladder-coregtor-r1,0.5,0.5,0.5,1.99792,2.26951,4.51669,0.87096,2.0043,0.81596,,,,
0ee1bca1ca96,WDR35,ZNF740;RAN,2,0.0949,exp01_bladder-coregtor-r1,0.5,0.5,0.5,24.6991,0.48927,12.43892,0.24766,0.59324,0.26926,,,,
7d4bcc689eac,WDR36,ZNF326;AHR,2,0.3595,exp01_bladder-coregtor-r1,0.5,0.5,0.5,3.78452,0.76089,8.17989,0.39574,1.29019,0.33238,,,,
5813f8b4f52a,WDR37,ZBTB1;ZNF300,2,0.2734,exp01_bladder-coregtor-r1,0.33333,0.5,0.5,0.0,2.34599,1.35389,0.53644,1.41844,0.47559,,,,
58cf671b97b0,WDR38,CYCS;MEOX1,2,0.4406,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.50807,0.0,1.07937,0.20513,0.40093,0.26298,,,,
b60a3b0cec3a,WDR4,MYEF2;MEIS1,2,0.1022,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,0.68434,0.0,0.42616,1.13596,0.37365,,,,
b61e5594d288,WDR41,ZNF326;NXPH3,2,0.1339,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.13064,0.40455,0.15734,,,,
c62b7ec5b55d,WDR43,TSN;TRMO,2,0.1744,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.96813,0.0,1.78621,0.44764,1.47207,0.32267,,,,
45a4b1f1faa2,WDR44,PHF20;MAPK1;VEZF1;TEAD1;LRRFIP1;UBP1;ZEB1;KAT7,8,0.1744,exp01_bladder-coregtor-r1,0.5119,0.45238,0.5119,12.2526,8.9372,5.1006,0.5118,1.43126,0.47132,,,,
1c4b4d6835e1,WDR45,PHTF1;ZNF26,2,0.2344,exp01_bladder-coregtor-r1,0.33333,0.25,0.33333,0.0,0.0,0.0,0.36247,0.89925,0.24886,,,,
eccd5b1fa725,WDR45B,ZNF460;MBD2,2,0.2578,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.58631,0.0,0.47165,0.39863,1.04917,0.37688,,,,
b0faca358136,WDR45P1,PSMD12;ZNF671,2,0.3476,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.45372,0.0,1.14608,0.20654,0.51234,0.25128,,,,
88a65e613f13,WDR46,TEAD4;E2F4;SSRP1;ABCF2;PDCD11;STAT3;STAT5A;RUVBL1,8,0.1804,exp01_bladder-coregtor-r1,0.51786,0.54762,0.53571,18.12773,19.20682,22.08924,0.35731,1.12793,0.33917,,,,
b64495a5c7d5,WDR47,SMAD4;CDC5L;VEZF1;ZNF644;CTCF;HNRNPLL;BBX;HLTF,8,0.0838,exp01_bladder-coregtor-r1,0.55357,0.52381,0.53571,22.02398,5.59397,15.89976,0.4702,1.25858,0.43851,,,,
0a73c3fb5d1e,WDR48,SATB1;ZBTB14;CREBL2;HLTF;ZNF45;ZBTB11;ADNP;ZNF677,8,0.0926,exp01_bladder-coregtor-r1,0.43452,0.40476,0.45238,4.28421,1.21966,5.22747,0.57688,1.46684,0.54879,,,,
4dcecee0fb47,WDR49,RPS4X;BBX,2,0.5236,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,36.8638,0.0,31.92048,0.30497,0.63201,0.3177,,,,
d64ac60c6ff7,WDR5,UBTF;TRIB2,2,0.2381,exp01_bladder-coregtor-r1,0.5,0.5,0.5,0.93336,0.6336,2.55852,0.26567,0.73883,0.26004,,,,
c9502e8a1921,WDR5-DT,IRX3;ZNF816,2,0.3555,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.54698,1.51442,0.54451,,,,
7f743c8d6d5d,WDR53,PSMD12;IKZF4,2,0.1951,exp01_bladder-coregtor-r1,0.5,0.5,0.5,0.46628,0.49836,0.89074,0.28038,0.68274,0.28744,,,,
bdd40cca88d3,WDR54,NCOA2;R3HDM2,2,0.1962,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.17638,0.0,2.76827,0.32305,0.70772,0.35649,,,,
e3625a19f86a,WDR55,ZNF28;VDR,2,0.2252,exp01_bladder-coregtor-r1,0.33333,0.0,0.33333,0.0,0.0,0.0,0.47814,1.4236,0.43376,,,,
3cc2a2b3eab2,WDR59,ZNF135;ZNF273,2,0.4468,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,2.96768,0.0,0.95854,2.12324,0.95659,,,,
49b74a42770c,WDR5B,ZSCAN23;ZNF429,2,0.1866,exp01_bladder-coregtor-r1,0.0,0.33333,0.0,0.0,0.0,0.0,0.94147,2.31843,0.90678,,,,
e0ad1fa60268,WDR5B-DT,ZNF225;NFE2L3,2,0.2116,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.71471,2.0549,0.67777,,,,
786bc8546b73,WDR6,ZNF32;ZNF263,2,0.3223,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.94561,0.0,0.9529,0.94136,2.28639,0.89548,,,,
89c2fa6e58ec,WDR61,TP53;MAFB,2,0.1958,exp01_bladder-coregtor-r1,0.5,0.5,0.5,39.58319,37.32573,31.09549,0.4336,1.79822,0.32251,,,,
9d4fe282d26a,WDR62,ADARB1;CREBL2;RFX7,3,0.466,exp01_bladder-coregtor-r1,0.38889,0.33333,0.38889,1.2668,0.0,1.39609,0.45649,1.26868,0.41901,,,,
a44e3661ab86,WDR7,PRDM4;PBX1,2,0.2376,exp01_bladder-coregtor-r1,0.5,0.5,0.5,2.68587,1.34764,2.45414,0.54904,1.53524,0.54817,,,,
478028a06fba,WDR70,SIN3A;NUP133;ZNF622;PIK3C3;NONO;KDM4C;CHD2,7,0.181,exp01_bladder-coregtor-r1,0.56349,0.5,0.54762,13.17793,7.73399,14.5908,0.28835,0.9358,0.2697,,,,
5a1e34cf82a5,WDR72,KIF22;ZNF343,2,0.3928,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.88343,0.0,1.91128,0.36014,0.73632,0.36976,,,,
afbc94a84b4f,WDR73,PHF21A;GTF2IRD1,2,0.391,exp01_bladder-coregtor-r1,0.5,0.5,0.5,17.28593,2.43812,2.85726,0.55982,1.21519,0.58504,,,,
6124278eabcd,WDR74,ZNF622;ZNF598;STAT5A;RELA;CIC;DUSP22,6,0.2083,exp01_bladder-coregtor-r1,0.5,0.48889,0.48889,13.26682,10.19791,11.69298,0.32954,1.18604,0.27625,,,,
3befda1121e2,WDR75,ZNF432;STAT5B,2,0.2108,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.44053,1.11645,0.39658,,,,
0fc4d1be0476,WDR76,AVEN;RPS10;LEF1,3,0.2559,exp01_bladder-coregtor-r1,0.44444,0.44444,0.44444,2.43577,0.22889,4.12218,0.23172,0.52077,0.27795,,,,
bd418a8cfb25,WDR77,ETV3;ZNF774,2,0.1934,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.38226,0.60489,1.61904,0.56683,,,,
f2d303af4fc8,WDR81,SKOR1;PTPMT1,2,0.3237,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.24499,0.0,3.18219,0.23481,0.61833,0.26347,,,,
36f1b1cd4628,WDR82,ZNF689;ZNF134,2,0.2841,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.77578,1.83147,0.69437,,,,
81fd3b921fb0,WDR83OS,SCAND2P;ZBTB32,2,0.1327,exp01_bladder-coregtor-r1,0.0,0.0,0.0,0.0,0.0,0.0,0.46839,1.24275,0.42705,,,,
f0c48e8dcd39,WDR86,ZNF546;ZNF484,2,0.6344,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,2.69897,0.0,0.9244,2.11381,0.90655,,,,
c50b8157d453,WDR86-AS1,ZSCAN5A;RPL35;RFX8,3,0.3463,exp01_bladder-coregtor-r1,0.16667,0.44444,0.44444,4.42892,0.8009,0.56049,0.40001,0.93711,0.4289,,,,
3b90d2c63825,WDR87BP,ZNF773;ZNF274,2,0.2935,exp01_bladder-coregtor-r1,0.5,0.5,0.5,4.13722,1.64107,6.81101,0.84224,1.90747,0.81435,,,,
34eea5fd439f,WDR88,ARID3B;HLCS,2,0.3474,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.82062,0.0,5.46214,0.20246,0.29775,0.26803,,,,
fa08ac89df51,WDR89,ZNF267;ZNF805,2,0.2044,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,2.55758,0.0,5.08562,0.91806,2.15447,0.88066,,,,
7724e119d0d8,WDR90,ZNF611;GTF3C5,2,0.2017,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.07642,0.0,3.98405,0.31949,0.668,0.36552,,,,
045c9ce2370d,WDR91,CDK2AP1;NR2C1,2,0.2463,exp01_bladder-coregtor-r1,0.5,0.5,0.5,12.66059,1.23382,12.8965,0.41275,1.03048,0.42909,,,,
671f6516520c,WDR93,HES1;SF1,2,0.2511,exp01_bladder-coregtor-r1,0.5,0.5,0.5,0.98051,0.62403,1.99017,0.31146,0.92334,0.26599,,,,
4d320a3f099e,WDR97,CPTP;ETV4;SOX15,3,0.1467,exp01_bladder-coregtor-r1,0.38889,0.33333,0.38889,10.67532,0.0,10.83171,0.34013,1.12483,0.32824,,,,
2544d031c37d,WDSUB1,ZNF826P;NFYC,2,0.2328,exp01_bladder-coregtor-r1,0.0,0.0,0.0,0.0,0.0,0.0,0.56945,1.37426,0.5587,,,,
bb7de87c7cd1,WDTC1,FOXO4;CBX7;DPF2;ZNF777;KAT7;HIRIP3,6,0.2039,exp01_bladder-coregtor-r1,0.48889,0.42222,0.48889,13.14539,3.79233,5.17522,0.41468,1.13748,0.40105,,,,
8061f9bf3962,WEE1,TRAF4;ZBTB5,2,0.1916,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,0.42667,0.0,0.98172,0.30166,0.62902,0.34509,,,,
02be09309d37,WEE2,ZNF791;MAF,2,0.2194,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.70799,1.68088,0.67496,,,,
0c4825f4c6d5,WEE2-AS1,HDAC3;TSC22D4,2,0.2936,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.73756,0.0,0.9841,0.27545,0.92195,0.25178,,,,
9556498b046a,WFDC1,APEX2;ZNF8,2,0.3617,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,2.34911,0.0,4.0206,0.38518,0.73161,0.45949,,,,
6febcc2c5b7d,WFDC10B,HMG20B;PPP2R3B,2,0.3349,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.46722,0.77166,0.50013,,,,
0d00758e0e5d,WFDC13,FOXD1;SALL2,2,0.3413,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,4.90639,0.0,0.63228,2.07565,0.53018,,,,
925f58d4b815,WFDC2,ATOH7;RNF114,2,0.5875,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.25015,0.73221,0.27077,,,,
03e3b024e566,WFDC21P,DDIT3;GSC,2,0.3432,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.8525,0.45279,1.66557,0.38821,,,,
575185fa7191,WFDC3,RPL6;PHF21A,2,0.6412,exp01_bladder-coregtor-r1,0.5,0.5,0.5,12.81613,0.02086,5.29075,0.33938,0.78831,0.34188,,,,
ce4a65fcbd48,WFIKKN1,AHCTF1;ATF6B,2,0.3597,exp01_bladder-coregtor-r1,0.5,0.5,0.5,3.9493,2.28573,2.66031,0.40639,1.20968,0.36221,,,,
db2d3052dd1e,WFIKKN2,PSMC2;KLF4,2,0.5013,exp01_bladder-coregtor-r1,0.5,0.5,0.5,3.52484,1.84702,3.59408,0.32767,1.28637,0.23055,,,,
f6409670d371,WFS1,PBX1;BNC2,2,0.1763,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,5.93941,0.0,0.46677,1.19772,0.47695,,,,
b103d1599053,WHAMM,ZNF689;WRNIP1,2,0.2417,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,3.34175,0.0,3.80523,0.46459,0.9851,0.47793,,,,
9bfca94b28fd,WHAMMP2,TFCP2L1;MEOX2,2,0.3318,exp01_bladder-coregtor-r1,0.33333,0.5,0.33333,0.0,1.17547,0.0,0.85585,2.36387,0.85512,,,,
650588301575,WHAMMP3,PATZ1;TFAP2B;NFIB;ZNF224,4,0.288,exp01_bladder-coregtor-r1,0.47222,0.41667,0.52778,4.06754,1.03772,2.03646,0.56902,1.66425,0.52256,,,,
b005fb4a98fc,WHRN,TIMM44;ZNF438;HSF4;ZSCAN18;CELF6;PPP2R3B,6,0.0835,exp01_bladder-coregtor-r1,0.4,0.32222,0.38889,0.53488,0.08985,0.5394,0.43937,0.88992,0.44223,,,,
3296d15a2dee,WIF1,NFIL3;HOXC11,2,0.3377,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,29.57073,0.0,3.15013,0.72296,1.97651,0.67038,,,,
21d41e2847df,WIPF1,AFF4;ZBTB20,2,0.2384,exp01_bladder-coregtor-r1,0.5,0.5,0.5,1.57844,0.79142,1.58773,0.42485,1.13392,0.3776,,,,
0e6a1d0df88b,WIPF2,ZBTB39;MIOS,2,0.344,exp01_bladder-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,0.94585,0.35712,0.76167,0.39973,,,,
7505d5c2012b,WIPF3,TBX1;TRIB3,2,0.1402,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.26645,1.08942,0.20046,,,,
a609ec5e0ac4,WIPI1,SOX15;GPD1,2,0.2918,exp01_bladder-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.1648,0.28047,0.23423,,,,
2c36e0667e4a,WIPI2,UBXN1;ARID5B,2,0.2301,exp01_bladder-coregtor-r1,0.5,0.33333,0.5,1.29345,0.0,1.37163,0.29264,0.83498,0.26345,,,,
