cluster_uid,target,sources,n_sources,silhouette_score,note
33beb9550ae4,ABCA3,NKX2-1;ATOH8;TCF21;ZBTB16;HLF;IRX2;NFIX;PRDM16;IRX1;CAT,10,0.2124,exp01_luad-coregtor-r1
db2390496d72,ABCA4,PPARGC1A;HOXD1;MESP2;GRHL3;RUNX1,5,0.3443,exp01_luad-coregtor-r1
b48527d38ecc,ABCA5,ZNF224;CLK1;SCAND2P;ZNF333;ZNF780B;ZNF410;ZNF44;RUFY3;NR2C1;ZNF326;RFX3;ZBTB25;ZNF10;ZNF440;RORA;ZNF782;ZNF662;POLI;ZNF700;UBE2V1;HMBOX1;ZBTB40,22,0.2137,exp01_luad-coregtor-r1
8bf4c85ad579,ABCA6,ZEB2;ZEB1;PGR;FLI1;ZNF366;MYLK,6,0.0,exp01_luad-coregtor-r1
a4757f185195,ABCA7,SNRNP70;ZGPAT;HSF4;SNAPC4;ARFGAP1;ZNF316;E4F1;KDM4B;ZNF692;ZBTB48;DAZAP1,11,0.285,exp01_luad-coregtor-r1
54106a63f2e2,ABCA8,TAL1;PKNOX2;TCF21,3,0.4662,exp01_luad-coregtor-r1
98d55f06bc40,ABCA9,ZEB2;MEIS1;ZEB1;FLI1;PGR;TPI1;PEG3;RORA;NME1;TCF4,10,0.3521,exp01_luad-coregtor-r1
474e32960e51,ABCB1,FLI1;EBF1;ETS1;ZEB2;ZEB1;IKZF1,6,0.2331,exp01_luad-coregtor-r1
31dfbf5b8ff6,ABCB10,ZBTB41;NUP133;TSNAX;AHCTF1,4,0.4555,exp01_luad-coregtor-r1
e3898cdcd230,ABCB11,ZNF706;SP1,2,0.3774,exp01_luad-coregtor-r1
776decf21ce7,ABCB4,ZNF275;TBX15;PPARG;ODC1;ZNF281;HMGB3;CREB3L2;ANXA1,8,0.1245,exp01_luad-coregtor-r1
e3aed1d4f01d,ABCB5,ZNF280B;ZNF343,2,0.4595,exp01_luad-coregtor-r1
efa4ef6cb01a,ABCB6,MAFG;HSF4;ZNF692;CREBZF;RPS10;PIR;GLI4;DNMT3A;ZNF516;FOXJ3;ZNF789,11,0.1792,exp01_luad-coregtor-r1
367325a9c9d8,ABCB7,ZBTB33;MBTPS2;NONO;TFAM;CEBPZ;FUBP1;TAF1,7,0.1852,exp01_luad-coregtor-r1
ff50199b0dcd,ABCB8,ZNF296;NELFB;ASPSCR1;NR1H2;C19orf25;ESRRA;ZNF524;E4F1;SIRT6;RFXANK;ABCF2;ZNF212;ZNF598;RBM42;GLI4;ZBTB17;CPTP;ZNF282;TSC22D4;BRF1;ARFGAP1;DRAP1;ZNF786;KLF16;ZNF653;ZNF837;BAD;ZNF775;ERF;ZNF316,30,0.1891,exp01_luad-coregtor-r1
27a35ca53b10,ABCB9,ZNF341;PPARGC1A;EPAS1;PHLDA2;DMBX1;DNTTIP1;AHDC1;ZNF217;FOXO1;DNMT1,10,0.153,exp01_luad-coregtor-r1
333cb6213ab3,ABCC1,RREB1;HCFC1;ZNF407;LARP1;ZNF142;MAFG;POU2F1;PDCD11;KMT2A;ZNF37A;ZNF32;NCOA3;KDM2A;ZNF592;ZNF236;NKX2-1;ZNF598;MTF1;ZNF491;CTCF;BPTF,21,0.1727,exp01_luad-coregtor-r1
545a5b45fb3d,ABCC10,ZNF707;FBXL19;SNAPC4;KMT2B;ILF3;ZNF335;DAZAP1;DGCR8;CRTC2;SNRNP70;ARFGAP1;ZBTB12;ZNF316;ZNF76;ZGPAT;FOXP4;HCFC1;ATF6B;ZNF142;DNMT3A;RXRB;CNOT3,22,0.3783,exp01_luad-coregtor-r1
77da40d3d5bb,ABCC11,ZNF135;FREM1,2,0.3816,exp01_luad-coregtor-r1
a148370f6ee7,ABCC13,TCF21;EPAS1;FOXF1;CAT;KIF22;TAL1;E2F8;GPD1;ETV4;HMGB3;CSTF2,11,0.2079,exp01_luad-coregtor-r1
e11dfdaa3be8,ABCC2,HTATIP2;PIR,2,0.5303,exp01_luad-coregtor-r1
0bc59d9ca3ea,ABCC3,FOXQ1;NFYB;CFL2;ID2;ETV4;DACH1;FEZ1;CXXC5;RUNX1;PHLDA2;NPAS2;SPR;FOXD2;HNF1B,14,0.2238,exp01_luad-coregtor-r1
5a8a2befbed2,ABCC4,RPS6KA5;ZNF641;FHL2;PKM;TRIP10;PITX1;SALL2;ZC3H7A,8,0.1909,exp01_luad-coregtor-r1
a12fdad013ae,ABCC5,CBFA2T2;LHX4;ZNF26;JRK;DNMT3A;ZNF783;UBE2V1;ZNF789;ZNF558;ZNF587;DIABLO,11,0.1525,exp01_luad-coregtor-r1
21c700c1632e,ABCC6,MELK;NKX2-1;MYBL2;RAN;HMGA1;ACAA1;HNF1B;HLF;KLF15;RFC3;FOXM1;STAT6;YBX1;IVD;MSANTD3,15,0.2522,exp01_luad-coregtor-r1
ee88fa4737a8,ABCC6P1,HMGA1;NKX2-1;HLF,3,0.1932,exp01_luad-coregtor-r1
7ac1e4f0a4a7,ABCC6P2,NKX2-1;HLF;DLX3;FOXM1;HOXD1;HNF1B,6,0.1535,exp01_luad-coregtor-r1
e6a034623ec7,ABCC8,INSM1;ASCL1;SMAD9,3,0.0,exp01_luad-coregtor-r1
fe2b4e0b8c47,ABCC9,ERG;ZEB1;TCF4;SETBP1;ZEB2;EBF1;ZNF366;PEG3,8,0.4457,exp01_luad-coregtor-r1
a15e115ade83,ABCD1,RFX1;GTPBP6;ZNF598;ZNF282;ZBTB7B;STK40;CPTP;TRIM28;HSF1;TSC22D4;ZNF777;CIC;ZBTB45;ZNF213;SCAND1;NELFB;ZNF408;NELFA;ZNF628;KLF16;ZNF574;ZNF319;ZNF768;ZNF205,24,0.1614,exp01_luad-coregtor-r1
7f938bed4bdf,ABCD2,SP140;IKZF1;IKZF3;ZNF831;GFI1;EOMES,6,0.6224,exp01_luad-coregtor-r1
6c75e980c18d,ABCD3,PHTF1;ZNF628,2,0.225,exp01_luad-coregtor-r1
951ef4cfec0b,ABCD4,ZNF266;ZBTB48;IRF9;ZKSCAN7;PBX4;ZNF410;RXRB;ZNF333;SNRNP70;ZNF18;ZNF224;MAX;ZSCAN26;ZNF211,14,0.1594,exp01_luad-coregtor-r1
c780efef5975,ABCE1,RFC3;TFAM;BRCA1;TAF1A;HMGXB4;UBE2K;POLR3G;DHX36;TIMM8A;MELK;DTL;MTHFD1;RAN;GABPB1;MRPL1;PUM3;GTF2H3;NFXL1;TFEB;HNRNPC,20,0.2886,exp01_luad-coregtor-r1
608615bae4d7,ABCF1,ZNF282;POLR2A;ATF6B;SRF;NFE2L1;UBTF;HCFC1;CNOT3;SSRP1;SP2;ZNF777;ZBTB12;ZNF574;PBX2;WRNIP1;RFX1;SF1;HNRNPUL1;CENPB;ZNF628;FOXK2;ZNF598;E2F3;XRCC1;RELA;CIC;HMGA1;SREBF2;NOC2L;FOXP4;ZNF768;ZNF316,32,0.2172,exp01_luad-coregtor-r1
