plot_tool,index,target,sources,method,value
CoRegTor,goa_lin_similarity,VEGFA,ATF4;CEBPD;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.66743
CoRegTor,goa_lin_similarity,VIM,ATF4;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.56519
CoRegNet,goa_lin_similarity,ACTA2,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58712
CoRegNet,goa_lin_similarity,ACTB,BHLHE40;ELF3;EZR;FOS;FOSL2;ID1;JUNB;NR4A1,exp02-coregnet,0.49716
CoRegNet,goa_lin_similarity,APOE,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63611
CoRegNet,goa_lin_similarity,APP,ATF4;BHLHE40;CD59;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PAX8;PKM;RPL35;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,exp02-coregnet,0.38707
CoRegNet,goa_lin_similarity,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.36158
CoRegNet,goa_lin_similarity,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.36061
CoRegNet,goa_lin_similarity,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,exp02-coregnet,0.4068
CoRegNet,goa_lin_similarity,CDKN1A,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;FOSL2;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.58291
CoRegNet,goa_lin_similarity,CDKN1C,ATF4;BHLHE40;CEBPD;DDIT3;EGR1;GADD45A;HSPA5;JUN;JUNB;LTF;NR4A1;P4HB;RPS4X;TAGLN2,exp02-coregnet,0.41057
CoRegNet,goa_lin_similarity,CLU,BHLHE40;CEBPD;EGR1;FOS;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.63611
CoRegNet,goa_lin_similarity,CRYAB,ATF4;FOS;HSPA5;JUN;JUNB;JUND,exp02-coregnet,0.56058
CoRegNet,goa_lin_similarity,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.41662
CoRegNet,goa_lin_similarity,DUSP1,FOS;JUN;JUNB,exp02-coregnet,0.67977
CoRegNet,goa_lin_similarity,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.33333
CoRegNet,goa_lin_similarity,FN1,BHLHE40;CEBPD;EGR1;FOS;JUNB;NR4A1,exp02-coregnet,0.61171
CoRegNet,goa_lin_similarity,GADD45B,FOS;JUN;JUNB,exp02-coregnet,0.67977
CoRegNet,goa_lin_similarity,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,exp02-coregnet,0.39194
CoRegNet,goa_lin_similarity,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,exp02-coregnet,0.37907
CoRegNet,goa_lin_similarity,HBB,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58712
CoRegNet,goa_lin_similarity,HLA-DRB1,BHLHE40;ELF3;FOS;ID1;JUNB;NR4A1,exp02-coregnet,0.56354
CoRegNet,goa_lin_similarity,HLA-E,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,0.5751
CoRegNet,goa_lin_similarity,HMOX1,CEBPD;GADD45A;MYF6,exp02-coregnet,0.50187
CoRegNet,goa_lin_similarity,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,exp02-coregnet,0.57383
CoRegNet,goa_lin_similarity,HSPA1A,BHLHE40;EGR1;FOS;JUN;NR4A1,exp02-coregnet,0.58712
CoRegNet,goa_lin_similarity,ID3,BHLHE40;EGR1;FOS;ID1;ID2;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.55365
CoRegNet,goa_lin_similarity,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,exp02-coregnet,0.58353
CoRegNet,goa_lin_similarity,MCL1,BHLHE40;CEBPD;EGR1;FOS;ID2;JUN;JUNB;JUND;NR4A1,exp02-coregnet,0.59702
CoRegNet,goa_lin_similarity,NDRG1,ATF4;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;SNRNP70;TPPP,exp02-coregnet,0.37617
CoRegNet,goa_lin_similarity,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,0.56172
CoRegNet,goa_lin_similarity,OGA,AGAP2;ARNT2;ATF4;CBX7;DEAF1;DRAP1;ENO1;EWSR1;EZR;FOS;HADHB;HSPA5;JUN;JUNB;JUND;MAPK1;NPDC1;PKM;PRDX5;PRNP;RAB7A;RAN;SNRNP70;SOD1;SOX2;SREBF2;SRP9;STUB1;TCEAL2;THRA;TPI1;TPPP;UBB;YWHAE;YWHAZ;ZMAT2,exp02-coregnet,0.35111
CoRegNet,goa_lin_similarity,PDK4,BHLHE40;ELF3;ID1,exp02-coregnet,0.58706
CoRegNet,goa_lin_similarity,PDLIM7,BHLHE40;ELF3;EZR;FOS;ID1;JUNB,exp02-coregnet,0.45176
CoRegNet,goa_lin_similarity,PER1,BHLHE40;CEBPD;EGR1;FOS;JUN;JUND;NR4A1,exp02-coregnet,0.61632
