,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
10,646b2abb19ec,CRYAB,ATF3;CEBPD;FEZF1;FOS;FOSL2;HES5;JUN;KDM5D;MAFF;MYRF;NKX6-2;OTP;SOX10;ZEB2,14,exp03-coregnet,0.43919,0.60623,0.42143,8.28361,17.6155,5.50676,0.58066,1.83751,0.52541,0.0,0.0,0.0
11,b9f9af00936f,CSF1R,ATF3;BCL6;BHLHE41;CEBPD;CREBL2;FEZF1;FOS;FOSL2;FOXJ1;JAZF1;KDM5D;MEIS3;MLXIPL;NFIL3;OTP;PEG3;RBFOX2;SIX3;SMARCA1;STAT1;STAT5B;XBP1,22,exp03-coregnet,0.44192,0.53535,0.44372,4.83602,12.43459,2.60668,0.52926,1.6604,0.45719,0.13636,0.13043,0.07143
12,cfc3536594f6,DUSP1,ATF3;CEBPD;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HES1;JUN;JUNB;KDM5D;MAFF;MYRF;NR4A1;OTP;PEG3,16,exp03-coregnet,0.49931,0.62083,0.48264,10.3167,26.32233,5.97005,0.56352,1.77121,0.50688,0.125,0.06897,0.04651
13,f5591bd040e9,FASN,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DBP;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ELK1;ENO1;ERF;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HMGA1;HSF1;HSF2;HSF4;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF692;ZNF76;ZSCAN18,94,exp03-coregnet,0.48858,0.47152,0.49365,7.59837,5.53152,6.15921,0.53742,1.60544,0.47548,0.05319,0.14286,0.04032
14,59ee26b9b003,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;FOSL2;HES5;JUN;JUNB;MAFF;NFIL3;NR4A1;OTP;XBP1,16,exp03-coregnet,0.56736,0.75833,0.5625,16.74429,48.36752,9.34987,0.59413,2.02044,0.50223,0.25,0.17391,0.11429
15,9d60e258f418,GSTP1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,92,exp03-coregnet,0.49624,0.47818,0.50076,8.2695,5.98695,6.90913,0.52561,1.57974,0.46295,0.03261,0.07692,0.02344
16,bb2054ec4dd0,HBA2,CEBPD;FEZF1;FOXJ1;HES5;KDM5D;OTP;PEG3,7,exp03-coregnet,0.35317,0.47619,0.37302,0.18376,1.45065,0.37999,0.53652,1.60468,0.48877,0.0,0.0,0.0
17,2cb2aa584f35,HBB,CEBPD;FEZF1;HES5;KDM5D;OTP;PEG3,6,exp03-coregnet,0.33889,0.44444,0.35556,0.09397,1.35841,0.22497,0.55248,1.56004,0.51479,0.16667,0.01695,0.01562
18,13ab5135cf28,HLA-DRB1,ATF3;BCL6;BHLHE41;CEBPB;CEBPD;CREBL2;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HMGA1;HSF2;JAZF1;JUN;JUNB;KDM5D;MAFF;MEIS3;MLXIPL;NFIL3;NR4A1;OTP;PEG3;RBFOX2;SIX3;SMARCA1;SND1;STAT1;STAT5B;XBP1,31,exp03-coregnet,0.4862,0.56559,0.48996,8.16227,19.50643,5.13784,0.54211,1.71134,0.46758,0.06452,0.06667,0.0339
19,23bf088f57c3,HLA-E,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ERF;ETS2;FEZF1;FOS;FOSL2;HES5;HIF1A;HMGA1;ID1;IRF9;JUN;JUNB;KLF6;KLF9;LMO2;MAFF;NFIL3;NR4A1;OTP;PEG3;SND1;STAT3;XBP1,31,exp03-coregnet,0.52814,0.63943,0.52509,9.54319,26.60274,6.2478,0.55485,1.79382,0.47471,0.06452,0.03846,0.02469
