,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
18,e04e96cb14b3,HLA-DRB1,CXXC1;ETS1;HIF3A;IRF1;STAT1;SPI1;UBTF;LRRFIP1;ZNF384;MYRF;ERF;RFXANK;MLX;ZNF32;PPARD;TRIM28;FOXF2;LMO2;TEAD4;TCF21;BHLHE40;ZBTB16;STAT5A;PML;SMAD7;NFE2L2,26,0.3006,exp03_lung-coregtor-r1,0.48462,0.51974,0.48744,5.905,12.17053,4.3414,0.49728,1.61179,0.4271,0.03846,0.03333,0.01818
19,44f14a9e0d7a,HLA-E,LMO2;FLI1;PML;ETS1;SP100;PHF1;EPAS1;STAT5B;RELA;IRF1,10,0.0,exp03_lung-coregtor-r1,0.58889,0.64444,0.56296,10.8242,37.32531,9.77789,0.54085,1.83092,0.44264,0.1,0.01923,0.01639
20,23bcdf55daa5,HMOX1,RXRB;LDB1;HMGA1;ENO1;RARA;CREBZF;JUN;PHF1;TBX4;APEX1;OSR1;ZBTB4;AHR,13,0.2187,exp03_lung-coregtor-r1,0.50427,0.48718,0.50214,6.97256,7.31164,5.71819,0.49483,1.6916,0.40387,0.07692,0.01562,0.01316
21,a9757b232bf2,HSP90AA1,NFIL3;MEF2D,2,0.5942,exp03_lung-coregtor-r1,0.5,0.5,0.5,1.76328,4.64784,2.0528,0.62878,1.85882,0.54838,0.0,0.0,0.0
22,4f822fe47c0f,HSPA1A,KLF6;CEBPG;RXRA;SNAI1;HTATIP2;YBX1;KDM2A;MAFF;ZNF32;THAP11;FOXF1;ATF3;STAT6;ZNF503;MYRF;NR4A1;SREBF1;HOXA5;NR4A2;JUN;CTBP1;CREBZF;HES1;EP300;HLX;NCOR2;MXD1;SPI1;GTF3A;MXD4;DDIT3;EPAS1;HES4;ENO1;EGR1,35,0.3759,exp03_lung-coregtor-r1,0.49244,0.51148,0.49216,8.59349,15.32072,5.61057,0.5052,1.58907,0.44075,0.02857,0.04,0.01695
23,207b58baa8f2,ID3,SMAD6;SMAD7;SOX18;FOXF1;SNAI1;CXXC1;ID2,7,0.2662,exp03_lung-coregtor-r1,0.44444,0.63492,0.47619,4.34118,17.66086,4.31593,0.46452,1.86642,0.35294,0.14286,0.04762,0.03704
24,1b3cfc9cc49e,LDLR,XBP1;MYC;STAT2;ING4;SREBF2;MAF;KLF10;IRF3,8,0.0,exp03_lung-coregtor-r1,0.52381,0.625,0.52381,5.37227,27.62219,5.66347,0.54568,1.89915,0.44328,0.125,0.03226,0.02632
25,f49dfa6ce911,MAT2A,MLX;PPARD;ZNF219;ARID5A;FOSL2;ETS2;E4F1;ESRRA;RXRA;BCL3;ABL1;ZNF503;MYC;NR2F6;THAP11;ING4;ARID5B;ZNF32,18,0.3345,exp03_lung-coregtor-r1,0.50109,0.48529,0.5,5.32702,8.18454,3.45229,0.54553,1.63739,0.4845,0.05556,0.04762,0.02632
26,0854b498936f,MCL1,KLF6;NR4A1;MAFF;MYC;JUNB;FOSL2;ATF3;FOSB,8,0.0,exp03_lung-coregtor-r1,0.60714,0.92857,0.60714,21.13238,58.62492,12.01673,0.67664,2.07912,0.62011,0.0,0.0,0.0
27,f20e1b6c822a,MT1A,E2F4;CREBL2;ATF6B;ABL1;NFE2L1;PPARD;STAT5A;ING4;RELB;STAT3;HTATIP2;ETS2;RFXANK;THRA;USF2;TCF21;ZNF32;HDAC3;HIF1A;NFIX;SKI;TRIM28;ZNF384;ZNF503;THAP11;RXRA;UBTF;SOX18,28,0.4106,exp03_lung-coregtor-r1,0.49052,0.49515,0.49691,6.017,10.21168,5.21574,0.47455,1.53679,0.4085,0.07143,0.09524,0.04255
28,2b64494c7f3a,NDRG1,RELA;ZHX2;MAFF;MAFK;SOX7;ETS1;MEF2D;FOSL2,8,0.2557,exp03_lung-coregtor-r1,0.52976,0.58929,0.55357,11.03322,17.64023,7.98016,0.67226,1.90113,0.61576,0.125,0.05,0.03704
29,18a3e70d41ab,NFKBIA,JUNB;BCL3;ETS2;IRF1;STAT5A;NFKB2;KLF10;RELB;RARA;NFKB1,10,0.2322,exp03_lung-coregtor-r1,0.59259,0.8,0.57407,13.99878,69.85262,9.41891,0.61537,2.09024,0.51298,0.2,0.05882,0.04762
30,e513a494dccf,OGA,ARNT;MEIS1;RXRB;MAX;TBX5;ENO1;STAT5B,7,0.0,exp03_lung-coregtor-r1,0.46825,0.54762,0.48413,4.30748,7.37322,3.32095,0.5888,1.97907,0.49375,0.0,0.0,0.0
31,7a8896f252aa,PDK4,KLF15;NR1H2;ZBTB16;FOXO1;FOXO3;HIF3A,6,0.0,exp03_lung-coregtor-r1,0.48889,0.6,0.48889,5.9354,14.856,3.92171,0.60607,2.18554,0.48977,0.33333,0.08696,0.07407
32,3c4a8db7e1e5,PDLIM7,ZBTB17;NKX2-1;DRAP1;ZGPAT;TRIM28;E4F1;OSR1,7,0.0,exp03_lung-coregtor-r1,0.46825,0.53968,0.49206,7.1032,2.87922,4.77521,0.49089,1.55642,0.42908,0.0,0.0,0.0
33,49455a326bf2,PER1,KLF9;KLF4;KLF2;MEF2D;NR1D1,5,0.0,exp03_lung-coregtor-r1,0.46667,0.55,0.46667,2.62759,22.48036,2.48848,0.55856,2.03522,0.47042,0.0,0.0,0.0
34,5cf3d73f56c9,RASSF1,PML;ZBTB17;ARID5A;ERF;PHF1;HSF1;RELA;MAFK;PBX2,9,0.589,exp03_lung-coregtor-r1,0.53241,0.49074,0.56481,10.62652,6.27105,8.17893,0.52722,1.67899,0.44916,0.0,0.0,0.0
