cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
7de6f2db5d1d,MAT2A,EZR;PHF1;SF1;IVD;NKX2-1,5,71.4286,0.3369,exp02_thyroid-coregtor-n_five,0.29115,0.85224,0.27018,0.5,0.43333,0.5,8.07468,1.57196,7.15808,0.0,0.0,0.0,0.0
0e9797e071c4,MCL1,EGR1;JUNB,2,40.0,0.8888,exp02_thyroid-coregtor-n_five,0.5916,2.05686,0.49944,1.0,1.0,1.0,10.31052,91.14517,12.16896,0.0,0.0,0.0,0.0
0c615f46ccfd,MCL1,JUND;NR4A1;FOS,3,60.0,0.1705,exp02_thyroid-coregtor-n_five,0.6446,2.66148,0.50923,0.83333,1.0,0.66667,38.91946,122.78088,16.84617,0.0,0.0,0.0,0.0
69e69f1403c0,PER1,NR4A1;JUND,2,40.0,0.7718,exp02_thyroid-coregtor-n_five,0.64093,2.46237,0.50339,1.0,1.0,0.5,19.56904,62.47989,2.96445,0.5,0.038461538461538464,0.07142857142857144,0.037037037037037035
d541b48ebc6d,PER1,PAX8;SF1;PHF1,3,60.0,0.3408,exp02_thyroid-coregtor-n_five,0.3813,1.05858,0.33215,0.5,0.44444,0.5,8.41918,0.57867,5.71636,0.0,0.0,0.0,0.0
5699cca74e16,RHOA,YWHAE;CANX;YBX1;SOD1;TPI1,5,71.4286,0.3346,exp02_thyroid-coregtor-n_five,0.29076,0.97264,0.25952,0.65,0.65,0.65,36.37592,23.35485,43.76131,0.0,0.0,0.0,0.0
c208553f989e,SPARC,TAGLN2;ANXA1,2,100.0,0.0,exp02_thyroid-coregtor-n_five,0.2332,0.71365,0.24476,0.5,1.0,0.5,32.20898,21.55628,53.19581,0.0,0.0,0.0,0.0
50bbb727a20c,TAGLN,EZR;TAGLN2;JUNB;NR4A1;FOXE1,5,45.4545,0.3921,exp02_thyroid-coregtor-n_five,0.36135,1.19181,0.32033,0.55,0.5,0.53333,8.60525,11.67864,7.75042,0.0,0.0,0.0,0.0
c2d1dd3faa0c,TIMP1,TAGLN2;ENO1;CD59;CEBPD,4,66.6667,0.7835,exp02_thyroid-coregtor-n_five,0.29395,0.79289,0.30223,0.58333,0.58333,0.58333,20.0766,6.78594,20.49274,0.0,0.0,0.0,0.0
81cc866df6e0,TIMP1,RPL35;CAT,2,33.3333,0.3381,exp02_thyroid-coregtor-n_five,0.21676,0.51559,0.24487,0.5,0.5,0.5,4.3886,0.49679,15.38497,0.0,0.0,0.0,0.0
2e4fb4fd2085,TKT,ENO1;SOD1;PRDX5;TPI1;P4HB,5,55.5556,0.3901,exp02_thyroid-coregtor-n_five,0.40264,1.60043,0.3134,0.85,1.0,0.85,47.48343,70.29869,60.76629,0.0,0.0,0.0,0.0
82ca69d499b1,VEGFA,PAX8;HES1,2,100.0,0.0,exp02_thyroid-coregtor-n_five,0.57975,3.04883,0.36358,0.5,0.5,0.5,2.16765,2.73899,2.50833,0.5,0.007042253521126761,0.01388888888888889,0.006993006993006993
0555073acc9f,VIM,RPL35;RPL6;TAGLN2;ATF4;CSNK2B,5,45.4545,0.2783,exp02_thyroid-coregtor-n_five,0.3524,1.05861,0.33714,0.55,0.65,0.55,42.11483,18.46515,20.38642,0.2,0.02,0.03636363636363636,0.018518518518518517
