plot_tool,index,target,sources,method,value
CoRegNet,goa_similarity_resnik,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,1.84222
CoRegNet,goa_similarity_resnik,SPARC,FOS;GADD45A,exp02-coregnet,1.67834
CoRegNet,goa_similarity_resnik,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,1.89625
CoRegNet,goa_similarity_resnik,TIMP1,EGR1;GADD45A,exp02-coregnet,1.90688
CoRegNet,goa_similarity_resnik,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,1.93095
CoRegTor,goa_similarity_jc,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.35943
CoRegTor,goa_similarity_jc,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,0.47454
CoRegTor,goa_similarity_jc,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.33923
CoRegTor,goa_similarity_jc,HBB,NPDC1;TRIP10,exp02_lung-coregtor-n_five,0.43187
CoRegTor,goa_similarity_jc,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.31676
CoRegTor,goa_similarity_jc,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.31132
CoRegTor,goa_similarity_jc,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,0.32999
CoRegTor,goa_similarity_jc,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,0.36716
CoRegTor,goa_similarity_jc,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,0.43748
CoRegTor,goa_similarity_jc,SPARC,CLK1;ETS2,exp02_lung-coregtor-n_five,0.32479
