plot_tool,index,target,sources,method,value
CoRegNet,goa_similarity_lin,HSPA1A,FOS;HSPA5;JUN;JUNB,exp02-coregnet,0.50555
CoRegNet,goa_similarity_lin,ID3,FOS;GOT1;JUN;JUNB;TAGLN2,exp02-coregnet,0.35396
CoRegNet,goa_similarity_lin,MAT2A,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.32909
CoRegNet,goa_similarity_lin,SPARC,FOS;GOT1;HSPA5;PRNP;RAN;TCEAL2;TCEAL6;YWHAZ,exp02-coregnet,0.35142
CoRegNet,goa_similarity_lin,STMN1,CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.32468
CoRegNet,goa_similarity_lin,SUMO1,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.33388
CoRegNet,goa_similarity_lin,TIMP3,CANX;DRAP1;DUSP26;ENO1;EWSR1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAN;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;YWHAZ;ZMAT2,exp02-coregnet,0.328
CoRegNet,goa_similarity_lin,TKT,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.32475
CoRegNet,goa_similarity_lin,TXN,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.32475
CoRegNet,goa_similarity_lin,VIM,FOS;HSPA5;JUN;JUNB;TAGLN2,exp02-coregnet,0.37524
CoRegTor,goa_similarity_resnik,ACTB,RAB7A;CSNK2B;YWHAE;RPL6;ENO1,exp02_hypothalamus-coregtor-n_five,1.27183
CoRegTor,goa_similarity_resnik,APOE,TSC22D4;THRA;UBXN1;YWHAE;ENO1,exp02_hypothalamus-coregtor-n_five,1.13325
CoRegTor,goa_similarity_resnik,APP,GOT1;CANX;RAB7A,exp02_hypothalamus-coregtor-n_five,1.34206
CoRegTor,goa_similarity_resnik,CLU,RAB7A;UBXN1;ENO1;PKM;EWSR1;THRA,exp02_hypothalamus-coregtor-n_five,1.24146
CoRegTor,goa_similarity_resnik,CRYAB,TSC22D4;CENPB;UBXN1;ATF4;FEZ1;ENO1,exp02_hypothalamus-coregtor-n_five,0.96248
CoRegTor,goa_similarity_resnik,DUSP1,FOS;JUNB;SNRNP70,exp02_hypothalamus-coregtor-n_five,1.94709
CoRegTor,goa_similarity_resnik,GADD45B,JUN;JUNB;ENO1;TAGLN2;ATF4;CSNK2B,exp02_hypothalamus-coregtor-n_five,1.36413
CoRegTor,goa_similarity_resnik,GSTP1,DRAP1;CSNK2B;PHF1;ENO1;PRDX5,exp02_hypothalamus-coregtor-n_five,1.30646
CoRegTor,goa_similarity_resnik,HLA-DRB1,HNRNPA1;RPS4X;TAGLN2;ATF4;RPL6,exp02_hypothalamus-coregtor-n_five,1.17345
CoRegTor,goa_similarity_resnik,HLA-E,TAGLN2;RPS4X;HNRNPA1;UBXN1;ATF4,exp02_hypothalamus-coregtor-n_five,0.99018
CoRegTor,goa_similarity_resnik,HSP90AA1,UBB;HSPA5;CANX;RAN;NUCB1,exp02_hypothalamus-coregtor-n_five,1.28421
CoRegTor,goa_similarity_resnik,HSPA1A,JUN;FOS,exp02_hypothalamus-coregtor-n_five,2.90183
CoRegTor,goa_similarity_resnik,ID3,TAGLN2;ENO1,exp02_hypothalamus-coregtor-n_five,0.64715
CoRegTor,goa_similarity_resnik,MAT2A,RAB7A;EWSR1;HNRNPA1;CANX;RAD21,exp02_hypothalamus-coregtor-n_five,1.12026
CoRegTor,goa_similarity_resnik,SPARC,EWSR1;RAB7A;SRP9;ENO1;YWHAE,exp02_hypothalamus-coregtor-n_five,1.0817
CoRegTor,goa_similarity_resnik,STMN1,NFE2L1;RAD21;SOD1;GOT1;YWHAE;UBB;YWHAZ,exp02_hypothalamus-coregtor-n_five,1.41713
CoRegTor,goa_similarity_resnik,SUMO1,SOD1;YWHAZ;RAN;PRNP;SRP9,exp02_hypothalamus-coregtor-n_five,1.32501
CoRegTor,goa_similarity_resnik,TIMP3,RAB7A;PKM;YWHAE;EWSR1;ENO1;CSNK2B,exp02_hypothalamus-coregtor-n_five,1.32866
CoRegTor,goa_similarity_resnik,TKT,NUCB1;STUB1;RAB7A;ZMAT2;SOD1;YWHAE,exp02_hypothalamus-coregtor-n_five,1.13616
CoRegTor,goa_similarity_resnik,TXN,SOD1;RPL6;TPI1;CSNK2B;DRAP1;RAN,exp02_hypothalamus-coregtor-n_five,0.97545
CoRegTor,goa_similarity_resnik,VIM,RPL6;HNRNPA1;TAGLN2;ATF4;CLK1;HSPA5,exp02_hypothalamus-coregtor-n_five,0.94057
CoRegNet,goa_similarity_resnik,ACTB,ATF4;CANX;CLK1;DRAP1;DUSP26;ENO1;EWSR1;FEZ1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;NFE2L1;NPDC1;NUCB1;PHF1;PKM;PRDX5;PRNP;RAB7A;RAD21;RAN;SCAND1;SNRNP70;SOD1;SRP9;STUB1;TAGLN2;TCEAL2;TCEAL6;THRA;TPI1;TPPP;UBB;YWHAZ;ZMAT2,exp02-coregnet,0.99705
CoRegNet,goa_similarity_resnik,APOE,DUSP26;ENO1;FOS;GOT1;HSPA5;JUN;JUNB;JUND;PRNP;RAN;TCEAL2;TCEAL6;TPI1;YWHAZ,exp02-coregnet,1.19474
