plot_tool,index,target,sources,method,value
CoRegNet,goa_lin_similarity,HBB,CFL2;CYCS;EGR1;EZR;FHL2;FOS;GOT1;HADHB;JUNB;NFE2L1;NR4A1;PDLIM5;SMPX;SUCLG1;UGP2,exp02-coregnet,0.26978
CoRegNet,goa_lin_similarity,HSP90AA1,CD59;CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PSMA6;SMPX;SOD1;SUCLG1;UGP2;YBX1;YWHAE,exp02-coregnet,0.27186
CoRegNet,goa_lin_similarity,HSPA1A,CEBPD;CFL2;CYCS;EGR1;FHL2;FOS;GOT1;HADHB;HSPA5;JUN;JUNB;JUND;NKX2-5;NR4A1;PDLIM5;PRDX5;SMPX;SOD1;SUCLG1;TPI1;UGP2;UQCRB,exp02-coregnet,0.29447
CoRegNet,goa_lin_similarity,ID3,ATF4;CEBPD;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EPAS1;FOS;GOT1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;NR4A1;NUCB1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SOD1;TAGLN2;UBXN1;UGP2;YBX1,exp02-coregnet,0.36455
CoRegNet,goa_lin_similarity,MAT2A,CFL2;CYCS;DRAP1;ENO1;EZR;GOT1;GTF3A;HADHB;HNRNPA1;HSPA5;NFE2L1;P4HB;PDLIM5;PSMA6;SMPX;SOD1;SUCLG1;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.28621
CoRegNet,goa_lin_similarity,MCL1,ATF4;CD59;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EZR;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;PDLIM5;PKM;PSMA6;RPS4X;SMPX;SNRNP70;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,0.32398
CoRegNet,goa_lin_similarity,PDK4,CD59;CFL2;CYCS;EZR;FHL2;GOT1;HADHB;HSPA5;NFE2L1;P4HB;PDLIM5;SMPX;SOD1;UGP2;YWHAE,exp02-coregnet,0.27492
CoRegNet,goa_lin_similarity,PRKACA,CFL2;DRAP1;EGR1;EZR;GOT1;HADHB;HSPA5;P4HB;PDLIM5;PKM;PSMA6;SMPX;TPI1;UGP2;YWHAE,exp02-coregnet,0.28622
CoRegNet,goa_lin_similarity,RHOA,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL6;RPS4X;UGP2;YBX1;YWHAE,exp02-coregnet,0.35394
CoRegNet,goa_lin_similarity,SPARC,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.3431
CoRegNet,goa_lin_similarity,TAGLN,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.33264
CoRegNet,goa_lin_similarity,TIMP1,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;RPL6;SMPX;UGP2;YWHAE,exp02-coregnet,0.31445
CoRegNet,goa_lin_similarity,TIMP3,CFL2;CYCS;ECSIT;EGR1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;NFE2L1;NKX2-5;PDLIM5;PKM;PRDX5;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;YWHAE,exp02-coregnet,0.28555
CoRegNet,goa_lin_similarity,VEGFA,CFL2;CSNK2B;CYCS;DRAP1;ECSIT;ENO1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;HSF1;HSPA5;NFE2L1;NKX2-5;P4HB;PDLIM5;PKM;PSMA6;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;UQCRB;USF2;YBX1;YWHAE,exp02-coregnet,0.30505
CoRegNet,goa_lin_similarity,VIM,CEBPD;DRAP1;EGR1;ENO1;FHL2;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;RPL35;RPL6;RPS4X;TAGLN2,exp02-coregnet,0.382
CoRegTor,goa_resnik_similarity,ACTA2,EGR1;EPAS1;TAGLN2;SNRNP70;JUND,exp02_heart_left_ventricle-coregtor-n_five,1.29948
CoRegTor,goa_resnik_similarity,ACTB,TAGLN2;ENO1;RPL6;HNRNPA1;RPS4X,exp02_heart_left_ventricle-coregtor-n_five,1.15637
CoRegTor,goa_resnik_similarity,APP,YBX1;UGP2;CFL2;EZR;HSPA5;YWHAE,exp02_heart_left_ventricle-coregtor-n_five,1.1224
CoRegTor,goa_resnik_similarity,CDKN1A,ENO1;ATF4;CEBPD;HNRNPA1;RPL6;TAGLN2;RPS10,exp02_heart_left_ventricle-coregtor-n_five,1.16067
CoRegTor,goa_resnik_similarity,CRYAB,UGP2;YWHAE;CFL2;DRAP1;ATF4;CD59,exp02_heart_left_ventricle-coregtor-n_five,0.84628
CoRegTor,goa_resnik_similarity,DUSP1,FOS;NR4A1;JUN,exp02_heart_left_ventricle-coregtor-n_five,2.55205
CoRegTor,goa_resnik_similarity,FN1,P4HB;DRAP1;CD59;RPS10;PKM,exp02_heart_left_ventricle-coregtor-n_five,0.8755
CoRegTor,goa_resnik_similarity,GADD45B,CEBPD;JUNB;TAGLN2,exp02_heart_left_ventricle-coregtor-n_five,1.11225
CoRegTor,goa_resnik_similarity,GSTP1,UBXN1;DRAP1;RPS10;CSNK2B,exp02_heart_left_ventricle-coregtor-n_five,0.88872
CoRegTor,goa_resnik_similarity,HBB,EPAS1;CEBPD;NKX2-5;TAGLN2;SNRNP70;TPI1,exp02_heart_left_ventricle-coregtor-n_five,0.97884
CoRegTor,goa_resnik_similarity,HSP90AA1,HSPA5;ATF4;YWHAE;CEBPD;ESRRA,exp02_heart_left_ventricle-coregtor-n_five,1.50792
CoRegTor,goa_resnik_similarity,HSPA1A,JUN;ATF4;FOS,exp02_heart_left_ventricle-coregtor-n_five,2.74884
CoRegTor,goa_resnik_similarity,ID3,ATF4;CEBPD,exp02_heart_left_ventricle-coregtor-n_five,2.29756
CoRegTor,goa_resnik_similarity,MAT2A,JUNB;CEBPD,exp02_heart_left_ventricle-coregtor-n_five,2.71543
CoRegTor,goa_resnik_similarity,MCL1,JUNB;JUND;NR4A1;CEBPD;JUN,exp02_heart_left_ventricle-coregtor-n_five,2.44875
CoRegTor,goa_resnik_similarity,PDK4,ESRRA;EZR;PSMA6;HADHB;UGP2,exp02_heart_left_ventricle-coregtor-n_five,0.78389
CoRegTor,goa_resnik_similarity,PRKACA,PSMA6;YBX1;TPI1;PKM;PDLIM5;SUCLG1;SOD1,exp02_heart_left_ventricle-coregtor-n_five,1.06581
CoRegTor,goa_resnik_similarity,RHOA,YWHAE;HNRNPA1;P4HB;CD59;PSMA6;RPL6,exp02_heart_left_ventricle-coregtor-n_five,1.22462
CoRegTor,goa_resnik_similarity,SPARC,USF2;SNRNP70;ATF4;NR4A1;NUCB1,exp02_heart_left_ventricle-coregtor-n_five,1.29278
CoRegTor,goa_resnik_similarity,TAGLN,SNRNP70;RPS4X;TAGLN2;RPL6;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,1.22843
CoRegTor,goa_resnik_similarity,TIMP1,P4HB;RPL6;ENO1;HSPA5;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,1.44801
CoRegTor,goa_resnik_similarity,TIMP3,JUNB;JUND;EGR1;FOS;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,2.49972
CoRegTor,goa_resnik_similarity,VEGFA,ATF4;CEBPD;JUNB,exp02_heart_left_ventricle-coregtor-n_five,2.38038
CoRegTor,goa_resnik_similarity,VIM,ATF4;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,2.18778
CoRegNet,goa_resnik_similarity,ACTA2,CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,1.10225
CoRegNet,goa_resnik_similarity,ACTB,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;NUCB1;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.10644
CoRegNet,goa_resnik_similarity,APP,CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;PSMA6;RPL6;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,1.04305
CoRegNet,goa_resnik_similarity,CDKN1A,ATF4;CD59;CEBPD;CFL2;DRAP1;ENO1;EZR;HADHB;HNRNPA1;HSPA5;JUNB;P4HB;PKM;PSMA6;RPS10;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.06279
CoRegNet,goa_resnik_similarity,CRYAB,CFL2;DRAP1;EGR1;EZR;GOT1;HADHB;HSPA5;P4HB;PDLIM5;PKM;PSMA6;SMPX;SOD1;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.07238
CoRegNet,goa_resnik_similarity,DUSP1,CEBPD;CFL2;CYCS;EGR1;FHL2;FOS;GOT1;HADHB;JUN;JUNB;JUND;NKX2-5;NR4A1;SMPX;SUCLG1,exp02-coregnet,1.1663
CoRegNet,goa_resnik_similarity,FN1,CD59;CFL2;DRAP1;ENO1;EZR;HADHB;HSPA5;P4HB;PDLIM5;PKM;RPL6;SMPX;UGP2;YWHAE,exp02-coregnet,1.02391
CoRegNet,goa_resnik_similarity,GADD45B,ATF4;CD59;CEBPD;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EZR;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NFE2L1;NKX2-5;NR4A1;P4HB;PDLIM5;PKM;PSMA6;RPS10;RPS4X;SMPX;SOD1;SUCLG1;TPI1;UGP2;YWHAE,exp02-coregnet,1.14142
CoRegNet,goa_resnik_similarity,GSTP1,CFL2;CSNK2B;DRAP1;ENO1;EZR;GTF3A;HADHB;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,1.05488
CoRegNet,goa_resnik_similarity,HBB,CFL2;CYCS;EGR1;EZR;FHL2;FOS;GOT1;HADHB;JUNB;NFE2L1;NR4A1;PDLIM5;SMPX;SUCLG1;UGP2,exp02-coregnet,0.93853
CoRegNet,goa_resnik_similarity,HSP90AA1,CD59;CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PSMA6;SMPX;SOD1;SUCLG1;UGP2;YBX1;YWHAE,exp02-coregnet,0.96594
CoRegNet,goa_resnik_similarity,HSPA1A,CEBPD;CFL2;CYCS;EGR1;FHL2;FOS;GOT1;HADHB;HSPA5;JUN;JUNB;JUND;NKX2-5;NR4A1;PDLIM5;PRDX5;SMPX;SOD1;SUCLG1;TPI1;UGP2;UQCRB,exp02-coregnet,1.04266
CoRegNet,goa_resnik_similarity,ID3,ATF4;CEBPD;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EPAS1;FOS;GOT1;HNRNPA1;HSPA5;ID1;JUN;JUNB;JUND;NR4A1;NUCB1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SOD1;TAGLN2;UBXN1;UGP2;YBX1,exp02-coregnet,1.1965
CoRegNet,goa_resnik_similarity,MAT2A,CFL2;CYCS;DRAP1;ENO1;EZR;GOT1;GTF3A;HADHB;HNRNPA1;HSPA5;NFE2L1;P4HB;PDLIM5;PSMA6;SMPX;SOD1;SUCLG1;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.00626
CoRegNet,goa_resnik_similarity,MCL1,ATF4;CD59;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EZR;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;PDLIM5;PKM;PSMA6;RPS4X;SMPX;SNRNP70;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,1.15824
CoRegNet,goa_resnik_similarity,PDK4,CD59;CFL2;CYCS;EZR;FHL2;GOT1;HADHB;HSPA5;NFE2L1;P4HB;PDLIM5;SMPX;SOD1;UGP2;YWHAE,exp02-coregnet,1.0011
CoRegNet,goa_resnik_similarity,PRKACA,CFL2;DRAP1;EGR1;EZR;GOT1;HADHB;HSPA5;P4HB;PDLIM5;PKM;PSMA6;SMPX;TPI1;UGP2;YWHAE,exp02-coregnet,1.04179
CoRegNet,goa_resnik_similarity,RHOA,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL6;RPS4X;UGP2;YBX1;YWHAE,exp02-coregnet,1.17656
CoRegNet,goa_resnik_similarity,SPARC,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.08782
CoRegNet,goa_resnik_similarity,TAGLN,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,1.08064
CoRegNet,goa_resnik_similarity,TIMP1,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;RPL6;SMPX;UGP2;YWHAE,exp02-coregnet,1.05158
CoRegNet,goa_resnik_similarity,TIMP3,CFL2;CYCS;ECSIT;EGR1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;NFE2L1;NKX2-5;PDLIM5;PKM;PRDX5;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;YWHAE,exp02-coregnet,0.96569
CoRegNet,goa_resnik_similarity,VEGFA,CFL2;CSNK2B;CYCS;DRAP1;ECSIT;ENO1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;HSF1;HSPA5;NFE2L1;NKX2-5;P4HB;PDLIM5;PKM;PSMA6;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;UQCRB;USF2;YBX1;YWHAE,exp02-coregnet,1.03669
CoRegNet,goa_resnik_similarity,VIM,CEBPD;DRAP1;EGR1;ENO1;FHL2;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;RPL35;RPL6;RPS4X;TAGLN2,exp02-coregnet,1.29517
CoRegTor,goa_jc_similarity,ACTA2,P4HB;RPS4X,exp02_heart_left_ventricle-coregtor-n_five,0.32137
CoRegTor,goa_jc_similarity,ACTB,TAGLN2;ENO1;RPL6;HNRNPA1;RPS4X,exp02_heart_left_ventricle-coregtor-n_five,0.38975
CoRegTor,goa_jc_similarity,APP,YBX1;UGP2;CFL2;EZR;HSPA5;YWHAE,exp02_heart_left_ventricle-coregtor-n_five,0.26294
CoRegTor,goa_jc_similarity,CDKN1A,ENO1;ATF4;CEBPD;HNRNPA1;RPL6;TAGLN2;RPS10,exp02_heart_left_ventricle-coregtor-n_five,0.35913
CoRegTor,goa_jc_similarity,CRYAB,UGP2;YWHAE;CFL2;DRAP1;ATF4;CD59,exp02_heart_left_ventricle-coregtor-n_five,0.23874
CoRegTor,goa_jc_similarity,DUSP1,FOS;NR4A1;JUN,exp02_heart_left_ventricle-coregtor-n_five,0.49927
CoRegTor,goa_jc_similarity,FN1,P4HB;DRAP1;CD59;RPS10;PKM,exp02_heart_left_ventricle-coregtor-n_five,0.28431
CoRegTor,goa_jc_similarity,GADD45B,CEBPD;JUNB;TAGLN2,exp02_heart_left_ventricle-coregtor-n_five,0.42994
CoRegTor,goa_jc_similarity,GSTP1,UBXN1;DRAP1;RPS10;CSNK2B,exp02_heart_left_ventricle-coregtor-n_five,0.29107
CoRegTor,goa_jc_similarity,HBB,EPAS1;CEBPD;NKX2-5;TAGLN2;SNRNP70;TPI1,exp02_heart_left_ventricle-coregtor-n_five,0.31194
CoRegTor,goa_jc_similarity,HSP90AA1,HSPA5;ATF4;YWHAE;CEBPD;ESRRA,exp02_heart_left_ventricle-coregtor-n_five,0.3646
CoRegTor,goa_jc_similarity,HSPA1A,JUN;ATF4;FOS,exp02_heart_left_ventricle-coregtor-n_five,0.50712
CoRegTor,goa_jc_similarity,ID3,EPAS1;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.62785
CoRegTor,goa_jc_similarity,MAT2A,JUNB;CEBPD,exp02_heart_left_ventricle-coregtor-n_five,0.80082
CoRegTor,goa_jc_similarity,MCL1,JUNB;JUND;NR4A1;CEBPD;JUN,exp02_heart_left_ventricle-coregtor-n_five,0.60922
CoRegTor,goa_jc_similarity,PDK4,ESRRA;EZR;PSMA6;HADHB;UGP2,exp02_heart_left_ventricle-coregtor-n_five,0.23641
CoRegTor,goa_jc_similarity,PRKACA,PSMA6;YBX1;TPI1;PKM;PDLIM5;SUCLG1;SOD1,exp02_heart_left_ventricle-coregtor-n_five,0.26042
CoRegTor,goa_jc_similarity,RHOA,YWHAE;HNRNPA1;P4HB;CD59;PSMA6;RPL6,exp02_heart_left_ventricle-coregtor-n_five,0.30518
CoRegTor,goa_jc_similarity,SPARC,CEBPD;CSNK2B,exp02_heart_left_ventricle-coregtor-n_five,0.35668
CoRegTor,goa_jc_similarity,TAGLN,SNRNP70;RPS4X;TAGLN2;RPL6;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,0.38419
CoRegTor,goa_jc_similarity,TIMP1,P4HB;RPL6;ENO1;HSPA5;HNRNPA1,exp02_heart_left_ventricle-coregtor-n_five,0.35068
CoRegTor,goa_jc_similarity,TIMP3,JUNB;JUND;EGR1;FOS;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.52047
CoRegTor,goa_jc_similarity,VEGFA,ATF4;CEBPD;JUNB,exp02_heart_left_ventricle-coregtor-n_five,0.58233
CoRegTor,goa_jc_similarity,VIM,ATF4;NR4A1,exp02_heart_left_ventricle-coregtor-n_five,0.44428
CoRegNet,goa_jc_similarity,ACTA2,CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,0.29799
CoRegNet,goa_jc_similarity,ACTB,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;NUCB1;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.31279
CoRegNet,goa_jc_similarity,APP,CFL2;CYCS;DRAP1;EZR;GOT1;HADHB;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;PSMA6;RPL6;RPS4X;SMPX;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,exp02-coregnet,0.26685
CoRegNet,goa_jc_similarity,CDKN1A,ATF4;CD59;CEBPD;CFL2;DRAP1;ENO1;EZR;HADHB;HNRNPA1;HSPA5;JUNB;P4HB;PKM;PSMA6;RPS10;SMPX;TPI1;UGP2;YBX1;YWHAE,exp02-coregnet,0.28171
