plot_tool,index,target,sources,method,value
CoRegNet,goa_similarity_resnik,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.96009
CoRegNet,goa_similarity_resnik,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.96009
CoRegNet,goa_similarity_resnik,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.95218
CoRegNet,goa_similarity_resnik,NDRG1,NCALD;OLIG1;TSC22D4,exp02-coregnet,0.4974
CoRegNet,goa_similarity_resnik,SPARC,GOT1;NCALD;OLIG1;TSC22D4,exp02-coregnet,0.54485
CoRegNet,goa_similarity_resnik,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.96009
CoRegNet,goa_similarity_resnik,VIM,GOT1;NCALD;TSC22D4,exp02-coregnet,0.55749
CoRegTor,goa_similarity_jc,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.31105
CoRegTor,goa_similarity_jc,APP,RAN;TCEAL6;SOD1,exp02_cortex-ba9-coregtor-n_five,0.26473
CoRegTor,goa_similarity_jc,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,0.37078
CoRegTor,goa_similarity_jc,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.33088
CoRegTor,goa_similarity_jc,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,exp02_cortex-ba9-coregtor-n_five,0.30083
CoRegTor,goa_similarity_jc,MAT2A,RAB7A;EWSR1;CSNK2B;ENO1;TPPP,exp02_cortex-ba9-coregtor-n_five,0.31137
