plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_resnik,VIM,RPL35;RPS4X;SNRNP70;CSNK2B;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,1.37799
CoRegNet,goa_similarity_resnik,CDKN1A,BCL6;CEBPB;CEBPD;GADD45A,exp02-coregnet,1.98802
CoRegNet,goa_similarity_resnik,DUSP1,CEBPB;CEBPD;GADD45A;JUNB;NR4A1,exp02-coregnet,2.02359
CoRegNet,goa_similarity_resnik,HMOX1,CEBPD;GADD45A;MYF6,exp02-coregnet,1.56449
CoRegNet,goa_similarity_resnik,HSP90AA1,BCL6;CEBPD;GADD45A;JUNB;MYF6,exp02-coregnet,1.87138
CoRegNet,goa_similarity_resnik,MAT2A,BHLHE40;CEBPB;CEBPD;GADD45A;JUNB;KLF10;NR4A1,exp02-coregnet,1.93684
CoRegNet,goa_similarity_resnik,MCL1,BCL6;CEBPB;CEBPD;ENO1;GADD45A;GPD1;JUNB;KLF9;MYF6,exp02-coregnet,1.51031
CoRegNet,goa_similarity_resnik,NFKBIA,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,1.88394
CoRegNet,goa_similarity_resnik,PDK4,BCL6;CEBPD;GADD45A,exp02-coregnet,1.78089
CoRegNet,goa_similarity_resnik,PER1,BCL6;CEBPB;CEBPD;GADD45A;JUNB;KLF9;MYF6,exp02-coregnet,1.88394
CoRegNet,goa_similarity_resnik,SOD2,BCL6;GADD45A;NR4A1,exp02-coregnet,1.82878
CoRegNet,goa_similarity_resnik,SPARC,CEBPD;GADD45A;JUNB;NR4A1,exp02-coregnet,1.91171
CoRegNet,goa_similarity_resnik,SQSTM1,BCL6;CEBPD;GADD45A;MYF6,exp02-coregnet,1.68742
CoRegNet,goa_similarity_resnik,TAGLN,CEBPD;JUNB;NR4A1,exp02-coregnet,2.32035
CoRegNet,goa_similarity_resnik,TIMP3,CEBPD;GADD45A;JUNB;KLF9,exp02-coregnet,1.80601
CoRegNet,goa_similarity_resnik,VIM,CEBPD;GADD45A;JUNB;MYF6;NR4A1,exp02-coregnet,1.87395
CoRegTor,goa_similarity_jc,CDKN1A,HNRNPA1;ENO1;GADD45A;SF1;CSNK2B,exp02_muscle_skeletal-coregtor-n_five,0.35745
CoRegTor,goa_similarity_jc,DUSP1,NR4A1;JUNB;CEBPB;HNRNPA1;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.47939
CoRegTor,goa_similarity_jc,HMOX1,MEF2D;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.62234
CoRegTor,goa_similarity_jc,HSP90AA1,SOD1;ATF4;SF1;YBX1;TAF7;ESRRA,exp02_muscle_skeletal-coregtor-n_five,0.34248
CoRegTor,goa_similarity_jc,MAT2A,NFIX;SF1;CEBPB;KLF10,exp02_muscle_skeletal-coregtor-n_five,0.46985
CoRegTor,goa_similarity_jc,MCL1,RPL6;HNRNPA1;TAF7;SNRNP70;RPS4X,exp02_muscle_skeletal-coregtor-n_five,0.37723
CoRegTor,goa_similarity_jc,NFKBIA,CEBPB;KLF9;BCL6,exp02_muscle_skeletal-coregtor-n_five,0.42527
CoRegTor,goa_similarity_jc,PDK4,KLF9;CEBPB,exp02_muscle_skeletal-coregtor-n_five,0.35926
CoRegTor,goa_similarity_jc,PER1,MEF2D;CEBPB;KLF9;RPS4X;SNRNP70;RPL35;CEBPD,exp02_muscle_skeletal-coregtor-n_five,0.36617
CoRegTor,goa_similarity_jc,SOD2,PSMA6;TPI1;UBXN1;NFIC,exp02_muscle_skeletal-coregtor-n_five,0.27497
CoRegTor,goa_similarity_jc,SPARC,HADHB;SMPX;ESRRA;JUNB;HNRNPA1,exp02_muscle_skeletal-coregtor-n_five,0.29201
