plot_tool,index,target,sources,method,value
CoRegNet,goa_similarity_lin,TKT,BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.37605
CoRegTor,goa_similarity_resnik,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,1.3849
CoRegTor,goa_similarity_resnik,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.54038
CoRegTor,goa_similarity_resnik,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,1.27477
CoRegTor,goa_similarity_resnik,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,1.62964
CoRegTor,goa_similarity_resnik,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,1.22944
CoRegTor,goa_similarity_resnik,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,1.24139
CoRegTor,goa_similarity_resnik,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,1.60443
CoRegTor,goa_similarity_resnik,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,1.03417
CoRegTor,goa_similarity_resnik,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,exp02_blood-coregtor-n_five,1.29088
CoRegTor,goa_similarity_resnik,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,exp02_blood-coregtor-n_five,1.16459
CoRegTor,goa_similarity_resnik,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,exp02_blood-coregtor-n_five,1.05447
CoRegTor,goa_similarity_resnik,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,exp02_blood-coregtor-n_five,1.29361
CoRegTor,goa_similarity_resnik,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,exp02_blood-coregtor-n_five,1.25649
CoRegTor,goa_similarity_resnik,PDLIM7,TSC22D4;TFE3;SPI1,exp02_blood-coregtor-n_five,1.32714
CoRegTor,goa_similarity_resnik,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,exp02_blood-coregtor-n_five,1.54365
CoRegTor,goa_similarity_resnik,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,exp02_blood-coregtor-n_five,2.09453
CoRegTor,goa_similarity_resnik,TKT,SPI1;SEMA4A;HCLS1,exp02_blood-coregtor-n_five,1.81117
CoRegNet,goa_similarity_resnik,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,exp02-coregnet,1.31644
CoRegNet,goa_similarity_resnik,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,1.22133
CoRegNet,goa_similarity_resnik,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,1.22086
CoRegNet,goa_similarity_resnik,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,exp02-coregnet,1.45554
CoRegNet,goa_similarity_resnik,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,1.30109
CoRegNet,goa_similarity_resnik,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,exp02-coregnet,1.30522
CoRegNet,goa_similarity_resnik,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,exp02-coregnet,1.32527
CoRegNet,goa_similarity_resnik,HBB,ANXA1;ARG1;BCL6;CEBPD;HCLS1;JUNB;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,1.20917
CoRegNet,goa_similarity_resnik,HMOX1,CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,1.51677
CoRegNet,goa_similarity_resnik,HSP90AA1,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;RPL35;RPS4X,exp02-coregnet,1.28179
CoRegNet,goa_similarity_resnik,HSPA1A,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;LTF;NFE2,exp02-coregnet,1.5031
CoRegNet,goa_similarity_resnik,MCL1,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;LTF;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,1.44048
CoRegNet,goa_similarity_resnik,NFKBIA,ANXA1;ARG1;BCL6;CEBPD;HCLS1;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,1.31994
CoRegNet,goa_similarity_resnik,PDLIM7,ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;ZBTB7B,exp02-coregnet,1.26535
CoRegNet,goa_similarity_resnik,RHOA,ANXA1;ARID5A;ATF4;BCL3;BCL6;CEBPD;ENO1;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;JUND;KLF2;KLF6;MXD1;NUCB1;PKM;RAB7A;RPL6;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TPI1;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,1.27622
CoRegNet,goa_similarity_resnik,SOCS3,ANXA1;ARID5A;BCL3;BCL6;CEBPB;CEBPD;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,1.46439
CoRegNet,goa_similarity_resnik,TKT,BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,1.23094
CoRegTor,goa_similarity_jc,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,0.4828
CoRegTor,goa_similarity_jc,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.29109
CoRegTor,goa_similarity_jc,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,0.3502
CoRegTor,goa_similarity_jc,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,0.35015
CoRegTor,goa_similarity_jc,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,0.3646
CoRegTor,goa_similarity_jc,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,0.30974
CoRegTor,goa_similarity_jc,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,0.30554
CoRegTor,goa_similarity_jc,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,0.32305
CoRegTor,goa_similarity_jc,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,exp02_blood-coregtor-n_five,0.31405
CoRegTor,goa_similarity_jc,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,exp02_blood-coregtor-n_five,0.34934
CoRegTor,goa_similarity_jc,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,exp02_blood-coregtor-n_five,0.30173
CoRegTor,goa_similarity_jc,MCL1,FOSL2;SEMA4A;SF1;KLF6;STAT6,exp02_blood-coregtor-n_five,0.42019
CoRegTor,goa_similarity_jc,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,exp02_blood-coregtor-n_five,0.3483
CoRegTor,goa_similarity_jc,PDLIM7,TSC22D4;TFE3;SPI1,exp02_blood-coregtor-n_five,0.38024
CoRegTor,goa_similarity_jc,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,exp02_blood-coregtor-n_five,0.3823
CoRegTor,goa_similarity_jc,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,exp02_blood-coregtor-n_five,0.4133
CoRegTor,goa_similarity_jc,TKT,SPI1;SEMA4A;HCLS1,exp02_blood-coregtor-n_five,0.25035
CoRegNet,goa_similarity_jc,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,exp02-coregnet,0.31925
CoRegNet,goa_similarity_jc,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.31069
CoRegNet,goa_similarity_jc,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.31283
CoRegNet,goa_similarity_jc,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,exp02-coregnet,0.32664
CoRegNet,goa_similarity_jc,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.37035
CoRegNet,goa_similarity_jc,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,exp02-coregnet,0.33169
CoRegNet,goa_similarity_jc,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,exp02-coregnet,0.32318
CoRegNet,goa_similarity_jc,HBB,ANXA1;ARG1;BCL6;CEBPD;HCLS1;JUNB;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.33046
CoRegNet,goa_similarity_jc,HMOX1,CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.41391
CoRegNet,goa_similarity_jc,HSP90AA1,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;RPL35;RPS4X,exp02-coregnet,0.38439
CoRegNet,goa_similarity_jc,HSPA1A,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;LTF;NFE2,exp02-coregnet,0.38153
CoRegNet,goa_similarity_jc,MCL1,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;LTF;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.31581
CoRegNet,goa_similarity_jc,NFKBIA,ANXA1;ARG1;BCL6;CEBPD;HCLS1;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.33428
CoRegNet,goa_similarity_jc,PDLIM7,ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;ZBTB7B,exp02-coregnet,0.33297
CoRegNet,goa_similarity_jc,RHOA,ANXA1;ARID5A;ATF4;BCL3;BCL6;CEBPD;ENO1;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;JUND;KLF2;KLF6;MXD1;NUCB1;PKM;RAB7A;RPL6;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TPI1;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.34129
CoRegNet,goa_similarity_jc,SOCS3,ANXA1;ARID5A;BCL3;BCL6;CEBPB;CEBPD;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.37236
CoRegNet,goa_similarity_jc,TKT,BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.32827
CoRegTor,shortest_PPI_path_score_hippie,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,0.48333
CoRegTor,shortest_PPI_path_score_hippie,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,CCND3,ZBTB7B;RAB7A;TSC22D4,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,0.58333
CoRegTor,shortest_PPI_path_score_hippie,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,0.48333
CoRegTor,shortest_PPI_path_score_hippie,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,HMOX1,HSPA5;TPI1;ENO1;FOS;CSNK2B,exp02_blood-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,HSP90AA1,ATF4;RPL35;MXD1;RPL6;HSPA5,exp02_blood-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,HSPA1A,GTPBP1;ATF4;NUCB1;HSPA5;RPL35,exp02_blood-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,MCL1,YWHAZ;STAT5B,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,NFKBIA,CEBPD;RAB7A;SMAP2;STAT5B;FOS;HMGB2,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,PDLIM7,TSC22D4;TFE3;SPI1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,RHOA,GTPBP1;JUNB;KLF2;JUND;KLF6;LTF,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,SOCS3,BCL3;CEBPB;ARID5A;NFIL3;FOS,exp02_blood-coregtor-n_five,0.51667
CoRegTor,shortest_PPI_path_score_hippie,TKT,SPI1;SEMA4A;HCLS1,exp02_blood-coregtor-n_five,0.38889
CoRegNet,shortest_PPI_path_score_hippie,ACTB,ANXA1;BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TSC22D4;UBB;YWHAZ;ZBTB7B,exp02-coregnet,0.48889
CoRegNet,shortest_PPI_path_score_hippie,BCL2L1,ANXA1;ARG1;BCL6;CEBPD;FOS;GTPBP1;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.47222
CoRegNet,shortest_PPI_path_score_hippie,CCND3,BCL6;CEBPD;HCLS1;LTF;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.4873
CoRegNet,shortest_PPI_path_score_hippie,CD44,ANXA1;ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;YWHAZ;ZBTB7B,exp02-coregnet,0.49444
CoRegNet,shortest_PPI_path_score_hippie,CXCR4,ANXA1;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.50758
CoRegNet,shortest_PPI_path_score_hippie,GSTP1,ARG1;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;LTF;PKM;RPL35;RPL6;RPS4X;SF1;SNRNP70,exp02-coregnet,0.56984
CoRegNet,shortest_PPI_path_score_hippie,HBA2,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;NFE2;RAB7A;SEMA4A;SMAP2;SPI1;STAT5B;TAGLN2;ZBTB7B,exp02-coregnet,0.47802
CoRegNet,shortest_PPI_path_score_hippie,HBB,ANXA1;ARG1;BCL6;CEBPD;HCLS1;JUNB;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;TAGLN2;UBB;ZBTB7B,exp02-coregnet,0.47253
CoRegNet,shortest_PPI_path_score_hippie,HMOX1,CEBPB;FOS;FOSL2;GTPBP1;HSPA5;JUNB;JUND;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RPS4X,exp02-coregnet,0.51648
CoRegNet,shortest_PPI_path_score_hippie,HSP90AA1,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;KLF6;LTF;MXD1;NFE2;RPL35;RPS4X,exp02-coregnet,0.5202
CoRegNet,shortest_PPI_path_score_hippie,HSPA1A,CEBPD;FOS;FOSL2;GTPBP1;HSPA5;JUND;LTF;NFE2,exp02-coregnet,0.54167
CoRegNet,shortest_PPI_path_score_hippie,MCL1,ANXA1;ARG1;BCL6;CEBPD;HCLS1;HMGB2;LTF;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.47727
CoRegNet,shortest_PPI_path_score_hippie,NFKBIA,ANXA1;ARG1;BCL6;CEBPD;HCLS1;NFE2;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.46061
CoRegNet,shortest_PPI_path_score_hippie,PDLIM7,ARID5A;BCL3;BCL6;CEBPD;HCLS1;LTF;NFE2;PKM;RAB7A;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;ZBTB7B,exp02-coregnet,0.49048
CoRegNet,shortest_PPI_path_score_hippie,RHOA,ANXA1;ARID5A;ATF4;BCL3;BCL6;CEBPD;ENO1;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;JUND;KLF2;KLF6;MXD1;NUCB1;PKM;RAB7A;RPL6;SEMA4A;SF1;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TPI1;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.51597
CoRegNet,shortest_PPI_path_score_hippie,SOCS3,ANXA1;ARID5A;BCL3;BCL6;CEBPB;CEBPD;FOS;FOSL2;GTPBP1;HCLS1;HSPA5;JUNB;KLF2;KLF6;LTF;MXD1;NFE2;NFIL3;RAB7A;SEMA4A;SMAP2;STAT5B;ZBTB7B,exp02-coregnet,0.48485
CoRegNet,shortest_PPI_path_score_hippie,TKT,BCL6;CEBPD;HCLS1;LTF;NFE2;RAB7A;SEMA4A;SMAP2;SNRNP70;SPI1;STAT5B;STAT6;TAGLN2;TSC22D4;UBB;USF1;YWHAZ;ZBTB7B,exp02-coregnet,0.48366
CoRegTor,shortest_PPI_path_score_stringdb,ACTB,FOSL2;YWHAZ;SF1;LYL1;KLF6,exp02_blood-coregtor-n_five,0.48333
CoRegTor,shortest_PPI_path_score_stringdb,BCL2L1,UBB;TAGLN2;MXD1,exp02_blood-coregtor-n_five,0.44444
CoRegTor,shortest_PPI_path_score_stringdb,CCND3,CEBPD;HCLS1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,CD44,STAT5B;YWHAZ;SPI1;PKM,exp02_blood-coregtor-n_five,0.66667
CoRegTor,shortest_PPI_path_score_stringdb,CXCR4,FOSL2;MXD1;GTPBP1;ATF4;SF1,exp02_blood-coregtor-n_five,0.46667
CoRegTor,shortest_PPI_path_score_stringdb,GSTP1,CSNK2B;UBXN1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,HBA2,STAT5B;HCLS1;RAB7A;ANXA1;USF1,exp02_blood-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,HBB,TSC22D4;YWHAZ,exp02_blood-coregtor-n_five,0.5
