plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_resnik,HLA-DRB1,RPL6;TAGLN2;HSPA5;PKM;TEAD3,exp02_bladder-coregtor-n_five,0.9775
CoRegTor,goa_similarity_resnik,HLA-E,RPL6;PKM;HNRNPA1;STAT6;TAGLN2,exp02_bladder-coregtor-n_five,1.00474
CoRegTor,goa_similarity_resnik,ID3,ID2;PRDX5;ID1;ELF3;YBX1,exp02_bladder-coregtor-n_five,1.35529
CoRegTor,goa_similarity_resnik,PDK4,EGR1;EPAS1;CEBPD;ID2;BCL6;NFE2L2;FOS,exp02_bladder-coregtor-n_five,2.09229
CoRegTor,goa_similarity_resnik,PDLIM7,TEAD3;CBX7;ID2;ATF4;PRDX5,exp02_bladder-coregtor-n_five,1.29838
CoRegTor,goa_similarity_resnik,SPARC,TAGLN2;BCL6;TRIM28;NFE2L1;CBX7,exp02_bladder-coregtor-n_five,1.02456
CoRegTor,goa_similarity_resnik,TAGLN,TEAD3;YBX1;ATF4;ID2;CBX7,exp02_bladder-coregtor-n_five,1.48353
CoRegTor,goa_similarity_resnik,TIMP1,JUND;ENO1;YBX1;TPI1;BCL6,exp02_bladder-coregtor-n_five,1.37149
CoRegTor,goa_similarity_resnik,TIMP3,EPAS1;TRIM28;STAT6;JUND;UBB,exp02_bladder-coregtor-n_five,1.58511
CoRegTor,goa_similarity_resnik,TKT,SOD1;TRIM28;CBX7;NFE2L1;UBXN1,exp02_bladder-coregtor-n_five,1.12497
CoRegTor,goa_similarity_resnik,VIM,ENO1;TRIM28;PKM;CEBPD;CLK1,exp02_bladder-coregtor-n_five,1.46325
CoRegNet,goa_similarity_resnik,ACTA2,BHLHE40;ELF3;EZR;FOS;ID1;ID2;JUNB,exp02-coregnet,1.57449
CoRegNet,goa_similarity_resnik,ACTB,BHLHE40;ELF3;EZR;FOS;FOSL2;ID1;JUNB;NR4A1,exp02-coregnet,1.587
CoRegNet,goa_similarity_resnik,CDKN1A,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;FOSL2;ID1;ID2;JUNB;NR4A1,exp02-coregnet,1.94283
CoRegNet,goa_similarity_resnik,CLU,BCL6;BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,1.72005
CoRegNet,goa_similarity_resnik,DUSP1,BHLHE40;CEBPB;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUN;JUNB;NR4A1,exp02-coregnet,1.99799
CoRegNet,goa_similarity_resnik,FN1,BHLHE40;ELF3;EZR;FOS;ID1;JUNB;NR4A1,exp02-coregnet,1.56396
CoRegNet,goa_similarity_resnik,GADD45B,BCL6;CEBPD;ELF3;ID1,exp02-coregnet,1.55959
CoRegNet,goa_similarity_resnik,HLA-DRB1,BHLHE40;ELF3;FOS;ID1;JUNB;NR4A1,exp02-coregnet,1.83892
CoRegNet,goa_similarity_resnik,HLA-E,BHLHE40;CEBPB;CEBPD;EGR1;ELF3;ETS2;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,1.96301
CoRegNet,goa_similarity_resnik,ID3,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,1.71891
CoRegNet,goa_similarity_resnik,PDK4,BHLHE40;ELF3;ID1,exp02-coregnet,1.72961
CoRegNet,goa_similarity_resnik,PDLIM7,BHLHE40;ELF3;EZR;FOS;ID1;JUNB,exp02-coregnet,1.45138
CoRegNet,goa_similarity_resnik,SPARC,BCL6;BHLHE40;ELF3;EZR;ID1;NR4A1,exp02-coregnet,1.45897
CoRegNet,goa_similarity_resnik,TAGLN,BHLHE40;EGR1;ELF3;EZR;FOS;ID1;ID2;JUNB;NR4A1,exp02-coregnet,1.71891
CoRegNet,goa_similarity_resnik,TIMP1,EGR1;ELF3;EZR;FOS;ID1;JUN;NR4A1,exp02-coregnet,1.669
CoRegNet,goa_similarity_resnik,TIMP3,BCL6;CEBPB;EGR1;ELF3;ID1;JUN;JUND;NR4A1,exp02-coregnet,1.99802
