"Regulator","Target"
"HIF1A","ACTB"
"HIF1A","TIMP1"
"HIF1A","VIM"
"HIF1A","SQSTM1"
"HIF1A","PDK4"
"HIF1A","SUMO1"
"HIF1A","TKT"
"HIF1A","HSP90AA1"
"HIF1A","OGA"
"HIF1A","FASN"
"HIF1A","BCL2L1"
"HIF1A","PRKACA"
"HIF1A","NFKBIA"
"ID4","SPARC"
"ID4","CLU"
"ID4","TXN"
"ID4","PER1"
"ID4","APOE"
"ID4","HSPA4"
"ID4","PCNA"
"ID4","MAT2A"
"ID4","MCL1"
"ID4","VIM"
"ID4","SQSTM1"
"ID4","PDK4"
"ID4","SUMO1"
"ID4","TKT"
"ID4","HSP90AA1"
"ID4","OGA"
"ID4","BCL2L1"
"ID4","NFKBIA"
"SOX9","SPARC"
"SOX9","SOD2"
"SOX9","CLU"
"SOX9","TXN"
"SOX9","PER1"
"SOX9","APOE"
"SOX9","HSPA4"
"SOX9","PCNA"
"SOX9","MAT2A"
"SOX9","MCL1"
"SOX9","VIM"
"SOX9","SQSTM1"
"SOX9","PDK4"
"SOX9","SUMO1"
"SOX9","TKT"
"SOX9","OGA"
"SOX9","BCL2L1"
"SOX9","NFKBIA"
"NR2E1","SPARC"
"NR2E1","SOD2"
"NR2E1","CLU"
"NR2E1","TXN"
"NR2E1","APOE"
"NR2E1","HSPA4"
"NR2E1","PCNA"
"NR2E1","MAT2A"
"NR2E1","MCL1"
"NR2E1","ACTB"
"NR2E1","VIM"
"NR2E1","SQSTM1"
"NR2E1","SUMO1"
"NR2E1","TKT"
"NR2E1","OGA"
"NR2E1","FASN"
"NR2E1","BCL2L1"
"BCL6","SPARC"
"BCL6","SOD2"
"BCL6","CLU"
"BCL6","PER1"
"BCL6","APOE"
"BCL6","NDRG1"
"BCL6","MAT2A"
"BCL6","HLA-E"
"BCL6","CDKN1A"
"BCL6","TAGLN"
"BCL6","FN1"
"BCL6","MCL1"
"BCL6","TIMP1"
"BCL6","VIM"
"BCL6","SQSTM1"
"BCL6","CRYAB"
"BCL6","PDK4"
"BCL6","GADD45B"
"BCL6","VEGFA"
"BCL6","ID3"
"BCL6","NFKBIA"
"HMGB2","SPARC"
"HMGB2","SOD2"
"HMGB2","CLU"
"HMGB2","TXN"
"HMGB2","PER1"
"HMGB2","APOE"
"HMGB2","HSPA4"
"HMGB2","NDRG1"
"HMGB2","PCNA"
"HMGB2","MAT2A"
"HMGB2","HLA-E"
"HMGB2","MCL1"
"HMGB2","ACTB"
"HMGB2","TIMP1"
"HMGB2","VIM"
"HMGB2","SQSTM1"
"HMGB2","CRYAB"
"HMGB2","PDK4"
"HMGB2","APP"
"HMGB2","SUMO1"
"HMGB2","TKT"
"HMGB2","HSP90AA1"
"HMGB2","OGA"
"HMGB2","BCL2L1"
"HMGB2","PRKACA"
"HMGB2","NFKBIA"
"ID2","SPARC"
"ID2","SOD2"
"ID2","CLU"
"ID2","TXN"
"ID2","PER1"
"ID2","APOE"
"ID2","HSPA4"
"ID2","NDRG1"
"ID2","PCNA"
"ID2","MAT2A"
"ID2","MCL1"
"ID2","TIMP1"
"ID2","VIM"
"ID2","SQSTM1"
"ID2","APP"
"ID2","SUMO1"
"ID2","TKT"
"ID2","HSP90AA1"
"ID2","STMN1"
"ID2","OGA"
"ID2","NFKBIA"
"SOX2","SPARC"
"SOX2","CLU"
"SOX2","TXN"
"SOX2","PER1"
"SOX2","APOE"
"SOX2","HSPA4"
"SOX2","PCNA"
"SOX2","MAT2A"
"SOX2","MCL1"
"SOX2","ACTB"
"SOX2","VIM"
"SOX2","SQSTM1"
"SOX2","APP"
"SOX2","SUMO1"
"SOX2","TKT"
"SOX2","OGA"
"SOX2","FASN"
"SOX2","BCL2L1"
"SOX2","PRKACA"
"BHLHE41","SPARC"
"BHLHE41","SOD2"
"BHLHE41","CLU"
"BHLHE41","TXN"
"BHLHE41","PER1"
"BHLHE41","APOE"
"BHLHE41","HSPA4"
"BHLHE41","NDRG1"
"BHLHE41","PCNA"
"BHLHE41","MAT2A"
"BHLHE41","HLA-E"
"BHLHE41","FN1"
"BHLHE41","MCL1"
"BHLHE41","ACTB"
"BHLHE41","TIMP1"
"BHLHE41","VIM"
"BHLHE41","SQSTM1"
"BHLHE41","CRYAB"
"BHLHE41","PDK4"
"BHLHE41","APP"
"BHLHE41","SUMO1"
"BHLHE41","TKT"
"BHLHE41","HSP90AA1"
"BHLHE41","OGA"
"BHLHE41","FASN"
"BHLHE41","BCL2L1"
"BHLHE41","PRKACA"
"BHLHE41","NFKBIA"
"FEZF2","SPARC"
"FEZF2","CLU"
"FEZF2","TXN"
"FEZF2","APOE"
"FEZF2","VIM"
"FEZF2","PDK4"
"FEZF2","SUMO1"
"FEZF2","TKT"
"FEZF2","HSP90AA1"
"FEZF2","STMN1"
"XBP1","SPARC"
"XBP1","SOD2"
"XBP1","HLA-DRB1"
"XBP1","CLU"
"XBP1","TXN"
"XBP1","PER1"
"XBP1","APOE"
"XBP1","HSPA4"
"XBP1","NDRG1"
"XBP1","PCNA"
"XBP1","MAT2A"
"XBP1","HLA-E"
"XBP1","CDKN1A"
"XBP1","FN1"
