cluster_uid,target,sources,n_sources,method
25af4e5a1433,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;JUN;JUNB;NFIL3;NR4A1;XBP1,12,exp05-coregnet
9a1e631d3904,HBA2,EGR3,1,exp05-coregnet
4b60507dcda4,HBB,EGR3,1,exp05-coregnet
a4d6d3e4a2e4,HLA-DRB1,ATF3;BHLHE22;CEBPD;EGR3;FOS;MEF2C;NFIL3;XBP1,8,exp05-coregnet
736ac8258c90,HLA-E,ARID5A;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;DDIT3;EGR1;ERF;ETS2;FOS;HES5;HIF1A;HIF3A;HMGA1;HMGB2;HSF4;ID1;JUN;JUNB;JUND;KLF9;LMO2;MLXIPL;MYRF;NCOR2;NFIL3;NKX6-2;NR4A1;RELA;RFX4;STAT1;STAT2;STAT3;TFE3;XBP1,37,exp05-coregnet
47440137a0da,HSP90AA1,APEX1;ARID5A;ATF2;ATF3;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DBP;DDIT3;EGR1;EGR3;ENO1;ERF;ETS2;EWSR1;FEZF2;FOS;FOXG1;GTF2F1;GTF3A;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;JUND;KLF13;KLF9;MAFG;MAZ;MEF2C;MEF2D;MESP1;MLX;MLXIPL;MTA3;NEUROD2;NFIL3;NPAS2;NR4A1;RBFOX2;SMARCA1;SND1;SREBF2;STAT1;STAT3;TBPL1;TEF;TFE3;UBP1;XBP1;ZBTB18;ZNF32;ZSCAN18,66,exp05-coregnet
2b2d7f65a397,HSPA1A,ATF3;CEBPD;EGR1;EGR3;FOS;JUN;JUNB;MYRF;NFIL3;NR4A1,10,exp05-coregnet
aea8029b61c9,HSPA4,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DDIT3;DEAF1;DRAP1;E4F1;EGR1;EGR3;EMX2;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;ID2;ID4;JAZF1;JUN;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NFIL3;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF32;ZSCAN18,89,exp05-coregnet
b34473510e69,ID3,ATF3;BCL6;CEBPD;ETS2;FOS;HIF3A;HSF4;ID1;JUN;JUNB;MYRF;NFIL3;NKX6-2;NR4A1;RFX4;STAT2,16,exp05-coregnet
0c74c8e6f539,MAT2A,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBZF;CTBP1;DDIT3;E4F1;EGR1;EGR3;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES4;HIF1A;HIF3A;HLF;HMGA1;HMGB2;HSF4;ID1;ID2;ID4;JUN;JUNB;JUND;KLF13;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MESP1;MLX;MLXIPL;MTA3;MYRF;NCOA1;NCOR2;NFE2L1;NFIL3;NKX6-2;NPAS2;NR2E1;NR4A1;PIR;PPARD;RBFOX2;RELA;RFX4;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZGPAT;ZNF189;ZNF692;ZSCAN18,86,exp05-coregnet
