cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
29056a0e5a07,HBA2,RPL35;FEZ1;TSC22D4;OLIG1;SNRNP70,5,27.7778,0.2534,exp02_cortex-ba9-coregtor-n_five,0.28197,0.79642,0.27398,0.53333,0.38333,0.5,25.50188,0.48647,24.82033,0.0,0.0,0.0,0.0
7f63eeb5be9b,HBB,OLIG1;FEZ1;RPL35;SNRNP70;TSC22D4,5,22.7273,0.408,exp02_cortex-ba9-coregtor-n_five,0.28197,0.79642,0.27398,0.53333,0.38333,0.5,25.50188,0.48647,24.82033,0.0,0.0,0.0,0.0
5c70c4c7fc1c,HLA-E,HSPA5;ENO1,2,10.0,0.2895,exp02_cortex-ba9-coregtor-n_five,0.44834,1.6108,0.33346,0.5,1.0,0.5,99.57357,96.73481,120.36613,0.0,0.0,0.0,0.0
d2d404e65e6b,HLA-E,NUCB1;SRP9,2,10.0,0.2695,exp02_cortex-ba9-coregtor-n_five,0.24558,0.46173,0.30068,0.5,0.33333,0.5,3.03002,0.0,2.26948,0.0,0.0,0.0,0.0
ae68f1b06ca9,HLA-E,BHLHE40;AGAP2,2,10.0,0.2537,exp02_cortex-ba9-coregtor-n_five,0.26382,0.61256,0.2781,0.5,0.33333,0.5,0.78467,0.0,0.88878,0.0,0.0,0.0,0.0
d1da62d6c5cf,HLA-E,TSC22D4;RAB7A;EWSR1;OLIG1;ATF4,5,25.0,0.2466,exp02_cortex-ba9-coregtor-n_five,0.31845,0.86942,0.29231,0.48333,0.45,0.48333,3.19891,1.14135,2.9588,0.0,0.0,0.0,0.0
6e3298acd451,HSP90AA1,UBB;NUCB1;HSPA5;ATF4;RAN,5,45.4545,0.6483,exp02_cortex-ba9-coregtor-n_five,0.36527,1.2886,0.30075,0.55,0.6,0.6,16.41289,33.58651,17.1818,0.0,0.0,0.0,0.0
58b1d69cd817,HSPA1A,HSPA5;JUND;ATF4;UBB;NUCB1,5,62.5,0.3051,exp02_cortex-ba9-coregtor-n_five,0.35929,1.27101,0.30599,0.55,0.65,0.55,11.87683,26.05403,7.52264,0.0,0.0,0.0,0.0
ced54de09076,MAT2A,ATF4;HNRNPA1,2,8.0,0.2084,exp02_cortex-ba9-coregtor-n_five,0.44846,1.79411,0.3071,0.5,0.5,0.5,3.36915,37.36836,5.11991,0.0,0.0,0.0,0.0
d523a9617e6b,MAT2A,RAB7A;EWSR1;CSNK2B;ENO1;TPPP,5,20.0,0.1936,exp02_cortex-ba9-coregtor-n_five,0.36891,1.13775,0.31155,0.5,0.5,0.5,17.41678,4.01998,18.65274,0.0,0.0,0.0,0.0
9e4fe298204e,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,5,83.3333,0.7575,exp02_cortex-ba9-coregtor-n_five,0.3115,0.86882,0.29028,0.51667,0.46667,0.5,15.67727,9.52986,18.07023,0.0,0.0,0.0,0.0
