cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
239ecb2eda19,HSPA1A,BHLHE40;DDIT3;EGR1;FOS;HSPA5;JUN;LTF;NR4A1,8,100.0,exp02-coregnet,0.47551,1.86677,0.36363,0.625,0.75,0.58929,18.44843,60.18182,12.83998,0.125,0.04,0.06060606060606061,0.03125
51a27bac0943,NDRG1,ATF4;BHLHE40;CAT;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HADHB;HES1;HNRNPA1;HSPA5;ID2;ILF2;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PKM;PRDX5;RPL35;RPL6;RPS10;RPS4X;SF1;SOD1;SRP9;STAT6;SUCLG1;TAGLN2;TPI1;TRIM28;UBXN1;YWHAE,43,100.0,exp02-coregnet,0.35755,1.20191,0.30535,0.56128,0.56589,0.55463,20.08363,18.58108,20.81916,0.046511627906976744,0.1,0.06349206349206349,0.03278688524590164
77648bfdb06d,RHOA,ATF4;BHLHE40;CAT;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HADHB;HES1;HNRNPA1;HSPA5;ID1;ILF2;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PAX8;PKM;PRDX5;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TPI1;TRIM28;UBXN1;YWHAE,41,100.0,exp02-coregnet,0.36771,1.23462,0.31419,0.56057,0.56301,0.5498,20.50552,17.45418,20.42138,0.04878048780487805,0.09523809523809523,0.06451612903225808,0.03333333333333333
d9575569e925,SOD2,CEBPD;EGR1;GADD45A;HSPA5;LTF;NR4A1;P4HB;PAX8,8,100.0,exp02-coregnet,0.39072,1.48534,0.30345,0.55357,0.57143,0.54762,11.20855,25.68262,9.08571,0.125,0.025,0.04166666666666667,0.02127659574468085
412aad65094a,SPARC,ATF4;CEBPD;EGR1;EPAS1;EZR;FOS;HSPA5;ID1;JUN;JUNB;LTF;NFE2L1;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,24,100.0,exp02-coregnet,0.39388,1.28353,0.33768,0.58273,0.58213,0.56643,24.42633,21.85611,22.80854,0.041666666666666664,0.043478260869565216,0.0425531914893617,0.021739130434782608
5473112842d9,TAGLN,CEBPD;EGR1;ENO1;FOS;HSPA5;JUN;JUNB;LTF;NR4A1;P4HB;PKM;RPS4X;TAGLN2,13,100.0,exp02-coregnet,0.40582,1.40364,0.33594,0.60897,0.68376,0.58333,30.08438,41.56473,28.57434,0.0,0.0,0.0,0.0
099a0f8f2ccc,TIMP1,CD59;CEBPD;EGR1;ENO1;EZR;FOS;HSPA5;JUN;JUNB;LTF;P4HB;PAX8;PKM;TAGLN2,14,100.0,exp02-coregnet,0.36767,1.32591,0.30634,0.59524,0.63004,0.5696,19.68317,31.07563,21.4191,0.21428571428571427,0.07894736842105263,0.11538461538461539,0.061224489795918366
e642c50de456,TIMP3,CD59;CEBPD;CLK1;EGR1;ENO1;EPAS1;EZR;FOS;HSPA5;ID1;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPS4X;SF1;TAGLN2,20,100.0,exp02-coregnet,0.36511,1.22015,0.31353,0.55175,0.56842,0.55439,15.70356,21.36458,16.72524,0.05,0.045454545454545456,0.04761904761904762,0.024390243902439025
b79d426d1d6a,TXN,AKR1A1;ATF4;CAT;EGR1;ENO1;FOS;GADD45A;HADHB;JUN;JUND;LTF;NR4A1;P4HB;PRDX5;RPL35;RPL6;RPS4X;SOD1;SUCLG1;TPI1,20,100.0,exp02-coregnet,0.35262,1.32101,0.28313,0.57719,0.62895,0.55965,21.5133,25.69686,17.55716,0.05,0.05,0.05000000000000001,0.02564102564102564
777bc362561e,VEGFA,BHLHE40;CEBPD;DDIT3;EGR1;FOS;GADD45A;HSPA5;ID2;LTF;NR4A1,10,100.0,exp02-coregnet,0.45154,1.73476,0.3452,0.55556,0.66667,0.53704,11.22686,37.37299,6.30437,0.4,0.028169014084507043,0.05263157894736842,0.02702702702702703
0211bdc52ef3,VIM,BHLHE40;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HES1;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,28,100.0,exp02-coregnet,0.39329,1.30056,0.33391,0.58333,0.59171,0.57187,26.79726,23.31149,24.75202,0.03571428571428571,0.02,0.02564102564102564,0.012987012987012988
