cluster_uid,target,sources,n_sources,n_percent,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
51a27bac0943,NDRG1,ATF4;BHLHE40;CAT;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HADHB;HES1;HNRNPA1;HSPA5;ID2;ILF2;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PKM;PRDX5;RPL35;RPL6;RPS10;RPS4X;SF1;SOD1;SRP9;STAT6;SUCLG1;TAGLN2;TPI1;TRIM28;UBXN1;YWHAE,43,100.0,exp02-coregnet,0.56128,0.56589,0.55463,20.08363,18.58108,20.81916,0.35912,1.20906,0.30571,0.04651,0.1,0.06349,0.03279
77648bfdb06d,RHOA,ATF4;BHLHE40;CAT;CD59;CEBPD;CLK1;CSNK2B;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;GADD45A;HADHB;HES1;HNRNPA1;HSPA5;ID1;ILF2;JUN;JUNB;JUND;LTF;NFE2L1;NR4A1;P4HB;PAX8;PKM;PRDX5;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TPI1;TRIM28;UBXN1;YWHAE,41,100.0,exp02-coregnet,0.56057,0.56301,0.5498,20.50552,17.45418,20.42138,0.36946,1.24261,0.31463,0.04878,0.09524,0.06452,0.03333
d9575569e925,SOD2,CEBPD;EGR1;GADD45A;HSPA5;LTF;NR4A1;P4HB;PAX8,8,100.0,exp02-coregnet,0.55357,0.57143,0.54762,11.20855,25.68262,9.08571,0.39364,1.49906,0.30406,0.125,0.025,0.04167,0.02128
412aad65094a,SPARC,ATF4;CEBPD;EGR1;EPAS1;EZR;FOS;HSPA5;ID1;JUN;JUNB;LTF;NFE2L1;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,24,100.0,exp02-coregnet,0.58273,0.58213,0.56643,24.42633,21.85611,22.80854,0.39649,1.29591,0.33834,0.04167,0.04348,0.04255,0.02174
5473112842d9,TAGLN,CEBPD;EGR1;ENO1;FOS;HSPA5;JUN;JUNB;LTF;NR4A1;P4HB;PKM;RPS4X;TAGLN2,13,100.0,exp02-coregnet,0.60897,0.68376,0.58333,30.08438,41.56473,28.57434,0.40795,1.41634,0.33635,0.0,0.0,0.0,0.0
099a0f8f2ccc,TIMP1,CD59;CEBPD;EGR1;ENO1;EZR;FOS;HSPA5;JUN;JUNB;LTF;P4HB;PAX8;PKM;TAGLN2,14,100.0,exp02-coregnet,0.59524,0.63004,0.5696,19.68317,31.07563,21.4191,0.36929,1.33399,0.3068,0.21429,0.07895,0.11538,0.06122
e642c50de456,TIMP3,CD59;CEBPD;CLK1;EGR1;ENO1;EPAS1;EZR;FOS;HSPA5;ID1;JUNB;JUND;LTF;NR4A1;P4HB;PAX8;PKM;RPS4X;SF1;TAGLN2,20,100.0,exp02-coregnet,0.55175,0.56842,0.55439,15.70356,21.36458,16.72524,0.36664,1.22684,0.31402,0.05,0.04545,0.04762,0.02439
b79d426d1d6a,TXN,AKR1A1;ATF4;CAT;EGR1;ENO1;FOS;GADD45A;HADHB;JUN;JUND;LTF;NR4A1;P4HB;PRDX5;RPL35;RPL6;RPS4X;SOD1;SUCLG1;TPI1,20,100.0,exp02-coregnet,0.57719,0.62895,0.55965,21.5133,25.69686,17.55716,0.35373,1.32624,0.28336,0.05,0.05,0.05,0.02564
777bc362561e,VEGFA,BHLHE40;CEBPD;DDIT3;EGR1;FOS;GADD45A;HSPA5;ID2;LTF;NR4A1,10,100.0,exp02-coregnet,0.55556,0.66667,0.53704,11.22686,37.37299,6.30437,0.45426,1.7461,0.34589,0.4,0.02817,0.05263,0.02703
0211bdc52ef3,VIM,BHLHE40;CEBPD;CLK1;DDIT3;EGR1;ENO1;EPAS1;EZR;FOS;HES1;HNRNPA1;HSPA5;JUN;JUNB;JUND;LTF;NR4A1;P4HB;PKM;RPL35;RPL6;RPS10;RPS4X;SF1;STAT6;TAGLN2;TRIM28;UBXN1,28,100.0,exp02-coregnet,0.58333,0.59171,0.57187,26.79726,23.31149,24.75202,0.3952,1.30934,0.33433,0.03571,0.02,0.02564,0.01299
