,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
15,20b975863da4,HSPA1A,ARID5A;ATF3;BHLHE40;DDIT3;EGR1;FOSB;HES1;JUN;KDM5D;MAFF;MSC;NR1D1;NR4A1;NR4A2;NR4A3;ZNF331,16,exp03-coregnet,0.49028,0.63194,0.475,5.60491,23.4682,4.10655,0.56094,1.90256,0.47827,0.0625,0.04,0.025
16,7bffe220eae7,HSPA4,BCL6;ENO1;FHL2;FOSB;FOSL2;HBP1;HIF1A;HMGA1;HSF2;KDM5D;KLF10;KLF15;MEF2A;MYC;NFE2L1;NFIL3;NKX2-5;NR4A3;PPARD;PPARGC1A;SNAI2;SREBF2;SRF;STAT3;TBX20;TBX5;XBP1;ZBTB16;ZNF331,29,exp03-coregnet,0.50123,0.56814,0.50246,5.24957,16.3489,5.21373,0.52501,1.83807,0.43053,0.17241,0.12195,0.07692
17,5a0767e63d7e,ID3,ATF3;ATOH8;BHLHE40;EGR1;FOS;FOSB;FOXC1;HES1;ID1;ID2;ID4;JUN;JUNB;JUND;KDM5D;KLF2;KLF4;MEOX1;MSC;NR1D1;NR4A1;NR4A2;NR4A3;SMAD6;SMAD7;SNAI2;TCF21,27,exp03-coregnet,0.49406,0.6301,0.47673,6.11395,28.06426,4.45921,0.53401,1.95955,0.43362,0.14815,0.19048,0.09091
18,e7fefecc75bb,ITGB1,ARID5B;ATF3;BHLHE40;CREB3L2;EGR1;ENO1;FHL2;FOS;FOSB;FOSL2;FOXC1;HBP1;HIF1A;HMGA1;ID2;ID4;JUNB;KDM5D;KLF10;KLF9;MAFF;MEF2A;MYC;NFIL3;NR1D1;NR4A2;NR4A3;PPARGC1A;SMAD7;SNAI2;STAT3;TBX20;TBX5;XBP1;ZBTB16;ZNF331,36,exp03-coregnet,0.4963,0.59392,0.49683,6.98712,19.18704,5.03297,0.5238,1.82109,0.43305,0.05556,0.09524,0.03636
19,fde8e81376ee,MAT2A,ARID5A;ARID5B;ATF3;BCL3;BHLHE40;CREB3L2;EGR1;ENO1;ETS2;FOS;FOSB;FOSL2;HIF1A;ID4;JUNB;KDM5D;KLF10;MAFF;MYC;NFIL3;NR4A1;NR4A2;NR4A3;PPARD;PPARGC1A;STAT3;TBX20;ZNF331,28,exp03-coregnet,0.51102,0.63316,0.50397,8.92185,25.66122,5.22953,0.54439,1.82854,0.45756,0.10714,0.14286,0.06522
20,4a6b6b610df5,MCL1,ARID5A;ATF3;BHLHE40;CEBPB;CREB3L2;EGR1;ETS1;FOS;FOSB;FOSL2;FOXO1;HES1;HIF1A;ID4;JUN;JUNB;JUND;KLF10;KLF4;KLF6;KLF9;MAFF;MYC;NFIL3;NR4A1;NR4A2;NR4A3;SOX9;STAT3;TBX20;ZNF331,31,exp03-coregnet,0.53584,0.70717,0.53118,11.69743,41.3121,7.95969,0.57125,2.02652,0.47367,0.12903,0.10811,0.0625
21,6cbba7c11c84,MT1A,ARID5A;BCL3;BHLHE40;CEBPD;FOSB;KDM5D;MAFF;MYC;NFIL3;NR4A3;ZNF331,11,exp03-coregnet,0.47576,0.57879,0.46364,5.82861,14.18934,2.78044,0.55124,1.71691,0.47499,0.0,0.0,0.0
22,37123a3f13f6,NDRG1,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ENO1;ETS1;ETS2;FOS;FOSB;FOSL2;HES1;ID2;IRF7;JUN;JUNB;KLF6;KLF9;MAFF;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;RARA;SMAD3;SMAD7;STAT3;ZNF331,32,exp03-coregnet,0.55343,0.68044,0.54503,10.54383,36.41127,7.48456,0.56542,1.97855,0.46667,0.0625,0.1,0.04
23,7d01f61cc1ba,NFKBIA,ARID5A;ATF3;BHLHE40;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSB;FOSL2;HES1;HIF1A;ID2;ID4;JUN;JUNB;KLF6;KLF9;MAFF;NFIL3;NR4A1;NR4A2;NR4A3;STAT3;ZNF331,25,exp03-coregnet,0.54833,0.72278,0.535,11.32771,37.19716,6.81889,0.57993,1.96167,0.49316,0.2,0.14706,0.09259
24,cf1123d7297d,PDK4,FOSB;KDM5D;MAFF;MYC;NR4A3;ZBTB16,6,exp03-coregnet,0.46667,0.65556,0.5,2.37535,17.09569,1.83325,0.52242,1.74748,0.45289,0.0,0.0,0.0
25,d20e31643eb0,PDLIM7,ARID5A;ATF3;BCL3;BHLHE40;CREB3L2;DDIT3;EGR1;FOSB;HES1;HES4;JUN;JUNB;KDM5D;MAFF;MEOX1;MSC;NFKB2;NR1D1;NR4A1;RARA;SMAD7;SNAI1;TCF21;ZNF331,24,exp03-coregnet,0.48913,0.53502,0.47766,6.8074,20.06332,3.97234,0.54091,1.7968,0.46166,0.125,0.07895,0.05085
26,d02637d00abd,PER1,ARID5A;ATF3;BHLHE40;BHLHE41;EGR1;FOS;FOSB;FOSL2;JUNB;JUND;KLF6;KLF9;MAFF;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;PPARGC1A;ZNF331,20,exp03-coregnet,0.52807,0.70439,0.50965,9.45895,32.88081,5.26165,0.61083,2.03187,0.52835,0.4,0.30769,0.21053
27,3a30e890082a,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOSL2;JUNB;KDM5D;MAFF;MYC;NFIL3;NR4A1;NR4A2;NR4A3;ZNF331,18,exp03-coregnet,0.52941,0.73965,0.51307,11.61609,36.00015,6.17783,0.58773,1.9105,0.50643,0.05556,0.02703,0.01852
28,0a63f99123d0,SOD2,ARID5A;ARID5B;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;EGR1;ENO1;ETS2;FHL2;FOSB;FOSL2;HIF1A;HMGA1;ID2;JUNB;KDM5D;KLF10;KLF9;MAFF;MEF2A;MYC;NFIL3;NFKB2;NR1D1;NR4A3;PPARD;PPARGC1A;SMAD3;STAT3;XBP1;ZBTB16;ZNF331,34,exp03-coregnet,0.52288,0.61527,0.51901,8.23871,24.4181,6.07026,0.53926,1.87229,0.4405,0.20588,0.175,0.10448
29,3870d2886908,SPARC,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;FOXC1;HES1;HES4;JUN;JUNB;JUND;KDM5D;KLF4;MAFF;MEOX1;MSC;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;TBX20;TCF21;ZNF331,25,exp03-coregnet,0.49167,0.60222,0.47611,6.83435,23.59322,4.30089,0.55137,1.92275,0.46605,0.04,0.04348,0.02128
30,b3c05c2e1031,TAGLN,ARID5A;ATF3;BHLHE40;EGR1;FOSB;FOSL2;KDM5D;MAFF;NFIL3;NR4A1;NR4A2;NR4A3;PPARGC1A;SMAD7;TBX20;ZNF331,16,exp03-coregnet,0.47917,0.64861,0.46944,5.93607,21.64645,3.33013,0.54663,1.78784,0.47444,0.0625,0.02857,0.02
31,1273bfb35f59,TGFB1,ARID5A;ARID5B;ATF3;BCL3;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPD;CREB3L2;DDIT3;EGR1;ENO1;ETS2;FOS;FOSB;FOSL2;HES1;HIF1A;HMGA1;HSF4;JUNB;KDM5D;KLF6;MAFF;MAFK;MSC;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;PPARD;PRRX1;RARA;SMAD3;SMAD7;SNAI1;STAT3;XBP1;ZNF331,41,exp03-coregnet,0.51585,0.60427,0.51179,8.59824,25.61633,5.78238,0.55353,1.86876,0.46527,0.31707,0.16883,0.12381
32,3d682acaa88b,TGFBR2,ARID5B;BCL3;BCL6;CEBPD;ENO1;ETS2;FHL2;FOSB;FOSL2;FOXC1;FOXO1;HBP1;HIF1A;ID2;ID4;KDM5D;KLF10;KLF15;KLF6;KLF9;MEF2A;MYC;NFE2L1;NFIL3;NR4A3;PPARGC1A;PRRX1;SMAD3;SNAI2;SOX9;STAT3;TBX20;TBX5;XBP1;ZBTB16,35,exp03-coregnet,0.48908,0.59608,0.49496,5.78219,21.42223,5.52591,0.52163,1.82944,0.42592,0.05714,0.05128,0.02778
33,31127679363b,TIMP1,ARID5A;BCL3;BHLHE40;CEBPD;ENO1;ETS2;FOSB;FOSL2;FOXC1;HIF1A;ID2;ID4;KDM5D;MAFF;MSC;MYC;NFIL3;NR1D1;NR4A3;SMAD7;SNAI1;STAT3;ZNF331,23,exp03-coregnet,0.49209,0.58169,0.48485,7.1922,17.22481,5.51349,0.52088,1.74872,0.43566,0.17391,0.10526,0.07018
34,63458e82b1f6,TIMP3,ATF3;EGR1;FHL2;FOS;FOSB;FOSL2;FOXC1;ID1;ID4;JUNB;KLF10;KLF15;KLF4;KLF9;MYC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SNAI2;SOX9;TBX20;ZBTB16;ZNF331,25,exp03-coregnet,0.49611,0.64333,0.49611,7.42838,29.14049,6.10386,0.55021,1.9569,0.45418,0.08,0.09091,0.04444
35,c43cd8bd0ced,VEGFA,ARID5A;ATF3;BHLHE40;CEBPD;DDIT3;EGR1;ENO1;ETS2;FOSB;FOSL2;HES1;HES4;JUNB;KDM5D;MAFF;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;PPARGC1A;SMAD7;ZNF331,23,exp03-coregnet,0.5,0.58959,0.48485,7.25755,19.69879,4.04359,0.56178,1.82353,0.48407,0.26087,0.04225,0.03774
36,9ac3f9d194d5,VIM,ARID5A;ATF3;BHLHE40;CEBPD;CREB3L2;DDIT3;EGR1;ETS2;FOS;FOSB;FOSL2;HES1;HES4;ID2;IRF7;JUN;JUNB;JUND;KDM5D;KLF6;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;RARA;SMAD3;SMAD7;TCF21;ZNF331,32,exp03-coregnet,0.51546,0.62198,0.49563,8.05733,25.75483,5.12109,0.5649,1.91339,0.48224,0.03125,0.02,0.01235
