cluster_uid,target,sources,n_sources,method
37123a3f13f6,NDRG1,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ENO1;ETS1;ETS2;FOS;FOSB;FOSL2;HES1;ID2;IRF7;JUN;JUNB;KLF6;KLF9;MAFF;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;RARA;SMAD3;SMAD7;STAT3;ZNF331,32,exp03-coregnet
7d01f61cc1ba,NFKBIA,ARID5A;ATF3;BHLHE40;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSB;FOSL2;HES1;HIF1A;ID2;ID4;JUN;JUNB;KLF6;KLF9;MAFF;NFIL3;NR4A1;NR4A2;NR4A3;STAT3;ZNF331,25,exp03-coregnet
cf1123d7297d,PDK4,FOSB;KDM5D;MAFF;MYC;NR4A3;ZBTB16,6,exp03-coregnet
d20e31643eb0,PDLIM7,ARID5A;ATF3;BCL3;BHLHE40;CREB3L2;DDIT3;EGR1;FOSB;HES1;HES4;JUN;JUNB;KDM5D;MAFF;MEOX1;MSC;NFKB2;NR1D1;NR4A1;RARA;SMAD7;SNAI1;TCF21;ZNF331,24,exp03-coregnet
d02637d00abd,PER1,ARID5A;ATF3;BHLHE40;BHLHE41;EGR1;FOS;FOSB;FOSL2;JUNB;JUND;KLF6;KLF9;MAFF;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;PPARGC1A;ZNF331,20,exp03-coregnet
3a30e890082a,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOSL2;JUNB;KDM5D;MAFF;MYC;NFIL3;NR4A1;NR4A2;NR4A3;ZNF331,18,exp03-coregnet
0a63f99123d0,SOD2,ARID5A;ARID5B;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;EGR1;ENO1;ETS2;FHL2;FOSB;FOSL2;HIF1A;HMGA1;ID2;JUNB;KDM5D;KLF10;KLF9;MAFF;MEF2A;MYC;NFIL3;NFKB2;NR1D1;NR4A3;PPARD;PPARGC1A;SMAD3;STAT3;XBP1;ZBTB16;ZNF331,34,exp03-coregnet
3870d2886908,SPARC,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;FOXC1;HES1;HES4;JUN;JUNB;JUND;KDM5D;KLF4;MAFF;MEOX1;MSC;NR1D1;NR4A1;NR4A2;NR4A3;SMAD7;TBX20;TCF21;ZNF331,25,exp03-coregnet
b3c05c2e1031,TAGLN,ARID5A;ATF3;BHLHE40;EGR1;FOSB;FOSL2;KDM5D;MAFF;NFIL3;NR4A1;NR4A2;NR4A3;PPARGC1A;SMAD7;TBX20;ZNF331,16,exp03-coregnet
1273bfb35f59,TGFB1,ARID5A;ARID5B;ATF3;BCL3;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPD;CREB3L2;DDIT3;EGR1;ENO1;ETS2;FOS;FOSB;FOSL2;HES1;HIF1A;HMGA1;HSF4;JUNB;KDM5D;KLF6;MAFF;MAFK;MSC;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;PPARD;PRRX1;RARA;SMAD3;SMAD7;SNAI1;STAT3;XBP1;ZNF331,41,exp03-coregnet
3d682acaa88b,TGFBR2,ARID5B;BCL3;BCL6;CEBPD;ENO1;ETS2;FHL2;FOSB;FOSL2;FOXC1;FOXO1;HBP1;HIF1A;ID2;ID4;KDM5D;KLF10;KLF15;KLF6;KLF9;MEF2A;MYC;NFE2L1;NFIL3;NR4A3;PPARGC1A;PRRX1;SMAD3;SNAI2;SOX9;STAT3;TBX20;TBX5;XBP1;ZBTB16,35,exp03-coregnet
31127679363b,TIMP1,ARID5A;BCL3;BHLHE40;CEBPD;ENO1;ETS2;FOSB;FOSL2;FOXC1;HIF1A;ID2;ID4;KDM5D;MAFF;MSC;MYC;NFIL3;NR1D1;NR4A3;SMAD7;SNAI1;STAT3;ZNF331,23,exp03-coregnet
63458e82b1f6,TIMP3,ATF3;EGR1;FHL2;FOS;FOSB;FOSL2;FOXC1;ID1;ID4;JUNB;KLF10;KLF15;KLF4;KLF9;MYC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;SNAI2;SOX9;TBX20;ZBTB16;ZNF331,25,exp03-coregnet
c43cd8bd0ced,VEGFA,ARID5A;ATF3;BHLHE40;CEBPD;DDIT3;EGR1;ENO1;ETS2;FOSB;FOSL2;HES1;HES4;JUNB;KDM5D;MAFF;NFIL3;NFKB2;NR1D1;NR4A1;NR4A3;PPARGC1A;SMAD7;ZNF331,23,exp03-coregnet
9ac3f9d194d5,VIM,ARID5A;ATF3;BHLHE40;CEBPD;CREB3L2;DDIT3;EGR1;ETS2;FOS;FOSB;FOSL2;HES1;HES4;ID2;IRF7;JUN;JUNB;JUND;KDM5D;KLF6;MAFF;MSC;NFIL3;NR1D1;NR4A1;NR4A2;NR4A3;RARA;SMAD3;SMAD7;TCF21;ZNF331,32,exp03-coregnet
