cluster_uid,target,sources,n_sources,silhouette_score,note
b802b4fa5523,ITGB1,UBP1;ZEB1;SREBF2;SMARCA1;SND1;SMARCC1;LRRFIP1;NFYB;PBX1;MZF1;SMARCA5;NFIC;VEZF1;DDIT3;CTNNB1;YBX1;PLAGL1;EP300;HAND2;IRF3;SKI;NFE2L2;TEAD1;ENO1;STAT5B;USF2;TFE3;YY1;SRF,29,0.3316,exp05_bladder-coregtor-r1
fe2813d89e07,MAT2A,RBFOX2;NR1H2,2,0.2681,exp05_bladder-coregtor-r1
d6e1381bf50a,MCL1,HIF1A;FOSL2;ETS2;FOS;XBP1;EGR1;MYC;RXRB;SNAI2;KLF6;ELF1;MAFF;MBD2;NFE2L2;DDIT3;MEIS2;GATA5;FHL2;SRF;MXD4;EHF;NFIL3;CEBPB;CTNNB1;FOSB;ZSCAN18;HMGA1;ZNF32;HSF4;SMAD3;THRA,31,0.2229,exp05_bladder-coregtor-r1
3c261e6ac790,MT1A,ZGPAT;STAT2;MLX;USF1;XBP1;PML;PBX1;MYC;ZBTB4;IRF9;BCL3;TEAD1;IRF3;THRA;E2F4;ZNF362;MEF2D;RBPJ;STAT1;ARID5B;STAT3;SREBF2;NCOR2;BCL6;RBFOX2;FOXF1;RFXANK;TEF,28,0.3841,exp05_bladder-coregtor-r1
65aa90aee9e2,NDRG1,MAFF;BHLHE40;NFE2L2;DDIT3;NR1D1;MBD1;ELF3;CXXC1;HES4;SMAD3;ARNT;MAX;RBPJ;ZNF692;STAT6;MAFK;SMAD7;RELA;SREBF1;HES1;NFIL3;ETS2,22,0.373,exp05_bladder-coregtor-r1
160449d68b5d,NFKBIA,TWIST2;ETS1;HDAC3;HIF1A;ZSCAN18;HMGA1;SMAD7;CEBPB;ELF1;FOSL2;SNAI2;ETS2;NFKB1;KLF4;MXD4;HOXA11;MYC;LDB1;KLF6;ZNF32;FOXO3;GATA5;CREB3;XBP1;YBX1;UBTF;TBX3;HES4,28,0.3038,exp05_bladder-coregtor-r1
5c2b22d07922,OGA,ARNT;MEIS1;LDB1;HMGB1;SF1;MAX;HMGB2;HIF3A;HSF4;MAZ;NFATC4;KMT2B;RXRB;ZBTB16;ZBTB7B,15,0.3598,exp05_bladder-coregtor-r1
4fbf84151ba5,PDK4,KLF9;ZBTB16;KLF15;HBP1;RBFOX2;MEIS1;HIF3A;NR2F6;BCL3;FOXO3;VEZF1;CTBP1;MEIS2;FOS;RARA;PBX1;HMGB2;EPAS1;BCL6,19,0.3615,exp05_bladder-coregtor-r1
bd452dc5b001,PDLIM7,EHF;AHR;KLF5;SRF;ETS1;ATF4;FOXQ1;GATA3;HIF1A;ZSCAN18;SMAD3;ELF1;SP1;HMGA1;IRF6;TBX3;HDAC1;MEIS1;MLXIP;ID1;MEIS2;ID2;HSF4;MBD2;GATA2;ELF3;DRAP1,27,0.3745,exp05_bladder-coregtor-r1
2cd048133716,PER1,SF1;MEIS1;ZNF362;KLF9;ZBTB16;ERF;KLF15;HIF3A;PHF1;CEBPD;HDAC1;NONO;HSF1;PIR;MAFK;MEF2D;SREBF1;KMT2B;HMGB2;FOXO3;JUN,21,0.4257,exp05_bladder-coregtor-r1
d3132a08ee9d,RBL2,SP1;IRF6;ELF1;EHF;MBD2;KLF5;KLF3;ELF3;IRF2;ID1;FOXQ1;NONO;TBX3;GATA3;AHR;HMGA1;RXRA;HIF1A;EP300;GATA2;CREBL2;HDAC1,22,0.5174,exp05_bladder-coregtor-r1
b412b9cfdd35,RHOA,ZEB1;TFE3;TEAD2;ID1;SND1;ENO1;NFYB;ELF3;YBX1;SKI;NR2F2;EHF;CXXC1;ABL1;STAT5B;IRF6;GATA3;FOXQ1;KLF5;VEZF1;LRRFIP1;ARID5B;NFE2L1;NFIC;STAT3;STAT5A;GATA2;TEAD1,28,0.2967,exp05_bladder-coregtor-r1
8525c990842c,SOCS3,OSR1;CEBPB;NFIL3;ETS2;MYC;TEF;BCL3;ARID5B;STAT3;XBP1;NR1D1;FOSL2;CEBPD,13,0.4603,exp05_bladder-coregtor-r1
fe4430300c3a,SOD2,STAT5A;STAT3;ENO1;TEAD2;YBX1;BCL3;BCL6;OSR1;MLXIP;PPARD;CIC;RARG;E2F4;GTF3A;ARID5B;SSRP1;HOXA11,17,0.3972,exp05_bladder-coregtor-r1
a7fd82627f1e,SPARC,UBP1;FOXO4;SMARCC1;CREB3L1;KMT2B;VEZF1;TBX2;TRIM28;EP300;TEAD1;NR2F2;LRRFIP1;NONO;SSRP1;BCL6;APEX1;ZBTB7B;YY1;HBP1;RELA;SMARCA5,21,0.2659,exp05_bladder-coregtor-r1
ada8a12c127a,SQSTM1,NR1H2;FOXO4;MLXIP;TRIM28;RELA;MAZ;ZNF219;NFE2L1;MAFG;STAT5B;SMARCC1;ZBTB4;OSR1;TEAD2;GATA5;GTF3A;NFYB,17,0.3,exp05_bladder-coregtor-r1
89bf037afb90,SUMO1,MBD2;ZNF692,2,0.4705,exp05_bladder-coregtor-r1
5568d8647521,TAGLN,MLXIP;ATF4;ETS1;AHR;KLF5;NR1H2;IRF3;SRF;FOXQ1;SMAD3;ID2;GATA3;YBX1;EHF;ABL1;IRF6;CREB3;RARG;SP1;GATA2;HES1;ETS2;MEIS2;GATA5;HDAC1;ID1;GATA6;ELF3;DRAP1;MEF2D,30,0.4264,exp05_bladder-coregtor-r1
3ed982287828,TGFB1,IRF2;HMGA1;SP1;ZBTB7B;USF2;HDAC1;BHLHE41;ATF6B;MBD1;ELF1;NONO;AHR;STAT6;MBD2;KLF5;ELF3;TBX2;HIF3A;GATA3;FOXQ1;RARG;E2F4;ID1;FHL2;SMAD3;EHF;HES4;IRF6;JUNB;SSRP1;KLF3;SMAD7,32,0.2206,exp05_bladder-coregtor-r1
85f6c18b7482,TGFBR2,MBD1;HAND2,2,0.3394,exp05_bladder-coregtor-r1
e479c85f6973,TIMP1,ENO1;STAT5A;BCL6;STAT3;STAT5B;TEAD2;E2F4;BCL3;SSRP1;YBX1;HOXA11;MLXIP;HES4;BHLHE41;MLX;CIC;RARA,17,0.3637,exp05_bladder-coregtor-r1
0834752a7ca5,TIMP3,SMARCC1;ESRRA;TRIM28;MAZ;ZNF384;KLF4;HDAC1;KLF9;HTATIP2;KMT2B;MBD1;MAFK;ERF;RXRA;YY1;PIR;UBP1;JUND;STAT6;HDAC3,20,0.2765,exp05_bladder-coregtor-r1
43875c0b4f87,TKT,FOXO4;TRIM28;MAFG;MAZ;ZBTB4;DRAP1;NR1H2;NFE2L1;ZNF32;ZNF219;GATA5;YBX1;UBP1;THAP11;CREB3;USF2;ETS1,17,0.3612,exp05_bladder-coregtor-r1
a177ee9c948c,TNFSF10,SP1;HMGA1;IRF2;ELF3;HDAC1;SRF;STAT1;STAT2;NR2F6;IRF9;IRF6;FOXQ1;ID1;EHF;STAT5B;KLF5;GATA6;SMAD3;HSF4;XBP1;AHR;HES1;MBD2,23,0.3042,exp05_bladder-coregtor-r1
a366d67d71bc,TXN,GTF3A;TFE3;ENO1;BCL6;STAT5A;STAT3;E2F4;TEAD2;NR1H2;SMARCC1;SND1;CREB3;RELA;CIC;NFYB;ARID5B;YBX1;DRAP1;SSRP1,19,0.3452,exp05_bladder-coregtor-r1
891561a87d51,VEGFA,BHLHE40;NR1D1;DDIT3;NFE2L2;MAFF;MBD1;HES4;ELF3;CXXC1;RBPJ;MAX;ZNF692;STAT6;SREBF1;ETS2;RELA;ARNT;NR4A1;MXI1;SMAD3;HES1,21,0.5733,exp05_bladder-coregtor-r1
4d094aa6617d,VIM,CEBPD;ESRRA;KLF4;ZBTB7B;TWIST2;SREBF2;SMARCC1;ARNT;NR2F2;YY1;GTF2F1;PIR;TRIM28;SMARCA5;NFATC4;ERF;RXRA;MAZ;SSRP1;EP300;APEX1;KMT2B;ZNF384;HDAC1,24,0.2488,exp05_bladder-coregtor-r1
