cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
7c72357442b4,OGA,YWHAE;PRNP;CSNK2B;RAB7A;EWSR1;MAPK1,6,33.3333,0.188,exp02_amygdala-coregtor-n_five,0.37855,1.36978,0.29293,0.56667,0.56667,0.6,19.95691,16.1602,27.23079,0.0,0.0,0.0,0.0
29fd7bfb3795,RHOA,HNRNPA1;UBXN1;RAB7A;SRP9;YBX1;CSNK2B,6,31.5789,0.1669,exp02_amygdala-coregtor-n_five,0.36675,1.3139,0.2998,0.5,0.53333,0.53333,35.66206,30.08855,45.10537,0.0,0.0,0.0,0.0
2a446cd353fb,SPARC,EZR;HSPA5;SOX2;HADHB;EWSR1,5,71.4286,0.397,exp02_amygdala-coregtor-n_five,0.29353,0.89463,0.25839,0.7,0.6,0.75,31.62127,18.47939,47.71723,0.0,0.0,0.0,0.0
7970a0a6ee3e,SPARC,USF2;YBX1,2,28.5714,0.2056,exp02_amygdala-coregtor-n_five,0.38384,0.99332,0.37202,0.5,0.5,0.5,16.13119,4.58225,4.63569,0.0,0.0,0.0,0.0
063a4f52f12a,STMN1,YWHAZ;TCEAL2;ZMAT2;RAN;SOD1,5,55.5556,0.3353,exp02_amygdala-coregtor-n_five,0.31509,0.93883,0.29661,0.6,0.48333,0.55,15.83461,9.35092,14.74044,0.0,0.0,0.0,0.0
feeaad289925,SUMO1,YWHAZ;TCEAL2;SOD1;YWHAE;RAN,5,55.5556,0.7588,exp02_amygdala-coregtor-n_five,0.37967,1.36266,0.32369,0.65,0.6,0.65,24.77043,37.16131,23.18068,0.0,0.0,0.0,0.0
7f45aee5daf2,TIMP3,HADHB;EZR;ENO1;SOX2;TSC22D4,5,33.3333,0.4077,exp02_amygdala-coregtor-n_five,0.28988,0.94151,0.26137,0.6,0.65,0.7,14.42212,10.22392,21.03426,0.0,0.0,0.0,0.0
b244eb2ab925,TKT,PKM;CSNK2B;THRA;RAB7A;RAN;ENO1;OLIG1,7,33.3333,0.2716,exp02_amygdala-coregtor-n_five,0.40355,1.35192,0.33106,0.56349,0.50794,0.55556,22.26223,20.66941,28.33261,0.14285714285714285,0.03571428571428571,0.05714285714285715,0.029411764705882353
0f471fba55ac,TXN,SOD1;TCEAL2;YWHAE;STUB1;DRAP1,5,29.4118,0.3538,exp02_amygdala-coregtor-n_five,0.33464,1.05621,0.30322,0.65,0.55,0.65,9.74603,12.59742,10.07407,0.0,0.0,0.0,0.0
8594e06f113f,VIM,TSC22D4;CSNK2B;ENO1;HADHB;EZR;SOX2;HNRNPA1,7,30.4348,0.4368,exp02_amygdala-coregtor-n_five,0.32483,1.04115,0.28318,0.59524,0.59524,0.64286,23.04647,11.11031,29.8341,0.14285714285714285,0.02,0.03508771929824562,0.017857142857142856
