cluster_uid,target,sources,n_sources,silhouette_score,note
bf1af3e6428d,ABCC5,ZNF518A;BRCA1;ZNF594;ZNF780B;ZNF846;ZNF341;ZNF391;ZSCAN30;DMAP1,9,0.2951,exp04_lung_reads-coregtor-r1
76a04b6eda8d,ABCC6,ESRP2;IRX5;IRX2;FOXA2;GRHL2;ESRP1;CAT;IRX3;NKX2-1,9,0.4864,exp04_lung_reads-coregtor-r1
28ec7dfa0269,ABCC8,TCF15;ZBTB16;RARG;SOX4;SMARCA1;SMAP2;ARG1;CXXC5;KLF15;ZHX3,10,0.248,exp04_lung_reads-coregtor-r1
e6014f35883c,ABCC9,SOX5;ZNF704;PSMA6;FOXN3;ENO1,5,0.2532,exp04_lung_reads-coregtor-r1
2e2838ba34da,ABCD1,ZBTB45;ZNF784;ATF6B;PTCD1;EXO5;CPTP;FAAP24;ZNF668;LYL1;ZNF646;HDAC3;NMRAL1,12,0.414,exp04_lung_reads-coregtor-r1
aab362bde447,ABCD3,FOXA2;ESRP2;ESRP1;EHF;ZBTB42,5,0.5087,exp04_lung_reads-coregtor-r1
56f81f127711,ABCD4,ZNF506;ZNF227;ZNF875;TBX19;IRF3;HOXB3;ZNF76;HINFP;MAX;ZNF250;ZKSCAN1,11,0.3391,exp04_lung_reads-coregtor-r1
e51baf93facf,ABCE1,ABCF2;PUM3;NCBP2;RAN,4,0.0,exp04_lung_reads-coregtor-r1
346bcd9aa4ca,ABCF1,ABCF2;ILF2;PUM3,3,0.5599,exp04_lung_reads-coregtor-r1
50d86c8ded03,ABCF3,ZNF282;FIZ1;ZBTB45;ZNF696;ZNF212;ZNF384;PTCD1;ZNF502;ZSCAN32;ZNF786;ZNF408;ZNF2;EXO5;ZNF777;ZNF202,15,0.0,exp04_lung_reads-coregtor-r1
25e04642bedf,ABCG1,POLD2;TFCP2;GTF2A2;KLF7;EXOSC3;ZFP64;TP53;GPD1;POU2F1;ZBTB12;MRPL1;ZKSCAN8;ELF4;ZNF576;SRBD1;ZNF462;ZNF239;ASH2L,18,0.1915,exp04_lung_reads-coregtor-r1
a8e4d12ce3bd,ABHD10,ZNF691;ZBTB3;ZNF816;ZNF701;ZKSCAN4;ZNF561;ZFP64;MTERF1;JRKL;ZNF280D;ZSCAN26;ZNF616;ZFP82;ZNF74;ZNF490;ZKSCAN3;TFCP2;SMUG1;ZNF684;ZNF594;BCL3;ZNF627;TFAP4,23,0.2577,exp04_lung_reads-coregtor-r1
ba0ad977270c,ABHD11,GRHL2;PRDX5;ZNF837;IRX3;CYB5R1;HMGB3;EHF;FOXA1;IRX5;MESP1;ZBTB42,11,0.4112,exp04_lung_reads-coregtor-r1
6fb1749d67d3,ABHD12,PTPMT1;PCK2;CEBPA;AKR1A1;ZDHHC24;CNOT4;IVD,7,0.4298,exp04_lung_reads-coregtor-r1
45f663f2cda8,ABHD13,RAB18;ZFP91;PRKAA1;DHX36;ZNF770;UBE2K;DR1;RAB14;MYNN;RB1;ZNF148;RNF138,12,0.2833,exp04_lung_reads-coregtor-r1
e4784bbe3261,ABHD14A,ZNF575;CD59;RXRG;ZNF414;NFIX;DEAF1;BAD;SPAG7;UBTF;HIRIP3;BCL6;ZNF524;CPTP;ZBTB12;USF2;ZNF860;ETS2;ATF6B;ZNF688;STAT3;ECSIT,21,0.2962,exp04_lung_reads-coregtor-r1
