cluster_uid,target,sources,n_sources,n_percent,method
5af8383d3c6b,ACTA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,100.0,exp03-coregnet
8a836d081f23,APOE,ATF3;EGR1;FOSB;KDM5D;NR4A1,5,100.0,exp03-coregnet
4b7e9d3c660d,CDKN1A,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;FOS;FOSB;FOSL2;FOXE1;JUNB;KDM5D;KLF6;MAFF;NFIL3;NR4A1,16,100.0,exp03-coregnet
71259eef1690,CLU,ATF3;EGR1;FOSB;KDM5D;NR4A1;NR4A2,6,100.0,exp03-coregnet
f94bf76fb21e,CRYAB,ATF3;BHLHE40;DDIT3;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;KLF6;MAFF;NR4A1;NR4A2,13,100.0,exp03-coregnet
dece4830c170,DUSP1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;JUNB;JUND;KDM5D;KLF6;NR4A1;NR4A2,12,100.0,exp03-coregnet
0a311684db6a,FN1,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,100.0,exp03-coregnet
a97e0b87a9b2,GADD45B,ATF3;BCL6;BHLHE40;CEBPD;EGR1;FOS;FOSB;JUN;JUNB;KDM5D;MAFF;NR1D1;NR4A1,13,100.0,exp03-coregnet
ed5284c685b2,HBA2,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,100.0,exp03-coregnet
46ecc02833f0,HBB,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1;NR4A2,10,100.0,exp03-coregnet
81efe4856a1c,HLA-DRB1,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;TFCP2L1,9,100.0,exp03-coregnet
9442a1aea4f2,HSP90AA1,ATF3;BCL6;BHLHE40;DDIT3;EGR1;FOS;FOSB;HEYL;JUN;KDM5D;MAFF;NFIL3;NR4A1;NR4A2,14,100.0,exp03-coregnet
7f126a9282d9,HSPA1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,100.0,exp03-coregnet
3647fed16eac,MT1A,ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;NR4A1;NR4A2,9,100.0,exp03-coregnet
7b5419d1b0d4,PDK4,ATF3;BHLHE40;EGR1;FOSB;KDM5D;NR4A1;NR4A2,7,100.0,exp03-coregnet
c57b3541f4f9,PER1,ATF3;BHLHE40;CEBPD;DBP;EGR1;FOS;FOSB;JUND;KDM5D;KLF6;MAFF;NR1D1;NR4A1;NR4A2;TEF;TFCP2L1;ZBTB16,17,100.0,exp03-coregnet
e2789eb77b34,SOCS3,ARID5A;ATF3;BCL3;BHLHE40;EGR1;FOS;FOSB;JUNB;KDM5D;NR4A1,10,100.0,exp03-coregnet
5fd759c6a777,SOD2,BCL3;BCL6;CEBPD;EGR1;FOS;FOSB;KDM5D;NR1D1;NR4A1;NR4A2,10,100.0,exp03-coregnet
d6dfe4cb3f27,TAGLN,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,12,100.0,exp03-coregnet
79079309f8ae,TIMP1,ATF3;BCL3;BHLHE40;FOSB;KDM5D;NR4A1;NR4A2,7,100.0,exp03-coregnet
358e35266a70,TIMP3,EGR1;FOSB;HEYL;KDM5D;KLF4;NR4A1;NR4A2;TFCP2L1;ZBTB16,9,100.0,exp03-coregnet
a6ba7cb32b9b,TKT,ATF3;BHLHE40;EGR1;FOS;FOSB;KDM5D;NR4A1;NR4A2,8,100.0,exp03-coregnet
b986c83f9d02,TNFSF10,ATF3;EGR1;FOS;FOSB;JUN;KDM5D;NR1D1;NR4A1,8,100.0,exp03-coregnet
8953b68969ba,VIM,ARID5A;ATF3;BHLHE40;EGR1;FOS;FOSB;HSF4;JUN;KDM5D;MAFF;NR1D1;NR4A1;NR4A2,13,100.0,exp03-coregnet
