,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
19,6c9d6ae8841d,HSP90AA1,ZNF24;MAX;STAT6;HSF1;TEAD4;MAZ;ZNF32;RXRA;CTBP1;DDIT3;THAP11;JUN;FOS;RELA;PPARD;ATF4,16,0.2445,exp03_thyroid-coregtor-r1,0.57361,0.56597,0.56528,11.3868,23.15376,9.5368,0.56253,1.89918,0.4776,0.1875,0.15,0.09091
20,8584c8ad7113,HSPA1A,MAZ;ZNF32;THAP11;KDM2A;USF2;FOS;STAT6;HSF1;NR2F6;MAX;JUN;ZNF24;CTBP1;NFYC;VEZF1;MAFB;RELA;ZNF219;RFX5,19,0.3829,exp03_thyroid-coregtor-r1,0.54094,0.51852,0.54581,11.40878,11.64168,7.44377,0.59359,1.78959,0.53373,0.15789,0.12,0.07317
21,8adf7de47004,ID3,ID1;SNAI1,2,0.0,exp03_thyroid-coregtor-r1,0.5,1.0,0.5,0.23069,50.21227,3.40688,0.50129,1.75214,0.38064,0.5,0.04762,0.04545
22,abbe0a33bb0d,MAT2A,TFCP2L1;HMGA1;VEZF1;SFPQ;ZBTB7B;PBX2;ZBTB17;ZBTB16;PHF1;SMAD3;FOXJ3;MLXIP;ZNF274;CREBZF;PATZ1;MBD2;NFYC;PBX4;MAFG;SF1;RARA;NKX2-1;MEF2D,23,0.0,exp03_thyroid-coregtor-r1,0.50198,0.4664,0.50527,9.35837,4.89582,6.5951,0.56416,1.68086,0.50366,0.04348,0.04762,0.02326
23,1ff4f7783639,MCL1,FOSL2;MAFF;SRF;KLF6;EGR1,5,0.3291,exp03_thyroid-coregtor-r1,0.53333,0.7,0.51667,6.43883,32.40245,3.24509,0.64327,2.0068,0.59216,0.2,0.02703,0.02439
24,30562246e5be,MT1A,TEAD4;BCL6;BCL3;SOX18;CEBPD;NFKB1;FOSL2;STAT3;XBP1,9,0.4326,exp03_thyroid-coregtor-r1,0.53704,0.77778,0.53241,7.62886,35.7392,5.84233,0.53157,1.88719,0.43114,0.11111,0.04762,0.03448
25,05fe8b580a3d,NDRG1,NFIL3;MAFF;FOSL2,3,0.2599,exp03_thyroid-coregtor-r1,0.66667,1.0,0.66667,36.10147,25.0789,9.65735,0.77885,2.1603,0.74379,0.0,0.0,0.0
26,c62922cd0bfc,NFKBIA,NFKB1;NFKB2;ETS2;CEBPD;JUNB;FOSL2;ARID5A;NFYC,8,0.2319,exp03_thyroid-coregtor-r1,0.56548,0.70833,0.54762,13.82083,33.65996,9.37696,0.68559,2.11249,0.61756,0.25,0.05882,0.05
27,50a15aa5ba8c,OGA,SP1;MAX;STAT5B;MBD1;STAT2;IRF3;FOXJ3;ZNF160;HMGB2;CREBZF;SP100;BCLAF1;ZNF274;LDB1;TBL1XR1,15,0.0,exp03_thyroid-coregtor-r1,0.48571,0.47937,0.50159,6.55654,8.16007,5.29016,0.56665,1.72621,0.48582,0.0,0.0,0.0
28,1e47188992cb,PCNA,SMARCA5;THAP11;FOXE1;ERF;HDAC1;MLX;MAFK;UBTF;MAFB;TBX3;ARID5A;HTATIP2;NFKB1,13,0.3135,exp03_thyroid-coregtor-r1,0.5235,0.49786,0.5406,11.90557,11.13997,7.44337,0.49368,1.53715,0.44015,0.07692,0.02128,0.01695
29,f278308ec691,PDK4,SREBF1;FOXO3;ZNF76;DBP;NR2F6;THAP11;CEBPD;ZBTB16;SCX;KLF9;HDAC1;DEAF1,12,0.0,exp03_thyroid-coregtor-r1,0.48232,0.52525,0.49242,5.05574,9.76796,3.49867,0.59078,1.89202,0.52301,0.08333,0.04348,0.02941
