cluster_uid,target,sources,n_sources,silhouette_score,note
a17b38ac1fec,PER1,MAFF;ERF;KLF6;NR4A1;SRF;NR1D2;BHLHE41;KLF9,8,0.3379,exp03_thyroid-coregtor-r1
77543fd1f2f3,RBL2,BCLAF1;SP1;STAT5B;CREBZF;FOXO3;MXI1,6,0.0,exp03_thyroid-coregtor-r1
fb74e624363d,RHOA,YBX1;SND1;NFE2L1;NFKB1;HTATIP2;CREB3;TFDP1;SMARCA5,8,0.0,exp03_thyroid-coregtor-r1
00adf82523a6,SOCS3,BCL3;ETS2;CEBPD;FOSL2;NFIL3,5,0.0,exp03_thyroid-coregtor-r1
c29b7f8358eb,SOD2,NFKB1;NFKB2;BCL3;STAT3;HIF1A;CEBPD;BCL6;PML;SOX18;TFDP1;LMO2;ETS2,12,0.0,exp03_thyroid-coregtor-r1
84be53cc0dd5,SPARC,ELK3;LRRFIP1;NR2F2;SKI;CTNNB1;PRRX1;STAT5B;UBP1;ETS1,9,0.0,exp03_thyroid-coregtor-r1
87b8a57b31f4,SQSTM1,MAFG;TFE3,2,0.0,exp03_thyroid-coregtor-r1
aa2d09dd065f,SUMO1,CREBL2;TFDP1,2,0.0,exp03_thyroid-coregtor-r1
c38040308a7d,TAGLN,FOSL2;MEF2D;JUNB;KLF9;NFIX;NFIL3;KLF4;ARID5A;HEYL;MAFK;NR4A2;KLF2;DBP;NR2F2;UBP1;LRRFIP1;MAF,17,0.4477,exp03_thyroid-coregtor-r1
ea835274a7f0,TGFBR2,ELK3;SP1;NR2F2;ETS1;ETS2;PRRX1,6,0.0,exp03_thyroid-coregtor-r1
2a09870d8183,TIMP1,HIF1A;BCL3;STAT3;BCL6;ENO1;USF1;NFKB2;CEBPD;TBX3,9,0.0,exp03_thyroid-coregtor-r1
25b24d227e9b,TIMP3,EPAS1,1,0.0,exp03_thyroid-coregtor-r1
999820dc421c,TKT,HTATIP2,1,0.0,exp03_thyroid-coregtor-r1
2f0f110b4130,TNFRSF10B,BCL6;RELA;BCL3;NFKB2;HIF1A;FOSL2;ETS2;ERF;ZNF274;STAT3;ZNF160,11,0.3226,exp03_thyroid-coregtor-r1
819dbc8f9143,TNFSF10,TFDP1;ELK3;PRRX1;LMO2,4,0.3644,exp03_thyroid-coregtor-r1
839695507c18,TXN,ENO1,1,0.0,exp03_thyroid-coregtor-r1
9cc76da751a2,VEGFA,ZNF316;PAX8;PPARD;HDAC1;PBX2;SALL1;HES1;PATZ1;ZNF384,9,0.0,exp03_thyroid-coregtor-r1
501dc4d1e25d,VIM,HSF1;CREBL2;MXI1;HSF4;HMGB1,5,0.0,exp03_thyroid-coregtor-r1
