cluster_uid,target,sources,n_sources,method
bb3e72b0641f,CRYAB,ATF3;CEBPD;FEZF1;FOS;FOSL2;HES5;JUN;KDM5D;MAFF;MYRF;NKX6-2;OTP;SOX10;ZEB2,14,exp05-coregnet
36392800544e,CSF1R,ATF3;BCL6;BHLHE41;CEBPD;CREBL2;FEZF1;FOS;FOSL2;FOXJ1;JAZF1;KDM5D;MEIS3;MLXIPL;NFIL3;OTP;PEG3;RBFOX2;SIX3;SMARCA1;STAT1;STAT5B;XBP1,22,exp05-coregnet
e7337aabcc82,DUSP1,ATF3;CEBPD;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HES1;JUN;JUNB;KDM5D;MAFF;MYRF;NR4A1;OTP;PEG3,16,exp05-coregnet
54b772cee48e,FASN,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DBP;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ELK1;ENO1;ERF;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HMGA1;HSF1;HSF2;HSF4;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NONO;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF692;ZNF76;ZSCAN18,94,exp05-coregnet
7dc926fcb6fe,GADD45B,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FOS;FOSL2;HES5;JUN;JUNB;MAFF;NFIL3;NR4A1;OTP;XBP1,16,exp05-coregnet
4e0a69dc0e5e,GSTP1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,92,exp05-coregnet
60406feb1b2a,HBA2,CEBPD;FEZF1;FOXJ1;HES5;KDM5D;OTP;PEG3,7,exp05-coregnet
63dda98d9824,HBB,CEBPD;FEZF1;HES5;KDM5D;OTP;PEG3,6,exp05-coregnet
9a5437b05baf,HLA-DRB1,ATF3;BCL6;BHLHE41;CEBPB;CEBPD;CREBL2;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HMGA1;HSF2;JAZF1;JUN;JUNB;KDM5D;MAFF;MEIS3;MLXIPL;NFIL3;NR4A1;OTP;PEG3;RBFOX2;SIX3;SMARCA1;SND1;STAT1;STAT5B;XBP1,31,exp05-coregnet
7fe72a7fbd06,HLA-E,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DDIT3;EGR1;ERF;ETS2;FEZF1;FOS;FOSL2;HES5;HIF1A;HMGA1;ID1;IRF9;JUN;JUNB;KLF6;KLF9;LMO2;MAFF;NFIL3;NR4A1;OTP;PEG3;SND1;STAT3;XBP1,31,exp05-coregnet
