cluster_uid,target,sources,n_sources,method
526fcb4e344b,ACTA2,ATF3;EGR1;FOS;HES6;JUNB;NR4A1;NR4A3,7,exp03-coregnet
7591f4c8ea38,APP,ARID5A;ATF3;BCL3;BHLHE41;CEBPD;EGR1;ETS2;FOS;HMGB2;JUN;JUNB;JUND;KLF2;KLF4;KLF6;MAFF;MAFK;MEF2C;MLXIPL;MYC;MYF6;MYOG;NFIL3;NR4A1;NR4A3,25,exp03-coregnet
fe3905910def,BCL2L1,ARID5B;ATOH8;BCL6;CBFB;CEBPB;CEBPD;ENO1;ETS2;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;KLF9;MAFF;MEF2C;MYC;MZF1;NFIL3;NR4A3;SSRP1;STAT5A;XBP1;ZBTB16,25,exp03-coregnet
3e4f008c39fc,CDKN1A,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HES6;HTATIP2;KLF6;MAFF;MEF2C;MYC;NFIL3;NR4A3;SSRP1;XBP1,21,exp03-coregnet
63267deff416,CDKN1C,ARID5A;ARID5B;ATOH8;EGR1;FOS;FOSL2;FOXO1;HES6;KLF5;MLXIPL;NFIL3;NR4A3;SIX2,13,exp03-coregnet
f76ba10bb922,CLU,ARID5A;ATF3;EGR1;ETS2;FOS;HES6;JUNB;KLF2;MYC;NR4A1;NR4A3,11,exp03-coregnet
d8792dd1bd87,CRYAB,EGR1;FOS;HES6;HMGB2;MYOG;NR4A3,6,exp03-coregnet
c504ae002814,DUSP1,ARID5A;ARID5B;ATF3;ATOH8;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;FOXO3;HTATIP2;JUNB;KLF15;KLF2;KLF4;KLF6;MAFF;MYC;NFIL3;NR4A1;NR4A3;XBP1,24,exp03-coregnet
a53b9ae7c798,FASN,ARID5B;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;FOSL2;FOXO1;FOXO3;GTF2IRD1;HTATIP2;KLF6;MEF2C;MYC;NFIL3;NR4A3;RORA;SSRP1;XBP1,20,exp03-coregnet
91921c58d9ec,FN1,ARID5A;ATF3;EGR1;FOS;HES6;JUNB;MEF2C;MLXIPL;NR4A1;NR4A3;SIX2,11,exp03-coregnet
02ed9e8594f1,GADD45B,ARID5A;ARID5B;ATF3;ATOH8;BCL3;BHLHE40;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;JUNB;KLF6;MAFF;MYC;NFIL3;NR4A1;NR4A3;RARA;XBP1,21,exp03-coregnet
2677457a5ea7,HBB,EGR1;FOS;HES6;MAFF;NR4A3,5,exp03-coregnet
cefe0aa9d6d1,HLA-DRB1,ARID5A;ATF3;BCL3;BHLHE40;CEBPD;EGR1;ETS2;FOS;HES6;HMGB2;JUNB;KLF2;KLF6;MAFF;MLXIPL;MYC;MYF6;NR4A1;SIX2,19,exp03-coregnet
3f30e1632732,HMOX1,ARID5B;CEBPD;FOXO1;HTATIP2;MAFF;MYC;MYF6;NR4A3;XBP1,9,exp03-coregnet
749b37295c61,HSP90AA1,ARID5A;ATF3;BCL3;BCL6;CEBPD;DDIT3;EGR1;ETS2;FOS;FOXO1;HES6;HTATIP2;JUNB;KLF5;KLF6;MAFF;MAFG;MAFK;MYC;MYF6;MYOG;NR1D1;NR4A3;SIX2;ZNF692,25,exp03-coregnet
71b4031503e4,HSPA1A,ARID5A;ATF3;EGR1;FOS;FOXO1;HES6;MLXIPL;NR4A1;NR4A3,9,exp03-coregnet
836c9b3836bb,ID3,ARID5B;ATF3;ATOH8;BCL3;BCL6;CBFB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;HES6;HTATIP2;ID1;JUNB;KLF2;KLF4;MAFF;MYC;MYOG;NFIL3;NR1D1;NR4A3;SSRP1;XBP1;ZBTB7B,27,exp03-coregnet
3983623a9390,MAT2A,ARID5A;ATF3;ATOH8;BCL3;BHLHE40;CEBPB;CEBPD;EGR1;ETS2;FOS;FOSL2;FOXO1;HES6;JUNB;KLF10;KLF6;MAFF;MYC;MYOD1;NFIL3;NR4A1;NR4A3;PPARD;RARA;XBP1;ZBTB38,26,exp03-coregnet
