cluster_uid,target,sources,n_sources,n_percent,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
ea4dd117ac76,MCL1,ATF4;CD59;CFL2;CSNK2B;DRAP1;EGR1;ENO1;EZR;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;PDLIM5;PKM;PSMA6;RPS4X;SMPX;SNRNP70;SOD1;TPI1;UBXN1;UGP2;YBX1;YWHAE,30,100.0,exp02-coregnet,0.32398,1.15824,0.27417,0.55977,0.57739,0.55115,22.36981,21.02471,23.75591,0.06666666666666667,0.05405405405405406,0.05970149253731343,0.03076923076923077
90be777ca5fc,PDK4,CD59;CFL2;CYCS;EZR;FHL2;GOT1;HADHB;HSPA5;NFE2L1;P4HB;PDLIM5;SMPX;SOD1;UGP2;YWHAE,15,100.0,exp02-coregnet,0.27492,1.0011,0.24177,0.52857,0.53333,0.52778,10.36598,13.91934,15.01815,0.0,0.0,0.0,0.0
c6043ed85c7f,PRKACA,CFL2;DRAP1;EGR1;EZR;GOT1;HADHB;HSPA5;P4HB;PDLIM5;PKM;PSMA6;SMPX;TPI1;UGP2;YWHAE,15,100.0,exp02-coregnet,0.28622,1.04179,0.24646,0.50635,0.56984,0.51825,16.37292,16.81803,23.48467,0.0,0.0,0.0,0.0
8e8ce64aaa7c,RHOA,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL6;RPS4X;UGP2;YBX1;YWHAE,15,100.0,exp02-coregnet,0.35394,1.17656,0.30385,0.56667,0.63492,0.59524,47.39746,30.86769,55.128,0.0,0.0,0.0,0.0
314f7f09bf6a,SPARC,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PKM;PSMA6;RPL35;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,19,100.0,exp02-coregnet,0.3431,1.08782,0.31138,0.54873,0.63158,0.57602,47.26584,30.46044,55.20669,0.0,0.0,0.0,0.0
5d59b04d22ed,TAGLN,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;NKX2-5;P4HB;PKM;PSMA6;RPL6;RPS10;RPS4X;SMPX;TPI1;UGP2;YBX1;YWHAE,19,100.0,exp02-coregnet,0.33264,1.08064,0.29782,0.53704,0.61501,0.56043,39.75297,27.33745,46.86214,0.0,0.0,0.0,0.0
694f49654f98,TIMP1,CD59;CFL2;DRAP1;ENO1;EZR;HNRNPA1;HSPA5;P4HB;PDLIM5;PKM;RPL6;SMPX;UGP2;YWHAE,14,100.0,exp02-coregnet,0.31445,1.05158,0.2825,0.5348,0.58608,0.5641,28.31812,20.30733,36.43931,0.0,0.0,0.0,0.0
42f3daea48a8,TIMP3,CFL2;CYCS;ECSIT;EGR1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;NFE2L1;NKX2-5;PDLIM5;PKM;PRDX5;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;YWHAE,22,100.0,exp02-coregnet,0.28555,0.96569,0.25843,0.52273,0.55988,0.52922,10.14146,15.19871,13.93862,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.023255813953488372
2ed0baf38013,VEGFA,CFL2;CSNK2B;CYCS;DRAP1;ECSIT;ENO1;ESRRA;EZR;FHL2;GOT1;HADHB;HNRNPA1;HSF1;HSPA5;NFE2L1;NKX2-5;P4HB;PDLIM5;PKM;PSMA6;SMPX;SNRNP70;SOD1;SUCLG1;TPI1;UGP2;UQCRB;USF2;YBX1;YWHAE,30,100.0,exp02-coregnet,0.30505,1.03669,0.26946,0.52931,0.55709,0.54157,14.99396,16.26297,20.39404,0.03333333333333333,0.007042253521126761,0.011627906976744186,0.005847953216374269
8248b87b3abb,VIM,CEBPD;DRAP1;EGR1;ENO1;FHL2;FOS;GOT1;HADHB;HNRNPA1;HSPA5;JUN;JUNB;JUND;NR4A1;P4HB;RPL35;RPL6;RPS4X;TAGLN2,19,100.0,exp02-coregnet,0.382,1.29517,0.32292,0.59454,0.61598,0.57895,33.32594,25.13145,25.93128,0.05263157894736842,0.02,0.028985507246376812,0.014705882352941176
