,cluster_uid,target,sources,n_sources,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
16,3df62aa8e960,MCL1,ARID5A;ATF3;BHLHE40;BHLHE41;CEBPA;EGR1;EHF;ELF3;ETV6;FOS;GATA3;HES1;ID1;ID4;IRX3;JUN;KLF6;MAFF;MLXIPL;PPARG;SOX10;SOX18;SOX4;SPDEF;TFAP2C;TRPS1;ZNF692,27,exp03-coregnet,0.49003,0.54796,0.47863,6.00469,19.11491,5.08337,0.58019,1.91922,0.49825,0.03704,0.02703,0.01587
17,d857ff275efb,MT1A,ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;IRX3;JUN;JUND;KLF15;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,18,exp03-coregnet,0.5098,0.56754,0.49782,7.56637,18.57729,5.45391,0.60697,1.9913,0.53062,0.05556,0.04762,0.02632
18,d5b6f4c50afc,PDK4,ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;HES1;IRX3;JUN;KLF15;NR2F1;OSR1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1;ZBTB16,19,exp03-coregnet,0.47417,0.51998,0.46589,4.72104,11.11795,3.69565,0.59487,1.98411,0.51102,0.0,0.0,0.0
19,afc7fbfe91b3,PDLIM7,ARID5A;ATF3;BHLHE40;CREB3L4;EHF;ELF3;ETV6;GATA3;HES1;HES4;ID1;IRX3;JUN;KLF15;LDB1;NR2F1;OSR1;PPARG;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1,24,exp03-coregnet,0.47736,0.5154,0.46528,4.56391,11.69348,3.99666,0.57851,1.93811,0.48456,0.08333,0.05263,0.03333
20,2a25f0a25631,PER1,ARID5A;ATF3;BHLHE41;CEBPA;DDIT3;EHF;ELF3;FHL2;FOS;GATA3;HES1;IRX3;JUN;KLF9;MAFF;NR1D1;SOX10;SPDEF;TFAP2C;XBP1,20,exp03-coregnet,0.51754,0.56491,0.49737,7.14941,18.23968,6.14849,0.56227,1.95775,0.47021,0.15,0.11538,0.06977
21,4f59a64a0f17,SOCS3,ATF3;CREB3L4;EGR1;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUN;JUNB;NR4A1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,17,exp03-coregnet,0.53064,0.62377,0.51471,8.69506,33.65936,6.99645,0.61345,1.99373,0.54025,0.11765,0.05405,0.03846
22,c590ee54c831,SOD2,ARID5A;ATF3;BHLHE40;EHF;ELF3;FOS;FOSB;GATA3;IRX3;JUNB;MLXIPL;NFIL3;NR1D1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,18,exp03-coregnet,0.4902,0.5512,0.48148,6.80157,16.42359,4.24077,0.611,2.01322,0.52824,0.16667,0.075,0.05455
23,f23c534619b5,SPARC,CREB3L4;EHF;ELF3;GATA3;IRX3;MEOX2;NR2F1;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,12,exp03-coregnet,0.47727,0.50379,0.4697,2.65436,6.73749,2.48903,0.65291,1.99939,0.58281,0.0,0.0,0.0
24,1141af243a59,TAGLN,ARID5A;ATF3;BHLHE40;CEBPA;EGR1;EHF;ELF3;ETV6;FHL2;FOS;GATA3;HES1;HES4;ID4;IRX3;JUN;JUNB;JUND;MLXIPL;NR4A1;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,26,exp03-coregnet,0.52256,0.5841,0.50872,9.25425,26.12956,6.90506,0.5734,1.95211,0.48107,0.03846,0.02857,0.01667
25,67dc492eaf33,TIMP1,ARID5A;ATF3;BCL3;BHLHE40;CEBPA;CREB3L4;EHF;ELF3;ETV6;FOS;GATA3;IRX3;JUN;JUNB;MLXIPL;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,21,exp03-coregnet,0.5254,0.58889,0.52143,9.11118,25.02052,7.60021,0.59016,1.95866,0.50477,0.09524,0.05263,0.03509
26,901099672681,TIMP3,ARID5A;ATF3;BHLHE40;BHLHE41;CREB3L4;EHF;ELF3;GATA3;HES1;HES4;IRX3;JUN;NR1D1;NR2F1;OSR1;SOX10;SOX4;SPDEF;TFAP2C;TRPS1;XBP1;ZNF692,22,exp03-coregnet,0.45274,0.49603,0.43759,3.26928,9.12683,2.58042,0.58521,1.92805,0.50113,0.13636,0.13636,0.07317
27,f1af3977d2c1,TNFSF10,ARID5A;ATF3;BHLHE41;CREB3L4;EHF;ELF3;GATA3;ID1;IRX3;KLF15;NR1D1;PPARG;SOX10;SOX4;SPDEF;TFAP2C;TRPS1,17,exp03-coregnet,0.46691,0.5049,0.46201,3.4361,9.70191,3.42274,0.59626,1.93656,0.51142,0.05882,0.02564,0.01818
28,7b1e0f891683,VEGFA,CEBPA;CREB3L4;EHF;ELF3;GATA3;IRX3;MLXIPL;OSR1;PPARG;SOX10;SPDEF;TFAP2C;TRPS1;XBP1,14,exp03-coregnet,0.46978,0.53205,0.46337,4.29251,14.1857,4.47686,0.59036,2.04455,0.49076,0.28571,0.02817,0.02632
