cluster_uid,target,sources,n_sources,method
d808200f6054,HLA-E,ATF3;ATF6;CEBPD;CREB5;ELF4;ESRRA;FLI1;HHEX;HLX;HTATIP2;JDP2;JUN;KLF13;KLF16;MEF2A;MLXIP;MNT;NFKB1;NFYC;NR4A1;NR4A2;PBX2;RARA;RXRB;SKI;SP1;STAT5A;STAT5B;STAT6;TFEB;TRIM21;ZBTB18;ZBTB7B;ZNF217;ZXDC,35,exp05-coregnet
141660608696,HMOX1,ATF3;BHLHE40;DDIT3;EGR1;EOMES;ETS1;FOS;FOSL2;HIF1A;JUN;KLF10;KLF4;MAFB;MAFF;NFE2;NR4A1;NR4A2;RLF;RUNX3,19,exp05-coregnet
0e2e50fa90fe,HSP90AA1,ATF3;BHLHE40;CREB5;DDIT3;EOMES;ETS1;FOS;ID2;JUN;MAFF;NR4A1;NR4A2;RLF;RUNX3;STAT4;TBX21,16,exp05-coregnet
d2ca2c3d7b32,HSPA1A,ATF3;BHLHE40;CEBPA;CREB5;EOMES;HHEX;HTATIP2;JUN;MAFF;MEF2A;NR4A1;NR4A2;RUNX3;TBX21;TRIM21,15,exp05-coregnet
509b78f14cf3,MAPK14,ATF3;BCL6;BHLHE40;CREB5;EGR1;EOMES;HHEX;HTATIP2;JUN;JUND;MAFF;MEF2A;NR4A1;NR4A2;RUNX3;TBX21,16,exp05-coregnet
361c589d33de,MAT2A,BACH1;CREB5;ELF1;FLI1;HHEX;HTATIP2;KLF13;MEF2A;NR3C1;NR4A1;NR4A2;SKI;SRF;VEZF1;ZBTB18;ZNF217,16,exp05-coregnet
b0875a2b85f0,MCL1,ATF3;BACH1;BHLHE40;CEBPD;CREB5;ELF1;EP300;FLI1;HHEX;JDP2;KLF13;KLF7;LRRFIP1;MEF2A;NR4A1;STAT5B;VEZF1;ZBTB18;ZBTB7B;ZNF217,20,exp05-coregnet
3f797f12ba6e,NDRG1,ATF3;BHLHE40;DDIT3;FOS;FOSL2;HHEX;HIF1A;JUN;MAFF;MXD1;NFIL3;NR4A1;RLF;RUNX3,14,exp05-coregnet
cbfe1f565341,NFKBIA,ATF3;ATF6;BACH1;BCL6;CEBPD;CREB5;EOMES;HHEX;JDP2;JUN;KLF13;KLF7;MEF2A;NR4A2;STAT5B;ZBTB18;ZBTB7B;ZNF217,18,exp05-coregnet
ee83d8dd72a2,NOTCH1,ARID3A;ATF3;ATF6;BACH1;BCL6;BCLAF1;CEBPD;CIC;CREB5;CTNNB1;ELF1;ELF4;EP300;FLI1;HBP1;HHEX;HTATIP2;IRF2;JUN;KDM2A;KLF13;KLF6;KMT2B;LRRFIP1;MEF2A;MEF2D;MLX;MNT;NCOA1;NCOA3;NFYC;PBX2;RCOR1;SKI;SP1;SP100;STAT3;STAT5B;STAT6;VEZF1;ZBTB18;ZBTB7B;ZNF217;ZNF746;ZXDC,45,exp05-coregnet
ac244430902a,OGA,BACH1;BCLAF1;BHLHE40;CBFB;CTCF;CTNNB1;DDIT3;ELF1;EOMES;ETS1;FOS;FOSL2;HIF1A;HMGB1;ID2;JUN;KDM2A;KDM5A;KLF10;KLF3;KLF6;MAFF;MBD1;MXD1;NCOA3;NFYA;NONO;NR3C1;NR4A1;NR4A2;PRDM1;RCOR1;RLF;RUNX3;STAT4;TBX21,36,exp05-coregnet
74ccdcdb36b7,PCNA,APEX1;ATF3;BCLAF1;CBFB;CTCF;EOMES;ETS1;HDAC1;HHEX;HMGA1;HMGB1;ID2;IKZF1;ING4;IRF5;IRF7;IRF9;JUN;MAZ;NONO;NR4A1;NR4A2;POU2F2;PRDM1;RUNX3;SFPQ;SND1;SREBF2;SSRP1;STAT1;STAT2;STAT4;TBX21;TCF7;TRIM21;TRIM28;UBTF;XBP1;ZBTB4;ZNF266,40,exp05-coregnet
00d2993c9971,PDLIM7,ARID3A;ARID3B;ARID5A;ATF3;ATF6B;BATF;CEBPA;CEBPD;CIC;CREB5;ETV6;HHEX;HLX;HTATIP2;IRF7;JDP2;KMT2B;MEF2B;MLX;MLXIP;MNT;NFYC;NR4A1;NR4A2;PBX2;RARA;RXRB;SIRT6;SP1;SPI1;STAT5B;STAT6;TFEB;TRIM21;USF1;ZBTB7B;ZGPAT;ZXDC,38,exp05-coregnet
b16880e26d18,PER1,ATF3;BHLHE40;CEBPA;CREB5;DDIT3;EGR1;FOS;HHEX;JUN;MAFF;NFE2;NR4A1;NR4A2;RLF;RUNX3,15,exp05-coregnet
