"Regulator","Target"
"STAT1","NFKBIA"
"STAT1","HSP90AA1"
"STAT1","CARM1"
"STAT1","MAT2A"
"STAT1","FASN"
"ARID5A","PRKACA"
"ARID5A","SOD2"
"ARID5A","ACTB"
"ARID5A","SPARC"
"ARID5A","TIMP1"
"ARID5A","MCL1"
"ARID5A","HSPA4"
"ARID5A","BMI1"
"ARID5A","TAGLN"
"ARID5A","HLA-E"
"ARID5A","NFKBIA"
"ARID5A","HSP90AA1"
"ARID5A","PER1"
"ARID5A","CARM1"
"ARID5A","MAT2A"
"ARID5A","FASN"
"BHLHE40","PRKACA"
"BHLHE40","SOD2"
"BHLHE40","PIK3R1"
"BHLHE40","PKD1"
"BHLHE40","ACTB"
"BHLHE40","APP"
"BHLHE40","HSPA4"
"BHLHE40","BMI1"
"BHLHE40","STMN1"
"BHLHE40","HSP90AA1"
"BHLHE40","PER1"
"BHLHE40","CARM1"
"BHLHE40","MAT2A"
"BHLHE40","FASN"
"FOXJ3","PRKACA"
"FOXJ3","SOD2"
"FOXJ3","PIK3R1"
"FOXJ3","ACTB"
"FOXJ3","APP"
"FOXJ3","HSPA4"
"FOXJ3","BMI1"
"FOXJ3","STMN1"
"FOXJ3","HSP90AA1"
"FOXJ3","PER1"
"FOXJ3","CARM1"
"FOXJ3","MAT2A"
"FOXJ3","FASN"
"NKX6-2","PRKACA"
"NKX6-2","VIM"
"NKX6-2","SOD2"
"NKX6-2","APOE"
"NKX6-2","ACTB"
"NKX6-2","SPARC"
"NKX6-2","TIMP1"
"NKX6-2","MCL1"
"NKX6-2","HSPA4"
"NKX6-2","BMI1"
"NKX6-2","NDRG1"
"NKX6-2","TAGLN"
"NKX6-2","HLA-E"
"NKX6-2","NFKBIA"
"NKX6-2","CRYAB"
"NKX6-2","ID3"
"NKX6-2","HSP90AA1"
"NKX6-2","PER1"
"NKX6-2","MAT2A"
"NKX6-2","FASN"
"HMGA1","PRKACA"
"HMGA1","SOD2"
"HMGA1","PIK3R1"
"HMGA1","ACTB"
"HMGA1","APP"
"HMGA1","HSPA4"
"HMGA1","BMI1"
"HMGA1","STMN1"
"HMGA1","HSP90AA1"
"HMGA1","CARM1"
"HMGA1","MAT2A"
"HMGA1","FASN"
"BCLAF1","PRKACA"
"BCLAF1","SOD2"
"BCLAF1","PIK3R1"
"BCLAF1","ACTB"
"BCLAF1","APP"
"BCLAF1","HSPA4"
"BCLAF1","BMI1"
"BCLAF1","STMN1"
"BCLAF1","HSP90AA1"
"BCLAF1","PER1"
"BCLAF1","CARM1"
"BCLAF1","MAT2A"
"BCLAF1","FASN"
"RORB","PRKACA"
"RORB","SOD2"
"RORB","PIK3R1"
"RORB","PKD1"
"RORB","ACTB"
"RORB","APP"
"RORB","HSPA4"
"RORB","BMI1"
"RORB","STMN1"
"RORB","HSP90AA1"
"RORB","CARM1"
"RORB","MAT2A"
"RORB","FASN"
"RORB","SPARC"
"KLF9","PRKACA"
"KLF9","SOD2"
"KLF9","PIK3R1"
"KLF9","ACTB"
"KLF9","APP"
"KLF9","HSPA4"
"KLF9","BMI1"
"KLF9","STMN1"
"KLF9","HSP90AA1"
"KLF9","PER1"
"KLF9","CARM1"
"KLF9","MAT2A"
"KLF9","FASN"
"ATF2","PRKACA"
"ATF2","SOD2"
"ATF2","PIK3R1"
"ATF2","PKD1"
"ATF2","ACTB"
"ATF2","APP"
"ATF2","HSPA4"
"ATF2","BMI1"
"ATF2","STMN1"
"ATF2","HSP90AA1"
"ATF2","CARM1"
"ATF2","MAT2A"
"ATF2","FASN"
"DDIT3","PRKACA"
"DDIT3","SOD2"
"DDIT3","ACTB"
"DDIT3","MCL1"
"DDIT3","HSPA4"
"DDIT3","BMI1"
"DDIT3","STMN1"
"DDIT3","HLA-E"
"DDIT3","NFKBIA"
"DDIT3","HSP90AA1"
"DDIT3","PER1"
"DDIT3","CARM1"
"DDIT3","MAT2A"
"DDIT3","FASN"
"UBP1","PRKACA"
"UBP1","SOD2"
"UBP1","PIK3R1"
"UBP1","PKD1"
"UBP1","ACTB"
"UBP1","APP"
"UBP1","HSPA4"
"UBP1","BMI1"
"UBP1","STMN1"
"UBP1","HSP90AA1"
"UBP1","CARM1"
"UBP1","MAT2A"
"UBP1","FASN"
"ZBTB16","PRKACA"
"ZBTB16","SOD2"
"ZBTB16","PIK3R1"
"ZBTB16","PKD1"
"ZBTB16","ACTB"
"ZBTB16","APP"
"ZBTB16","HSPA4"
"ZBTB16","BMI1"
"ZBTB16","STMN1"
"ZBTB16","HSP90AA1"
"ZBTB16","PER1"
"ZBTB16","CARM1"
"ZBTB16","MAT2A"
"ZBTB16","FASN"
"XBP1","PRKACA"
"XBP1","SOD2"
"XBP1","PIK3R1"
"XBP1","ACTB"
"XBP1","MCL1"
"XBP1","APP"
"XBP1","HSPA4"
"XBP1","BMI1"
"XBP1","STMN1"
"XBP1","NFKBIA"
"XBP1","HSP90AA1"
"XBP1","PER1"
"XBP1","CARM1"
"XBP1","MAT2A"
"XBP1","FASN"
"ETS2","PRKACA"
"ETS2","SOD2"
"ETS2","PIK3R1"
"ETS2","PKD1"
"ETS2","ACTB"
"ETS2","APP"
"ETS2","HSPA4"
"ETS2","BMI1"
"ETS2","STMN1"
"ETS2","HSP90AA1"
"ETS2","PER1"
"ETS2","CARM1"
"ETS2","MAT2A"
"ETS2","FASN"
"MYRF","PRKACA"
"MYRF","VIM"
"MYRF","SOD2"
"MYRF","PIK3R1"
"MYRF","PKD1"
"MYRF","APOE"
"MYRF","ACTB"
"MYRF","SPARC"
"MYRF","MCL1"
"MYRF","APP"
"MYRF","HSPA4"
"MYRF","BMI1"
"MYRF","NDRG1"
"MYRF","TAGLN"
"MYRF","STMN1"
"MYRF","HLA-E"
"MYRF","NFKBIA"
"MYRF","CRYAB"
"MYRF","ID3"
"MYRF","HSP90AA1"
"MYRF","PER1"
"MYRF","HLA-DRB1"
"MYRF","CARM1"
"MYRF","MAT2A"
"MYRF","FASN"
"NR1D2","PRKACA"
"NR1D2","SOD2"
"NR1D2","PIK3R1"
"NR1D2","PKD1"
"NR1D2","ACTB"
"NR1D2","APP"
"NR1D2","HSPA4"
"NR1D2","BMI1"
